"","type","sep","file","ethn","issue","dep","country","geog"
"1","d",";","data/denominator/popcencook.csv","Total",NA,NA,"Cook Islands",NA
"2","n",";","data/numerator/mortcook.csv","Total","Total Mortality",NA,"Cook Islands",NA
"3","n",";","data/numerator/neocook.csv","Total","Neoplasms",NA,"Cook Islands",NA
"4","n",",","data/numerator/mort037totalnat.csv","Total","Mortality - Total",NA,"New Zealand","National"
"5","n",",","data/numerator/dep/mort1dep0637totalnat.csv","Total","Mortality - Total","1","New Zealand","National"
"6","n",",","data/numerator/dep/mort2dep0637totalnat.csv","Total","Mortality - Total","2","New Zealand","National"
"7","n",",","data/numerator/dep/mort3dep0637totalnat.csv","Total","Mortality - Total","3","New Zealand","National"
"8","n",",","data/numerator/dep/mort4dep0637totalnat.csv","Total","Mortality - Total","4","New Zealand","National"
"9","n",",","data/numerator/dep/mort5dep0637totalnat.csv","Total","Mortality - Total","5","New Zealand","National"
"10","n",",","data/numerator/dep/mort6dep0637totalnat.csv","Total","Mortality - Total","6","New Zealand","National"
"11","n",",","data/numerator/dep/mort7dep0637totalnat.csv","Total","Mortality - Total","7","New Zealand","National"
"12","n",",","data/numerator/dep/mort8dep0637totalnat.csv","Total","Mortality - Total","8","New Zealand","National"
"13","n",",","data/numerator/dep/mort9dep0637totalnat.csv","Total","Mortality - Total","9","New Zealand","National"
"14","n",",","data/numerator/dep/mort10dep0637totalnat.csv","Total","Mortality - Total","10","New Zealand","National"
"15","n",",","data/numerator/dep/mort12dep0637totalnat.csv","Total","Mortality - Total","12","New Zealand","National"
"16","n",",","data/numerator/dep/mort34dep0637totalnat.csv","Total","Mortality - Total","34","New Zealand","National"
"17","n",",","data/numerator/dep/mort56dep0637totalnat.csv","Total","Mortality - Total","56","New Zealand","National"
"18","n",",","data/numerator/dep/mort78dep0637totalnat.csv","Total","Mortality - Total","78","New Zealand","National"
"19","n",",","data/numerator/dep/mort910dep0637totalnat.csv","Total","Mortality - Total","910","New Zealand","National"
"20","n",",","data/numerator/mort037maorinat.csv","Maori","Mortality - Total",NA,"New Zealand","National"
"21","n",",","data/numerator/dep/mort1dep0637maorinat.csv","Maori","Mortality - Total","1","New Zealand","National"
"22","n",",","data/numerator/dep/mort2dep0637maorinat.csv","Maori","Mortality - Total","2","New Zealand","National"
"23","n",",","data/numerator/dep/mort3dep0637maorinat.csv","Maori","Mortality - Total","3","New Zealand","National"
"24","n",",","data/numerator/dep/mort4dep0637maorinat.csv","Maori","Mortality - Total","4","New Zealand","National"
"25","n",",","data/numerator/dep/mort5dep0637maorinat.csv","Maori","Mortality - Total","5","New Zealand","National"
"26","n",",","data/numerator/dep/mort6dep0637maorinat.csv","Maori","Mortality - Total","6","New Zealand","National"
"27","n",",","data/numerator/dep/mort7dep0637maorinat.csv","Maori","Mortality - Total","7","New Zealand","National"
"28","n",",","data/numerator/dep/mort8dep0637maorinat.csv","Maori","Mortality - Total","8","New Zealand","National"
"29","n",",","data/numerator/dep/mort9dep0637maorinat.csv","Maori","Mortality - Total","9","New Zealand","National"
"30","n",",","data/numerator/dep/mort10dep0637maorinat.csv","Maori","Mortality - Total","10","New Zealand","National"
"31","n",",","data/numerator/dep/mort12dep0637maorinat.csv","Maori","Mortality - Total","12","New Zealand","National"
"32","n",",","data/numerator/dep/mort34dep0637maorinat.csv","Maori","Mortality - Total","34","New Zealand","National"
"33","n",",","data/numerator/dep/mort56dep0637maorinat.csv","Maori","Mortality - Total","56","New Zealand","National"
"34","n",",","data/numerator/dep/mort78dep0637maorinat.csv","Maori","Mortality - Total","78","New Zealand","National"
