Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total
2007;Male;782;1673;1333;908;1088;837;618;411;172;NA;NA;NA;NA;NA;NA;NA;NA;7822
2007;Female;727;1519;1175;1027;1091;819;565;392;187;NA;NA;NA;NA;NA;NA;NA;NA;7502
2007;Total;1509;3192;2508;1935;2179;1656;1183;803;359;NA;NA;NA;NA;NA;NA;NA;NA;15324
2008;Male;782;1673;1333;908;1088;837;618;411;172;NA;NA;NA;NA;NA;NA;NA;NA;7822
2008;Female;727;1519;1175;1027;1091;819;565;392;187;NA;NA;NA;NA;NA;NA;NA;NA;7502
2008;Total;1509;3192;2508;1935;2179;1656;1183;803;359;NA;NA;NA;NA;NA;NA;NA;NA;15324
2009;Male;748;1472;1189;845;969;974;652;448;193;NA;NA;NA;NA;NA;NA;NA;NA;7490
2009;Female;733;1379;1109;955;1063;940;604;460;241;NA;NA;NA;NA;NA;NA;NA;NA;7484
2009;Total;1481;2851;2298;1800;2032;1914;1256;908;434;NA;NA;NA;NA;NA;NA;NA;NA;14974
2010;Male;748;1472;1189;845;969;974;652;448;193;NA;NA;NA;NA;NA;NA;NA;NA;7490
2010;Female;733;1379;1109;955;1063;940;604;460;241;NA;NA;NA;NA;NA;NA;NA;NA;7484
2010;Total;1481;2851;2298;1800;2032;1914;1256;908;434;NA;NA;NA;NA;NA;NA;NA;NA;14974
2011;Male;748;1472;1189;845;969;974;652;448;193;NA;NA;NA;NA;NA;NA;NA;NA;7490
2011;Female;733;1379;1109;955;1063;940;604;460;241;NA;NA;NA;NA;NA;NA;NA;NA;7484
2011;Total;1481;2851;2298;1800;2032;1914;1256;908;434;NA;NA;NA;NA;NA;NA;NA;NA;14974
2012;Male;748;1472;1189;845;969;974;652;448;193;NA;NA;NA;NA;NA;NA;NA;NA;7490
2012;Female;733;1379;1109;955;1063;940;604;460;241;NA;NA;NA;NA;NA;NA;NA;NA;7484
2012;Total;1481;2851;2298;1800;2032;1914;1256;908;434;NA;NA;NA;NA;NA;NA;NA;NA;14974
