Year,Factor,0.4,5.9,10.14,15.19,20.24,25.29,30.34,35.39,40.44,45.49,50.54,55.59,60.64,65.69,70.74,75.79,80 and over,Total
1991,Male,34830.00,28190.00,28050.00,25440.00,21110.00,19560.00,17070.00,13730.00,11190.00,8370.00,7460.00,5740.00,3980.00,2390.00,1340.00,720.00,560.00,229700.00
,Female,33880.00,27930.00,28060.00,26670.00,23230.00,21590.00,18940.00,14580.00,11490.00,8540.00,7520.00,5760.00,4220.00,2800.00,1690.00,1030.00,720.00,238700.00
,Total,68720.00,56120.00,56100.00,52110.00,44340.00,41150.00,36010.00,28300.00,22680.00,16910.00,14980.00,11510.00,8210.00,5180.00,3030.00,1750.00,1270.00,468400.00
1992,Male,35930.00,29200.00,28070.00,25920.00,21690.00,19510.00,17900.00,14280.00,11760.00,8760.00,7640.00,5960.00,4220.00,2580.00,1430.00,760.00,570.00,236200.00
,Female,34660.00,28900.00,27780.00,26960.00,23820.00,21560.00,19920.00,15390.00,12060.00,8960.00,7680.00,6010.00,4470.00,2980.00,1770.00,1100.00,800.00,244900.00
,Total,70600.00,58100.00,55850.00,52880.00,45510.00,41070.00,37820.00,29670.00,23820.00,17720.00,15320.00,11970.00,8690.00,5560.00,3200.00,1870.00,1380.00,481100.00
1993,Male,36700.00,30390.00,27900.00,26520.00,22290.00,19410.00,18730.00,14860.00,12240.00,9270.00,7780.00,6140.00,4460.00,2820.00,1510.00,810.00,580.00,242400.00
,Female,35020.00,30150.00,27470.00,27300.00,24330.00,21480.00,20950.00,16180.00,12650.00,9470.00,7820.00,6210.00,4740.00,3150.00,1900.00,1170.00,880.00,250900.00
,Total,71730.00,60540.00,55370.00,53820.00,46620.00,40900.00,39680.00,31040.00,24890.00,18740.00,15590.00,12340.00,9200.00,5970.00,3410.00,1970.00,1470.00,493300.00
1994,Male,37180.00,31830.00,27700.00,27090.00,22710.00,19580.00,19210.00,15660.00,12720.00,9750.00,7930.00,6330.00,4680.00,3010.00,1650.00,860.00,620.00,248500.00
,Female,35080.00,31450.00,27290.00,27600.00,24760.00,21630.00,21580.00,17090.00,13230.00,10070.00,7970.00,6500.00,4950.00,3330.00,2020.00,1200.00,970.00,256700.00
,Total,72270.00,63280.00,54990.00,54690.00,47470.00,41210.00,40790.00,32760.00,25960.00,19820.00,15900.00,12820.00,9620.00,6340.00,3670.00,2060.00,1590.00,505200.00
1995,Male,37430.00,33380.00,27830.00,27440.00,23150.00,19790.00,19530.00,16470.00,13180.00,10370.00,7910.00,6680.00,4890.00,3190.00,1780.00,920.00,650.00,254600.00
,Female,35100.00,32750.00,27520.00,27710.00,25100.00,22020.00,21840.00,18030.00,13820.00,10730.00,8090.00,6890.00,5080.00,3540.00,2170.00,1250.00,1070.00,262700.00
,Total,72560.00,66130.00,55360.00,55150.00,48250.00,41820.00,41380.00,34500.00,27000.00,21110.00,16000.00,13570.00,9970.00,6730.00,3950.00,2170.00,1710.00,517300.00
