Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total
1991;Male;112300;105120;104340;118560;122210;119880;122570;112410;110520;88990;76600;66480;69330;60060;43520;31130;25740;1489790
;Female;106300;98660;99430;117320;121910;123040;125360;114560;111100;88950;76910;65970;68810;66220;56150;45310;51680;1537630
;Total;218590;203780;203790;235880;244110;242920;247940;226980;221630;177940;153510;132430;138130;126280;99670;76440;77430;3027420
1992;Male;114440;105440;104330;114740;123750;117640;124770;114570;110520;93710;80100;66240;68410;61010;44990;31600;26930;1503170
;Female;108180;99050;98700;112530;122840;120690;127980;116690;110920;93680;80240;66340;67980;65740;57450;46080;53700;1548710
;Total;222610;204490;203030;227270;246580;238330;252750;231260;221440;187390;160340;132580;136390;126740;102440;77670;80620;3051860
1993;Male;114970;107350;105710;110950;123910;116300;126560;117190;110690;99880;81880;67010;67110;61870;46790;31420;28120;1517720
;Female;108810;100800;99400;108210;122690;119160;130300;119390;111180;99960;81990;67230;67070;65610;58770;46100;55920;1562560
;Total;223780;208150;205110;219150;246600;235450;256860;236580;221870;199850;163880;134250;134180;127480;105560;77530;84130;3080390
1994;Male;115480;109570;107380;108830;122560;116280;127690;120390;111830;105450;84300;68530;65860;62590;48690;31170;29480;1536090
;Female;109110;103240;100330;105410;121360;119360;131650;122860;113040;105180;83940;68960;65970;65540;60330;45790;58230;1580320
;Total;224590;212800;207700;214240;243920;235640;259340;243240;224870;210630;168230;137500;131840;128130;109020;76960;87710;3116400
1995;Male;115550;112730;108780;108980;120010;117250;128040;124220;113980;110180;86590;71160;64620;62800;49920;32120;30550;1557470
;Female;108700;106670;101480;104250;118960;120880;132380;126700;115630;109570;86100;71930;64720;65250;60610;46840;60330;1601010
;Total;224220;219400;210250;213230;238970;238130;260410;250920;229600;219730;172690;143090;129340;128050;110530;78960;90890;3158470
1996;Male;114580;116960;110080;110270;116880;119040;128120;128330;117050;113680;89080;74980;63390;62930;50920;33290;31550;1581170
;Female;107470;110380;102950;104660;115330;123250;132610;131300;119010;112900;88300;75660;63970;65090;60450;48250;62080;1623670
;Total;222060;227350;213010;214930;232210;242290;260720;259630;236060;226580;177380;150640;127360;128010;111370;81540;93630;3204820
1997;Male;112840;120050;111240;110490;113480;119630;126850;131470;119840;114000;94300;78660;63450;62380;51930;34740;32530;1597910
;Female;106410;113300;104370;105030;111520;124290;132250;135490;122150;113570;93550;79200;64730;64490;60150;49510;64110;1644130
;Total;219240;233360;215620;215520;225000;243920;259090;266970;241990;227570;187850;157860;128180;126870;112080;84250;96640;3242070
1998;Male;111270;120540;113080;110890;109160;117440;124420;133240;122170;113830;100650;80510;64640;61470;52980;36490;33280;1606090
;Female;105160;114020;106300;105850;107420;122590;130880;138370;124890;113980;100160;81280;66050;63890;60220;50810;65850;1657730
;Total;216420;234570;219390;216740;216590;240020;255300;271620;247050;227810;200810;161800;130690;125360;113220;87290;99130;3263820
1999;Male;109020;119890;114760;111260;105710;113230;121840;133210;124070;113930;105500;82940;66380;60820;53750;38220;34040;1608580
;Female;103140;113300;108160;106270;104520;119070;129810;139090;127540;115090;105240;83400;68310;63240;60190;52340;67200;1665860
;Total;212150;233180;222920;217540;210230;232300;251640;272300;251610;229020;210730;166340;134700;124050;113940;90560;101250;3274420
2000;Male;107440;118040;116730;112150;104280;108780;120110;131470;125940;114360;109100;84860;69200;60190;54330;39430;35590;1612040
;Female;101900;111230;110580;107220;102950;114890;129150;138340;130000;116430;109250;85570;71470;62570;60020;52820;69750;1674130
;Total;209330;229280;227310;219380;207220;223670;249260;269810;255950;230790;218350;170420;140680;122760;114360;92260;105350;3286180
2001;Male;105810;115240;119040;113830;105040;103730;118900;128820;127800;115540;111190;86930;73110;59680;54880;40540;37360;1617440
;Female;100930;108120;113150;108610;103670;109490;128950;136280;132910;118370;111860;87750;75300;62520;60270;52870;72470;1683500
;Total;206740;223360;232190;222440;208710;213220;247850;265100;260690;233920;223050;174680;148410;122200;115150;93400;109840;3300930
2002;Male;105610;114150;121920;116780;110420;102470;119980;127850;131190;118480;111270;92030;76610;60180;54880;41710;39020;1644530
;Female;101200;107840;115770;111240;108420;107340;130350;136140;137220;121550;112140;92930;78800;63410;60040;52740;74600;1711720
;Total;206810;221990;237680;228010;218860;209810;250330;264000;268410;240030;223410;184950;155410;123590;114910;94450;113630;3356240
2003;Male;106230;114210;123990;119340;117560;103300;121160;127670;134890;122170;111620;98410;78400;61580;54470;43030;40800;1678820
;Female;101820;108170;117680;114100;114150;107320;132030;136550;141690;125450;112920;99520;80660;64710;59750;53020;76320;1745840
;Total;208050;222390;241660;233430;231710;210620;253190;264230;276580;247620;224540;197940;159060;126290;114230;96040;117110;3424690
2004;Male;107440;113630;124780;121020;120690;104270;120780;127600;137050;125780;112690;103380;80950;63330;54270;43930;42650;1704190
;Female;103170;107780;118470;115970;117120;108350;131700;137550;144510;129510;114650;104690;82820;66880;59360;53190;78120;1773810
;Total;210620;221410;243240;237000;237810;212620;252480;265160;281560;255290;227340;208070;163770;130210;113620;97120;120760;3478120
2005;Male;107930;113040;124150;123130;121370;105160;118930;128000;137420;129160;114380;107290;83160;66240;54140;44790;44770;1723080
;Female;103410;107670;117740;118270;118240;109330;129900;138690;145470;133210;116870;108930;85160;70080;58940;53310;80130;1795360
;Total;211340;220700;241890;241400;239610;214500;248830;266690;282890;262370;231250;216220;168320;136330;113080;98100;124900;3518460
2006;Male;108830;112780;122880;126260;121570;106560;116100;129210;136780;132350;116970;109810;85460;70210;54090;45750;47090;1742720
;Female;104120;107810;116510;121020;119390;111030;126690;140790;145210;137380;119800;111840;87670;74060;58970;53650;81890;1817840
;Total;212940;220590;239400;247280;240960;217600;242790;270000;281990;269730;236780;221660;173140;144260;113070;99400;128980;3560560
2007;Male;110610;112670;121020;127140;120250;108870;113100;130030;134950;135080;119520;109900;90260;73610;54790;46040;49410;1757260
;Female;105370;107860;115190;122530;118540;113090;123160;142080;143970;141050;122810;111980;92680;77390;59840;53500;83470;1834530
;Total;216000;220540;236210;249670;238790;221970;236260;272110;278920;276130;242330;221880;182940;151000;114630;99540;132870;3591810
2008;Male;112630;112410;119600;126860;119490;111290;110580;129040;132920;137280;121930;109920;96300;75210;56290;45860;51600;1769180
;Female;107410;107410;113780;123040;117470;115070;120080;141660;142200;144300;125720;112370;99000;79000;61100;53340;84910;1847830
;Total;220050;219830;233380;249900;236960;226380;230660;270700;275100;281580;247650;222290;195290;154210;117390;99200;136610;3617220
2009;Male;114760;112540;118820;126650;121000;113490;109470;127160;131700;138350;124600;110780;101030;77690;58000;45830;53770;1785630
;Female;109000;107640;112640;123430;118030;116920;118640;139740;141820;146040;128870;113860;103860;81080;63150;53050;86350;1864160
;Total;223780;220180;231460;250090;239030;230420;228100;266910;273530;284400;253480;224640;204890;158780;121150;98880;140110;3649810
2010;Male;117010;112090;118890;126930;124120;114890;109220;124360;131360;137940;127400;112280;104940;79890;60730;46060;55820;1803990
;Female;111330;107090;112620;123110;120600;118240;118280;136950;142380;146340;132310;115970;107850;83320;66150;52720;87960;1883240
;Total;228350;219170;231510;250040;244710;233130;227500;261310;273750;284270;259700;228240;212790;163220;126880;98790;143790;3687130
2011;Male;118320;111490;118150;126340;127220;114530;109530;120160;131180;136130;129730;114320;107580;82240;64390;46150;57980;1815480
;Female;112560;106620;112260;121320;123230;118220;118420;131840;143610;144890;135720;118650;110660;85740;69790;52730;89270;1895580
;Total;230890;218110;230410;247660;250440;232740;227940;251990;274790;281030;265450;232960;218250;167980;134180;98890;147240;3710930
2012;Male;118080;112220;116770;125360;128890;114030;109820;115970;131120;133430;131830;116520;107670;87100;67720;46860;59650;1823070
;Female;112260;107030;111110;119730;124380;117690;118750;126950;143990;142830;138840;121580;111080;90700;73130;53640;89780;1903450
;Total;230340;219260;227870;245090;253270;231730;228580;242920;275110;276260;270680;238110;218750;177790;140850;100490;149530;3726630
2013;Male;116990;114010;115220;125120;131190;115580;111800;112990;130240;131540;133930;118910;107840;93270;69490;48360;61050;1837490
;Female;110920;108960;109790;118700;125780;118660;120200;123300;143440;141030;141860;124410;111880;97140;74800;55010;90760;1916610
;Total;227920;222960;225020;243820;256970;234240;232010;236290;273670;272570;275790;243320;219720;190400;144290;103370;151810;3754200
