Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total
1937;Male;59560;64160;68230;67780;67860;64890;58510;51920;44560;44710;45870;41690;31680;22870;14240;8280;6240;763000
;Female;57280;61300;65080;65040;65670;62330;55740;51140;48120;46360;44080;38650;29760;22070;14380;8570;6300;741800
;Total;116840;125460;133310;132820;133530;127220;114250;103060;92680;91070;89950;80340;61440;44940;28620;16850;12540;1504800
1938;Male;60630;62830;67560;68490;67520;65960;60120;53360;45560;43990;45700;42340;33060;23690;14930;8460;6300;770500
;Female;58530;60110;64420;65520;65190;63280;57200;51660;48570;46260;44540;39450;31130;22860;15070;8900;6470;749100
;Total;119160;122940;131980;134010;132710;129240;117320;105020;94130;90250;90240;81790;64190;46550;30000;17360;12770;1519600
1939;Male;62710;61810;66930;69530;67090;67210;62010;54730;47030;43520;45440;42800;34510;24530;15690;8690;6310;780500
;Female;60700;59000;63900;66280;64590;64380;58840;52390;49270;46320;44980;40210;32560;23730;15900;9250;6610;758900
;Total;123410;120810;130830;135810;131680;131590;120850;107120;96300;89840;90420;83010;67070;48260;31590;17940;12920;1539400
1940;Male;66280;60740;66350;69330;61450;63810;61030;54670;47970;43220;44780;43160;35840;25380;16510;8970;6390;775900
;Female;64280;57870;63480;66600;64500;65170;60380;53450;49930;46680;45240;41050;33860;24670;16760;9700;6820;770400
;Total;130560;118610;129830;135930;125950;128980;121410;108120;97900;89900;90020;84210;69700;50050;33270;18670;13210;1546300
1941;Male;71210;59540;65520;68250;52000;55570;57510;53270;48460;43050;43840;43170;36900;26240;17360;9260;6470;757600
;Female;68950;57050;62780;66110;64720;65380;61520;54580;50470;47090;45270;41720;35050;25580;17580;10100;7070;781000
;Total;140160;116590;128300;134360;116720;120950;119030;107850;98930;90140;89110;84890;71950;51820;34940;19360;13540;1538600
1942;Male;76530;59840;64990;68460;46520;48610;55090;53160;49840;43760;43450;43430;38120;27490;18250;9650;6510;753700
;Female;73170;57350;61760;65440;65060;65410;62460;55870;51090;47470;45240;42320;36060;26660;18290;10480;7250;791400
;Total;149700;117190;126750;133900;111580;114020;117550;109030;100930;91230;88690;85750;74180;54150;36540;20130;13760;1545100
1943;Male;78410;60150;62910;66820;43390;42750;51970;52490;50000;44150;42240;42810;38250;28310;18660;9970;6470;739700
;Female;75410;58480;60470;64750;65520;64830;63100;57190;51510;47960;45130;42750;36790;27800;18900;10950;7380;798900
;Total;153820;118630;123380;131570;108910;107580;115070;109680;101510;92110;87370;85560;75040;56110;37560;20920;13850;1538600
1944;Male;80380;62160;61780;65550;45290;41800;52780;53860;50950;45480;41680;42530;38640;29460;19300;10560;6570;748700
;Female;76990;60570;59280;64160;66130;63980;63780;58520;52010;48550;45120;43130;37550;28980;19640;11530;7690;807600
;Total;157370;122730;121060;129710;111420;105780;116560;112380;102960;94030;86800;85660;76190;58440;38940;22090;14260;1556300
1945;Male;81700;65220;60430;64410;50410;49870;57740;57340;52620;46710;40720;41520;38610;30780;19720;11150;6850;775800
;Female;79060;64180;58230;63470;66300;64190;64400;59670;52350;48790;44670;42610;38210;31080;20300;12300;8270;818100
;Total;160760;129400;118660;127880;116710;114060;122140;117010;104970;95500;85390;84130;76820;61860;40020;23450;15120;1593900
1946;Male;85830;70810;60530;65310;58700;60320;63880;62060;55750;49010;40980;41260;39300;32600;20690;11930;7400;826400
;Female;81920;68740;57560;62780;66250;65240;65250;60630;53100;48940;44490;41890;38580;33120;21070;13030;8900;831500
;Total;167750;139550;118090;128090;124950;125560;129130;122690;108850;97950;85470;83150;77880;65720;41760;24960;16300;1657900
1947;Male;90350;74250;60050;64260;63870;62520;65100;63390;57240;50170;41040;40210;38900;33060;21390;12290;7660;845800
;Female;86580;72630;57840;61860;65810;66050;65930;61740;54660;49380;44970;41810;38850;34050;22250;13630;9320;847400
;Total;176930;146880;117890;126120;129680;128570;131030;125130;111900;99550;86010;82020;77750;67110;43640;25920;16980;1693200
1948;Male;96660;77000;61100;62950;65990;63760;64640;64230;58880;51730;41730;39500;38630;33500;22340;12660;8020;863300
;Female;92740;75060;59160;60730;64980;66860;65770;62950;56350;50170;45350;41790;39240;34640;23690;14090;9920;863500
;Total;189400;152060;120260;123680;130970;130620;130410;127180;115230;101900;87080;81290;77870;68140;46030;26750;17940;1726800
1949;Male;102570;79500;63100;62020;67390;65680;63810;65150;60480;53190;43150;38790;38400;33600;23510;12920;8440;881700
;Female;98450;76950;61360;59640;64290;67910;65180;64010;58100;51110;46060;41700;39620;34820;25370;14350;10590;879500
;Total;201020;156450;124460;121660;131680;133590;128990;129160;118580;104300;89210;80490;78020;68420;48880;27270;19030;1761200
1950;Male;107210;82230;66460;61390;67390;67310;63780;65930;61960;54250;45360;38420;37950;33460;24780;13360;8870;900100
;Female;102660;79300;64830;58560;63650;68000;65380;65020;59670;51720;47080;42070;39610;34910;27080;14920;11170;895700
;Total;209870;161530;131290;119950;131040;135310;129160;130950;121630;105970;92440;80490;77560;68370;51860;28280;20070;1795800
1951;Male;109390;85670;71280;61180;66310;69010;64830;66060;63100;55640;47200;38590;37200;33370;25500;14340;9490;918200
;Female;104780;82330;69260;58430;63210;67680;66350;65950;60880;52950;47630;42550;39530;35490;27800;16130;11970;912900
;Total;214170;168000;140540;119610;129520;136690;131180;132010;123980;108590;94830;81140;76730;68860;53300;30470;21460;1831100
1952;Male;110630;91520;75690;61790;66180;71520;66990;66050;64450;57510;48910;39090;36620;33370;25880;15430;10110;941800
;Female;105850;87600;73090;59440;63060;68120;67750;66650;62420;54810;48350;42860;39720;36160;28200;17360;12700;934200
;Total;216480;179120;148780;121230;129240;139640;134740;132700;126870;112320;97260;81950;76340;69530;54080;32790;22810;1876000
1953;Male;112370;98340;78940;62970;66430;73460;69670;66100;65930;59070;50810;39960;36250;33210;26320;16130;10650;966700
;Female;107300;94360;75900;60970;62970;68640;69580;67210;64270;56500;49580;43560;39970;36440;29060;18350;13400;958000
;Total;219670;192700;154840;123940;129400;142100;139250;133310;130200;115570;100390;83520;76220;69650;55380;34480;24050;1924700
1954;Male;114360;104060;82070;64990;65590;74390;71880;66090;66960;60550;52310;41280;35830;32850;26570;16790;11170;987700
;Female;109060;99970;78510;63080;62290;68640;70820;67540;65800;58170;50570;44330;40180;36570;29740;19330;14200;978700
;Total;223420;204030;160580;128070;127880;143030;142700;133630;132760;118720;102880;85610;76010;69420;56310;36120;25370;1966400
1955;Male;117200;108380;84730;68360;64760;74520;73730;66520;67490;62010;53670;42880;35540;32410;26720;17280;11690;1007900
;Female;111540;104100;80990;66280;61460;68220;71440;67980;66880;59800;51610;45180;40370;36600;30410;20130;15010;998000
;Total;228740;212480;165720;134640;126220;142740;145170;134500;134370;121810;105280;88060;75910;69010;57130;37410;26700;2005900
1956;Male;118890;111350;87930;72990;64370;73700;74970;67750;67640;63430;54880;44800;35480;32080;26600;17820;12420;1027100
;Female;113790;106700;83990;70720;61310;67790;71410;68940;67490;61350;52620;46110;40660;36930;30690;21070;16040;1017610
;Total;232680;218050;171920;143710;125680;141490;146380;136690;135130;124780;107500;90910;76140;69010;57290;38890;28460;2044710
1957;Male;120850;113090;93590;77170;65040;72900;76100;69660;67710;64870;56300;46780;35930;31780;26350;18300;13030;1049450
;Female;116220;108080;89280;74580;62100;67550;71320;70320;68030;62850;53970;47110;41170;37350;30880;21950;17070;1039830
;Total;237070;221170;182870;151750;127140;140450;147420;139980;135740;127720;110270;93890;77100;69130;57230;40250;30100;2089280
1958;Male;124610;114070;100350;80550;66700;72280;77200;71830;67720;66060;58010;48390;36880;31370;26190;18450;13550;1074210
;Female;119410;109220;95900;77050;63660;67150;71450;71560;68620;64250;55750;48030;41870;37500;31340;22580;17880;1063220
;Total;244020;223290;196250;157600;130360;139430;148650;143390;136340;130310;113760;96420;78750;68870;57530;41030;31430;2137430
1959;Male;128520;115280;106230;83410;68380;71020;77530;73640;67690;66840;59600;49650;38230;31010;26050;18480;14080;1095640
;Female;122780;110710;101670;79320;65610;66290;71300;72390;69020;65460;57470;48910;42630;37630;31860;23060;18750;1084860
;Total;251300;225990;207900;162730;133990;137310;148830;146030;136710;132300;117070;98560;80860;68640;57910;41540;32830;2180500
1960;Male;132020;116820;110820;85510;70740;69370;77010;75030;67880;67250;60850;50880;39680;30770;25860;18480;14460;1113430
;Female;125810;112590;105880;81480;68080;65330;70790;72700;69280;66480;59010;49910;43350;37730;32360;23420;19630;1103830
;Total;257830;229410;216700;166990;138820;134700;147800;147730;137160;133730;119860;100790;83030;68500;58220;41900;34090;2217260
1961;Male;134040;119660;113670;88950;75090;68350;76670;76590;68950;67840;62060;52140;41040;30770;25490;18520;14820;1134650
;Female;129070;114880;108450;84650;71830;64940;70260;72790;69870;67200;60510;51070;44210;37830;32630;23690;20580;1124460
;Total;263110;234540;222120;173600;146920;133290;146930;149380;138820;135040;122570;103210;85250;68600;58120;42210;35400;2259110
1962;Male;136170;123380;115230;94860;79340;68540;76150;78060;71030;68070;63480;53490;42630;31130;25040;18520;15090;1160210
;Female;131490;117790;109910;90230;75570;65290;70100;73010;71410;68010;62090;52430;45030;38770;32610;24200;21490;1149430
;Total;267660;241170;225140;185090;154910;133830;146250;151070;142440;136080;125570;105920;87660;69900;57650;42720;36580;2309640
1963;Male;138600;126480;116140;101160;82010;69490;74670;78720;73180;67150;64540;54960;44240;31610;24620;18340;15130;1181040
;Female;132890;120870;110930;96870;78090;66580;69620;73210;73090;68380;63490;54150;45890;39820;32540;24860;22310;1173590
;Total;271490;247350;227070;198030;160100;136070;144290;151930;146270;135530;128030;109110;90130;71430;57160;43200;37440;2354630
1964;Male;139910;129760;117720;107080;84830;71410;73570;78960;75530;66420;65740;56380;45680;32590;24420;18020;15190;1203210
;Female;134030;123880;112480;102820;80450;68950;68910;73170;74550;68150;65050;55910;47130;40110;33080;25060;22890;1196620
;Total;273940;253640;230200;209900;165280;140360;142480;152130;150080;134570;130790;112290;92810;72700;57500;43080;38080;2399830
1965;Male;138780;132830;120110;111700;87420;74130;71960;79100;76940;67140;66180;57830;46810;34040;24130;17680;15550;1222330
;Female;132660;126830;114550;107120;83170;72060;67890;73400;75100;68910;66170;57460;48190;41010;33560;24860;23890;1216830
;Total;271440;259660;234660;218820;170590;146190;139850;152500;152040;136050;132350;115290;95000;75050;57690;42540;39440;2439160
1966;Male;136430;136270;123030;114810;90880;78470;70730;78950;77980;68930;66340;59340;47940;35830;23900;17520;15960;1243310
;Female;130020;130190;116980;109530;87020;76110;67320;73360;74980;70300;67140;58950;49290;42170;33700;25100;24810;1236970
;Total;266450;266460;240010;224340;177900;154580;138050;152310;152960;139230;133480;118290;97230;78000;57600;42620;40770;2480280
1967;Male;134440;139610;125970;116090;95100;81770;70540;77470;79160;70600;66300;60330;49350;37470;24200;17330;15950;1261680
;Female;128200;133560;119900;110540;91940;79490;67960;72500;75080;71470;68050;60420;50920;42900;34190;25620;25450;1258190
;Total;262640;273170;245870;226630;187040;161260;138500;149970;154240;142070;134350;120750;100270;80370;58390;42950;41400;2519870
1968;Male;132400;140950;128600;116370;98300;82310;70430;75060;79090;72280;65160;61100;50660;38760;24700;17020;15770;1268960
;Female;126440;134910;122400;110770;96050;80970;68850;71310;74530;72780;67790;61900;52540;43780;34590;25890;25930;1271430
;Total;258840;275860;251000;227140;194350;163280;139280;146370;153620;145060;132950;123000;103200;82540;59290;42910;41700;2540390
1969;Male;131740;140390;131120;117620;101740;83310;71180;72820;78460;74050;64340;61890;51770;39780;25500;16580;15470;1277760
;Female;126040;134340;124920;111900;99510;82250;70360;69930;73890;73980;67420;63350;54190;44550;35250;25970;26360;1284210
;Total;257780;274730;256040;229520;201250;165560;141540;142750;152350;148030;131760;125240;105960;84330;60750;42550;41830;2561970
1970;Male;132680;138500;133810;120290;106840;85060;74080;71280;78410;75410;65210;62330;53060;40580;26920;16230;15350;1296040
;Female;126980;132270;127680;114330;102830;83720;73250;68450;73670;74300;67870;64420;55750;45200;36360;26280;26930;1300290
;Total;259660;270770;261490;234620;209670;168780;147330;139730;152080;149710;133080;126750;108810;85780;63280;42510;42280;2596330
1971;Male;133300;136530;136960;122310;109920;88370;78410;70450;78060;76220;66730;62540;54050;41580;28250;16300;15300;1315280
;Female;127800;130420;131030;116510;105620;86600;77120;68010;73380;74040;68960;65160;57050;46720;37010;26610;27830;1319870
;Total;261100;266950;267990;238820;215540;174970;155530;138460;151440;150260;135690;127700;111100;88300;65260;42910;43130;2635150
1972;Male;134660;135050;140180;124440;111340;94290;82670;70650;77120;77010;68480;62250;55020;42880;29310;16580;15150;1337080
;Female;129070;129080;134290;118840;107320;92180;80820;68620;72860;73490;70410;65460;58570;48460;37730;26760;28430;1342390
;Total;263730;264130;274470;243280;218660;186470;163490;139270;149980;150500;138890;127710;113590;91340;67040;43340;43580;2679470
1973;Male;136590;134200;142590;128360;113620;101350;86760;72320;76030;77700;70870;61620;56170;44230;30570;16970;14900;1364850
;Female;130840;128460;136630;122420;108810;99410;84300;70180;72150;73420;72150;65510;60200;50110;38940;27240;28780;1369550
;Total;267430;262660;279220;250780;222430;200760;171060;142500;148180;151120;143020;127130;116370;94340;69510;44210;43680;2734400
1974;Male;137190;134950;143970;132490;116770;108400;91020;75060;75330;77820;73560;61030;57160;45350;31670;17590;14670;1394030
;Female;131710;129560;137890;126290;111540;106540;88110;72930;71830;73540;73960;65270;61820;51510;40190;27830;29150;1399670
;Total;268900;264510;281860;258780;228310;214940;179130;147990;147160;151360;147520;126300;118980;96860;71860;45420;43820;2793700
1975;Male;135140;137500;144200;135130;120000;114340;93520;79260;74110;78480;74980;62110;58270;47090;32470;18600;14830;1420030
;Female;129800;131780;137870;129230;115360;112220;90910;77110;70940;73660;74560;66310;63350;53480;41030;28670;30160;1426440
;Total;264940;269280;282070;264360;235360;226560;184430;156370;145050;152140;149540;128420;121620;100570;73500;47270;44990;2846470
1976;Male;131100;140400;143240;138630;119980;115620;95510;83880;72760;78640;74990;63780;58420;48080;33050;19560;15070;1432800
;Female;125910;134270;136870;132900;116180;113830;92990;81710;69780;73420;73690;67530;63490;54940;41490;29620;31460;1440100
;Total;257010;274670;280110;271530;236160;229450;188500;165590;142540;152060;148680;131310;121910;103020;74540;49180;46530;2872900
1977;Male;126480;140900;140060;141800;119490;113530;99490;86390;72680;76600;75640;64780;58240;48910;34230;20350;15100;1434700
;Female;121350;134920;133620;135460;115210;113090;96720;84650;70050;72310;73700;68580;63440;55910;42910;30290;32040;1444300
;Total;247830;275820;273680;277260;234700;226620;196210;171040;142730;148910;149340;133360;121680;104820;77140;50640;47140;2879000
1978;Male;121120;139550;137190;143260;119760;110180;103560;87720;73210;74530;76320;66590;57200;49760;35380;21210;15280;1431800
;Female;116650;133660;130910;136580;114960;111050;101940;85780;71130;70790;73540;69410;62360;56480;44150;31130;32550;1443100
;Total;237770;273210;268100;279840;234720;221230;205500;173500;144340;145320;149860;136000;119560;106240;79530;52340;47830;2874900
1979;Male;116670;135850;135620;142830;119170;107280;106440;88220;73840;73180;76240;68070;56550;50160;36290;22210;15580;1424200
;Female;112950;130790;129370;135480;115180;109090;106670;86160;73060;68610;73040;69720;61210;57090;45540;32110;33500;1439600
;Total;229620;266640;264990;278310;234350;216370;213110;174380;146900;141790;149280;137790;117760;107250;81830;54320;49080;2863800
1980;Male;114350;130600;134990;141710;122160;106800;108800;89850;75910;71040;76170;69270;56700;50190;37300;22850;15810;1424600
;Female;110920;126320;129120;134610;116480;108440;110160;87230;76570;66960;72330;69830;61580;57500;47060;32520;34600;1442200
;Total;225270;256920;264110;276320;238640;215240;218960;177080;152480;138000;148500;139100;118280;107690;84360;55370;50410;2866800
1981;Male;110630;127390;136300;137770;124300;109680;110670;91090;79610;69900;74740;70350;57980;50800;37840;23200;16880;1429100
;Female;106120;121960;130250;131550;119330;110390;110550;89790;78820;66980;70550;70140;64620;58850;47800;33830;36400;1447900
;Total;216750;249350;266550;269320;243630;220070;221220;180880;158430;136880;145290;140490;122600;109650;85640;57030;53280;2877000
1982;Male;109630;122940;137420;135290;127690;111430;110510;95870;82110;69790;73360;70600;59570;51160;38730;23690;17680;1437500
;Female;105030;117580;130840;129520;123180;112870;110860;95150;81840;67290;69230;70250;65610;59390;48800;35310;37590;1460400
;Total;214660;240520;268260;264810;250870;224300;221370;191020;163950;137080;142590;140850;125180;110550;87530;59000;55270;2897900
1983;Male;110850;118840;137360;134320;132880;115100;111070;102820;84360;71030;72110;70280;62000;50400;39560;24560;18320;1455900
;Female;105630;113410;131610;128850;126770;116720;112390;101760;84280;68550;68690;69670;66990;58940;49940;36580;38720;1479500
;Total;216480;232250;268970;263170;259650;231820;223460;204580;168640;139580;140800;139950;128990;109340;89500;61140;57040;2935400
1984;Male;112000;115410;135380;134720;134550;118160;111480;108340;86480;72640;70320;70090;63940;49530;40150;25620;19010;1467800
;Female;106480;110230;131170;128950;128300;118660;113900;107370;86460;70870;67640;69150;68370;58520;51100;37660;40280;1495200
;Total;218480;225640;266550;263670;262850;236820;225380;215710;172940;143510;137960;139240;132310;108050;91250;63280;59290;2963000
1985;Male;112570;112800;132200;136120;132180;120070;111900;110640;89020;75240;69250;70450;65030;49380;41000;26310;19510;1473700
;Female;107360;108020;128500;129610;126340;119850;116100;110540;87920;74090;66420;68910;69330;59290;51940;38560;42030;1504700
;Total;219930;220820;260700;265730;258520;239920;228000;221180;176940;149330;135670;139360;134360;108670;92940;64870;61540;2978400
1986;Male;111490;112430;129380;135140;125350;120710;112710;111690;91110;78560;68130;71430;65190;50990;41150;27320;21110;1474000
;Female;106270;108010;124290;130090;122020;121500;114890;111890;90650;77670;66520;68850;67980;60170;52500;39460;43370;1506200
;Total;217800;220440;253670;265240;247370;242210;227600;223590;181750;156230;134650;140270;133170;111160;93650;66780;64480;2980200
