"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",26,1,1,11,16,9,24,11,14,32,35,40,60,95,142,151,266,934,2
1996,"Female",26,4,4,2,8,3,7,3,11,24,21,35,28,60,92,136,547,1011,2
1996,"Total",52,5,5,13,24,12,31,14,25,56,56,75,88,155,234,287,813,1945,2
1997,"Male",21,4,2,8,16,11,14,13,14,19,40,54,49,95,147,143,334,984,2
1997,"Female",14,2,2,7,4,2,9,5,9,15,28,21,30,59,75,120,546,948,2
1997,"Total",35,6,4,15,20,13,23,18,23,34,68,75,79,154,222,263,880,1932,2
1998,"Male",13,2,1,8,16,14,4,10,11,23,32,52,66,92,118,158,321,941,2
1998,"Female",12,0,1,8,1,2,7,6,14,19,23,34,32,51,68,140,533,951,2
1998,"Total",25,2,2,16,17,16,11,16,25,42,55,86,98,143,186,298,854,1892,2
1999,"Male",19,0,0,6,8,9,11,10,14,14,33,37,49,82,117,186,310,905,2
1999,"Female",13,1,1,5,2,4,5,5,6,13,24,29,41,47,71,108,542,917,2
1999,"Total",32,1,1,11,10,13,16,15,20,27,57,66,90,129,188,294,852,1822,2
2000,"Male",24,1,7,11,8,10,9,13,15,17,34,38,55,75,149,173,358,997,2
2000,"Female",12,1,0,1,0,4,4,10,7,20,34,19,49,47,80,138,566,992,2
2000,"Total",36,2,7,12,8,14,13,23,22,37,68,57,104,122,229,311,924,1989,2
2001,"Male",24,0,1,6,10,9,5,10,20,21,35,52,64,82,132,159,377,1007,2
2001,"Female",16,1,2,3,4,3,3,8,9,13,30,25,48,54,64,137,616,1036,2
2001,"Total",40,1,3,9,14,12,8,18,29,34,65,77,112,136,196,296,993,2043,2
2002,"Male",16,2,4,9,4,12,12,15,21,35,24,42,56,83,136,159,413,1043,2
2002,"Female",20,2,0,3,3,3,2,12,7,17,19,40,38,50,74,121,605,1016,2
2002,"Total",36,4,4,12,7,15,14,27,28,52,43,82,94,133,210,280,1018,2059,2
2003,"Male",19,2,1,8,6,13,10,11,18,18,44,53,64,72,109,132,367,947,2
2003,"Female",19,2,0,2,3,5,2,6,11,18,27,48,46,42,66,139,656,1092,2
2003,"Total",38,4,1,10,9,18,12,17,29,36,71,101,110,114,175,271,1023,2039,2
2004,"Male",27,3,2,8,12,7,13,11,11,24,32,50,59,89,128,170,410,1056,2
2004,"Female",27,1,1,8,4,1,5,3,10,20,24,37,50,39,75,121,783,1209,2
2004,"Total",54,4,3,16,16,8,18,14,21,44,56,87,109,128,203,291,1193,2265,2
2005,"Male",23,3,2,12,4,6,4,10,18,15,33,47,52,58,98,157,416,958,2
2005,"Female",19,0,0,2,8,2,5,9,10,30,22,41,54,44,65,101,709,1121,2
2005,"Total",42,3,2,14,12,8,9,19,28,45,55,88,106,102,163,258,1125,2079,2
2006,"Male",17,0,2,8,3,4,6,8,11,24,26,55,65,79,98,163,424,993,2
2006,"Female",14,0,1,3,2,1,3,4,15,18,34,37,38,53,80,103,686,1092,2
2006,"Total",31,0,3,11,5,5,9,12,26,42,60,92,103,132,178,266,1110,2085,2
2007,"Male",20,0,4,13,10,3,13,5,16,27,32,34,65,71,104,162,435,1014,2
2007,"Female",20,1,2,10,3,2,1,5,17,18,23,46,43,62,64,108,688,1113,2
2007,"Total",40,1,6,23,13,5,14,10,33,45,55,80,108,133,168,270,1123,2127,2
2008,"Male",31,0,1,12,6,6,4,13,19,25,33,42,52,82,112,134,475,1047,2
2008,"Female",19,1,1,4,4,2,4,7,7,15,21,43,38,61,68,104,717,1116,2
2008,"Total",50,1,2,16,10,8,8,20,26,40,54,85,90,143,180,238,1192,2163,2
2009,"Male",21,2,1,8,9,5,3,12,17,16,26,52,60,72,85,149,419,957,2
2009,"Female",28,1,3,1,0,5,4,8,11,22,24,41,50,64,79,95,716,1152,2
2009,"Total",49,3,4,9,9,10,7,20,28,38,50,93,110,136,164,244,1135,2109,2
2010,"Male",19,0,1,4,13,8,7,7,23,21,31,40,77,75,96,132,451,1005,2
2010,"Female",24,0,2,2,2,4,4,7,12,19,16,38,41,54,83,73,688,1069,2
2010,"Total",43,0,3,6,15,12,11,14,35,40,47,78,118,129,179,205,1139,2074,2
2011,"Male",30,0,2,6,10,6,8,8,11,19,24,58,85,90,109,152,478,1096,2
2011,"Female",32,0,0,1,6,4,5,5,15,21,29,43,45,57,82,101,801,1247,2
2011,"Total",62,0,2,7,16,10,13,13,26,40,53,101,130,147,191,253,1279,2343,2
2012,"Male",19,2,2,4,11,4,5,11,13,24,46,47,65,89,121,137,577,1177,2
2012,"Female",23,0,1,1,3,4,3,5,15,20,27,28,36,45,91,106,788,1196,2
2012,"Total",42,2,3,5,14,8,8,16,28,44,73,75,101,134,212,243,1365,2373,2
2013,"Male",27,1,1,4,9,6,2,10,10,22,28,50,63,87,109,128,541,1098,2
2013,"Female",11,1,1,2,2,2,5,5,12,20,25,22,42,63,84,113,727,1137,2
2013,"Total",38,2,2,6,11,8,7,15,22,42,53,72,105,150,193,241,1268,2235,2
