"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",4,0,0,2,1,3,1,1,3,3,6,8,8,8,5,7,4,64,4
1996,"Female",7,1,3,1,0,1,1,1,3,1,1,2,5,8,1,4,6,46,4
1996,"Total",11,1,3,3,1,4,2,2,6,4,7,10,13,16,6,11,10,110,4
1997,"Male",12,1,0,4,0,1,2,3,2,2,4,4,5,9,7,5,3,64,4
1997,"Female",9,0,0,1,1,1,1,1,3,2,3,3,8,6,3,2,8,52,4
1997,"Total",21,1,0,5,1,2,3,4,5,4,7,7,13,15,10,7,11,116,4
1998,"Male",8,1,0,1,3,5,5,1,2,10,0,9,7,11,3,6,8,80,4
1998,"Female",4,1,0,0,0,3,2,1,0,4,1,3,5,13,7,8,11,63,4
1998,"Total",12,2,0,1,3,8,7,2,2,14,1,12,12,24,10,14,19,143,4
1999,"Male",7,0,0,2,1,2,3,1,2,6,5,7,8,7,7,4,7,69,4
1999,"Female",5,0,1,0,0,2,1,0,1,1,0,5,8,2,1,4,11,42,4
1999,"Total",12,0,1,2,1,4,4,1,3,7,5,12,16,9,8,8,18,111,4
2000,"Male",1,0,1,4,2,0,1,0,5,7,1,5,13,6,5,8,7,66,4
2000,"Female",8,0,1,2,1,1,0,0,2,2,3,5,4,5,4,6,5,49,4
2000,"Total",9,0,2,6,3,1,1,0,7,9,4,10,17,11,9,14,12,115,4
2001,"Male",5,0,0,2,4,2,1,4,3,2,7,10,9,5,15,3,4,76,4
2001,"Female",6,0,1,1,1,3,0,1,2,4,3,6,5,3,6,6,13,61,4
2001,"Total",11,0,1,3,5,5,1,5,5,6,10,16,14,8,21,9,17,137,4
2002,"Male",12,0,0,6,1,1,3,3,2,7,6,17,6,12,7,3,8,94,4
2002,"Female",3,0,0,0,2,0,4,3,1,3,2,6,6,9,7,5,15,66,4
2002,"Total",15,0,0,6,3,1,7,6,3,10,8,23,12,21,14,8,23,160,4
2003,"Male",7,0,2,4,1,1,3,1,2,3,7,5,7,5,5,3,8,64,4
2003,"Female",5,0,1,2,0,0,0,0,1,4,4,1,5,5,7,5,17,57,4
2003,"Total",12,0,3,6,1,1,3,1,3,7,11,6,12,10,12,8,25,121,4
2004,"Male",4,1,0,5,3,3,2,0,1,2,7,6,4,5,10,8,7,68,4
2004,"Female",4,0,0,1,2,4,1,1,2,1,2,4,4,8,8,9,9,60,4
2004,"Total",8,1,0,6,5,7,3,1,3,3,9,10,8,13,18,17,16,128,4
2005,"Male",10,0,0,7,2,1,3,1,2,2,9,2,5,7,12,8,6,77,4
2005,"Female",3,2,1,1,0,0,2,1,2,4,7,4,4,4,4,5,10,54,4
2005,"Total",13,2,1,8,2,1,5,2,4,6,16,6,9,11,16,13,16,131,4
2006,"Male",8,2,1,3,1,1,2,1,4,7,4,9,9,8,7,2,2,71,4
2006,"Female",7,0,0,4,1,0,1,3,4,4,7,6,4,6,7,6,9,69,4
2006,"Total",15,2,1,7,2,1,3,4,8,11,11,15,13,14,14,8,11,140,4
2007,"Male",4,0,1,1,3,1,1,1,4,6,4,6,8,7,8,7,7,69,4
2007,"Female",6,0,0,0,1,1,0,2,2,3,5,4,6,5,10,2,12,59,4
2007,"Total",10,0,1,1,4,2,1,3,6,9,9,10,14,12,18,9,19,128,4
2008,"Male",5,0,0,0,0,1,0,2,3,1,7,12,7,6,8,5,9,66,4
2008,"Female",5,1,0,3,1,0,0,0,1,1,5,6,4,1,3,4,13,48,4
2008,"Total",10,1,0,3,1,1,0,2,4,2,12,18,11,7,11,9,22,114,4
2009,"Male",8,0,2,2,5,2,0,2,2,3,6,6,7,11,8,11,8,83,4
2009,"Female",3,0,0,0,2,0,2,1,2,3,6,7,4,2,4,4,9,49,4
2009,"Total",11,0,2,2,7,2,2,3,4,6,12,13,11,13,12,15,17,132,4
2010,"Male",6,0,1,2,0,3,1,4,4,10,7,5,3,10,11,5,9,81,4
2010,"Female",8,0,0,0,0,2,0,2,2,6,6,5,6,5,10,3,15,70,4
2010,"Total",14,0,1,2,0,5,1,6,6,16,13,10,9,15,21,8,24,151,4
2011,"Male",5,0,0,4,0,1,1,0,3,3,6,9,6,5,4,6,12,65,4
2011,"Female",7,0,0,0,0,1,0,1,1,2,4,6,7,5,10,7,9,60,4
2011,"Total",12,0,0,4,0,2,1,1,4,5,10,15,13,10,14,13,21,125,4
2012,"Male",3,0,0,3,0,2,2,1,3,2,4,5,7,4,11,4,12,63,4
2012,"Female",4,0,1,1,0,1,0,0,0,2,4,1,4,8,7,8,15,56,4
2012,"Total",7,0,1,4,0,3,2,1,3,4,8,6,11,12,18,12,27,119,4
2013,"Male",5,0,1,2,4,2,0,4,5,3,2,8,9,15,6,11,15,92,4
2013,"Female",1,0,0,1,0,0,3,0,1,4,4,5,4,6,13,10,21,73,4
2013,"Total",6,0,1,3,4,2,3,4,6,7,6,13,13,21,19,21,36,165,4
