"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",16,0,1,5,3,0,3,7,2,16,5,7,30,39,59,0,0,193,8
1996,"Female",11,2,1,3,0,3,4,5,4,9,9,12,16,31,34,0,0,144,8
1996,"Total",27,2,2,8,3,3,7,12,6,25,14,19,46,70,93,0,0,337,8
1997,"Male",13,1,1,0,4,6,8,2,6,10,9,14,25,28,45,0,0,172,8
1997,"Female",11,0,1,0,5,3,3,6,4,6,10,16,23,24,31,0,0,143,8
1997,"Total",24,1,2,0,9,9,11,8,10,16,19,30,48,52,76,0,0,315,8
1998,"Male",16,1,2,1,3,4,5,4,8,10,10,14,17,40,54,0,0,189,8
1998,"Female",6,0,3,3,2,2,6,1,10,6,18,11,14,31,39,0,0,152,8
1998,"Total",22,1,5,4,5,6,11,5,18,16,28,25,31,71,93,0,0,341,8
1999,"Male",15,2,1,6,2,4,3,9,5,11,6,17,15,33,65,0,0,194,8
1999,"Female",7,1,3,0,1,1,4,2,3,4,4,8,16,28,39,0,0,121,8
1999,"Total",22,3,4,6,3,5,7,11,8,15,10,25,31,61,104,0,0,315,8
2000,"Male",9,0,2,2,3,4,3,8,6,9,15,15,25,45,53,0,0,199,8
2000,"Female",5,0,0,1,1,7,2,2,4,12,14,12,22,18,44,0,0,144,8
2000,"Total",14,0,2,3,4,11,5,10,10,21,29,27,47,63,97,0,0,343,8
2001,"Male",7,3,1,3,6,6,5,5,17,19,11,24,23,34,70,0,0,234,8
2001,"Female",6,3,0,1,3,2,1,5,7,8,13,12,25,32,33,0,0,151,8
2001,"Total",13,6,1,4,9,8,6,10,24,27,24,36,48,66,103,0,0,385,8
2002,"Male",8,3,3,2,5,5,4,6,9,9,23,19,32,42,69,0,0,239,8
2002,"Female",8,1,0,0,2,1,3,6,1,5,18,17,24,28,47,0,0,161,8
2002,"Total",16,4,3,2,7,6,7,12,10,14,41,36,56,70,116,0,0,400,8
2003,"Male",5,2,2,5,2,4,4,6,13,8,19,16,28,37,68,0,0,219,8
2003,"Female",7,0,1,2,0,4,4,5,8,10,11,12,18,34,46,0,0,162,8
2003,"Total",12,2,3,7,2,8,8,11,21,18,30,28,46,71,114,0,0,381,8
2004,"Male",8,0,4,0,4,1,2,2,6,6,12,25,15,37,47,0,0,169,8
2004,"Female",8,0,1,1,0,3,3,8,6,13,13,11,26,31,44,0,0,168,8
2004,"Total",16,0,5,1,4,4,5,10,12,19,25,36,41,68,91,0,0,337,8
2005,"Male",7,1,0,1,1,4,3,11,10,8,13,27,34,35,59,0,0,214,8
2005,"Female",6,0,2,2,1,1,6,1,7,11,11,16,21,30,38,0,0,153,8
2005,"Total",13,1,2,3,2,5,9,12,17,19,24,43,55,65,97,0,0,367,8
2006,"Male",10,0,0,1,3,5,1,3,6,15,18,19,29,43,52,0,0,205,8
2006,"Female",7,0,2,1,5,1,1,2,4,8,15,15,25,21,46,0,0,153,8
2006,"Total",17,0,2,2,8,6,2,5,10,23,33,34,54,64,98,0,0,358,8
2007,"Male",13,2,4,5,2,1,1,4,7,6,18,24,28,44,61,0,0,220,8
2007,"Female",6,1,0,1,1,3,0,6,5,9,16,19,18,35,37,0,0,157,8
2007,"Total",19,3,4,6,3,4,1,10,12,15,34,43,46,79,98,0,0,377,8
2008,"Male",11,1,2,2,5,5,4,0,1,10,13,24,28,44,55,0,0,205,8
2008,"Female",6,2,2,3,1,1,4,5,3,10,14,10,24,31,44,0,0,160,8
2008,"Total",17,3,4,5,6,6,8,5,4,20,27,34,52,75,99,0,0,365,8
2009,"Male",11,0,0,1,3,1,7,5,11,16,14,16,30,45,52,0,0,212,8
2009,"Female",5,0,4,1,1,2,1,4,8,12,9,13,21,37,46,0,0,164,8
2009,"Total",16,0,4,2,4,3,8,9,19,28,23,29,51,82,98,0,0,376,8
2010,"Male",7,0,0,1,1,2,4,5,7,7,7,31,36,38,51,0,0,197,8
2010,"Female",8,0,2,0,0,3,3,4,3,11,9,17,20,39,44,0,0,163,8
2010,"Total",15,0,2,1,1,5,7,9,10,18,16,48,56,77,95,0,0,360,8
2011,"Male",9,0,1,5,5,6,6,4,6,10,16,19,28,42,53,0,0,210,8
2011,"Female",3,0,1,0,3,6,3,0,11,11,18,13,15,24,48,0,0,156,8
2011,"Total",12,0,2,5,8,12,9,4,17,21,34,32,43,66,101,0,0,366,8
2012,"Male",8,3,3,0,3,6,2,4,9,11,18,26,41,48,77,0,0,259,8
2012,"Female",9,0,0,2,1,0,2,2,8,9,15,18,28,34,57,0,0,185,8
2012,"Total",17,3,3,2,4,6,4,6,17,20,33,44,69,82,134,0,0,444,8
2013,"Male",3,0,0,2,4,4,2,7,12,10,15,35,37,39,71,0,0,241,8
2013,"Female",2,1,3,1,0,1,3,3,6,7,16,16,30,39,47,0,0,175,8
2013,"Total",5,1,3,3,4,5,5,10,18,17,31,51,67,78,118,0,0,416,8
