"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",428,25,31,163,185,179,196,204,208,353,471,675,1019,1548,2026,2124,4370,14205,0
1996,"Female",393,22,31,76,65,70,93,112,132,289,326,423,644,973,1413,1873,6696,13631,0
1996,"Total",821,47,62,239,250,249,289,316,340,642,797,1098,1663,2521,3439,3997,11066,27836,0
1997,"Male",396,32,30,157,170,194,182,204,262,341,491,659,936,1533,1968,2063,4371,13989,0
1997,"Female",330,16,26,63,58,80,96,100,167,248,348,467,545,897,1299,1720,6618,13078,0
1997,"Total",726,48,56,220,228,274,278,304,429,589,839,1126,1481,2430,3267,3783,10989,27067,0
1998,"Male",362,32,41,118,175,187,158,223,255,323,446,654,927,1395,1884,2102,4194,13476,0
1998,"Female",289,15,27,78,48,55,96,114,178,222,325,453,605,876,1240,1797,6374,12792,0
1998,"Total",651,47,68,196,223,242,254,337,433,545,771,1107,1532,2271,3124,3899,10568,26268,0
1999,"Male",379,25,32,121,144,175,165,211,241,340,502,721,938,1293,1937,2317,4516,14057,0
1999,"Female",322,14,29,63,53,56,76,120,185,243,340,460,614,874,1292,1846,7078,13665,0
1999,"Total",701,39,61,184,197,231,241,331,426,583,842,1181,1552,2167,3229,4163,11594,27722,0
2000,"Male",383,18,41,116,133,163,189,191,249,330,446,613,808,1286,1834,2246,4466,13512,0
2000,"Female",324,27,13,45,35,71,72,98,177,235,338,470,599,788,1175,1709,6596,12772,0
2000,"Total",707,45,54,161,168,234,261,289,426,565,784,1083,1407,2074,3009,3955,11062,26284,0
2001,"Male",360,20,32,129,145,126,167,177,263,292,481,618,890,1221,1915,2143,4736,13715,0
2001,"Female",294,23,27,54,50,59,87,106,150,235,369,409,636,800,1198,1776,7478,13751,0
2001,"Total",654,43,59,183,195,185,254,283,413,527,850,1027,1526,2021,3113,3919,12214,27466,0
2002,"Male",356,26,29,102,130,130,149,191,242,339,483,664,903,1202,1805,2210,4894,13855,0
2002,"Female",317,19,15,48,50,63,78,115,163,238,331,473,594,759,1199,1777,7576,13815,0
2002,"Total",673,45,44,150,180,193,227,306,405,577,814,1137,1497,1961,3004,3987,12470,27670,0
2003,"Male",348,14,35,131,124,118,161,185,259,338,482,641,892,1129,1656,2158,4956,13627,0
2003,"Female",306,16,20,68,52,46,76,112,174,251,348,460,594,785,1163,1664,7588,13723,0
2003,"Total",654,30,55,199,176,164,237,297,433,589,830,1101,1486,1914,2819,3822,12544,27350,0
2004,"Male",373,17,29,121,133,121,128,192,233,362,454,644,849,1144,1619,2198,5214,13831,0
2004,"Female",346,17,19,64,51,46,84,122,181,256,353,477,633,786,1138,1658,7951,14182,0
2004,"Total",719,34,48,185,184,167,212,314,414,618,807,1121,1482,1930,2757,3856,13165,28013,0
2005,"Male",359,19,30,138,135,120,121,176,276,333,463,679,849,1121,1465,2017,4949,13250,0
2005,"Female",286,19,15,55,50,41,78,109,182,279,321,473,592,752,1003,1562,7625,13442,0
2005,"Total",645,38,45,193,185,161,199,285,458,612,784,1152,1441,1873,2468,3579,12574,26692,0
2006,"Male",393,20,19,127,123,112,130,168,221,354,457,683,889,1146,1476,2093,5309,13720,0
2006,"Female",314,11,18,59,44,47,63,111,169,260,350,477,570,795,1089,1637,8114,14128,0
2006,"Total",707,31,37,186,167,159,193,279,390,614,807,1160,1459,1941,2565,3730,13423,27848,0
2007,"Male",375,17,27,105,140,107,133,180,234,377,480,655,860,1133,1496,2081,5407,13807,0
2007,"Female",362,12,23,57,47,39,65,123,190,225,329,479,570,818,1014,1569,7945,13867,0
2007,"Total",737,29,50,162,187,146,198,303,424,602,809,1134,1430,1951,2510,3650,13352,27674,0
2008,"Male",398,13,29,118,131,108,108,170,239,344,443,690,915,1197,1458,2074,5729,14164,0
2008,"Female",328,15,14,58,54,53,58,121,160,224,318,531,651,833,1083,1532,8347,14380,0
2008,"Total",726,28,43,176,185,161,166,291,399,568,761,1221,1566,2030,2541,3606,14076,28544,0
2009,"Male",384,10,22,116,137,96,143,161,227,343,509,617,947,1182,1464,1968,5771,14097,0
2009,"Female",338,17,23,47,44,54,53,104,166,259,389,417,648,811,1060,1429,8277,14136,0
2009,"Total",722,27,45,163,181,150,196,265,393,602,898,1034,1595,1993,2524,3397,14048,28233,0
2010,"Male",381,10,22,106,131,96,93,163,223,365,473,655,907,1162,1405,1848,5886,13926,0
2010,"Female",328,6,17,51,47,51,64,97,170,268,351,434,642,829,1050,1391,8212,14008,0
