"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",273,20,21,114,134,129,136,145,154,279,356,537,836,1379,1893,2031,4246,12683,0
1996,"Female",241,19,16,57,51,44,67,78,96,213,256,325,505,826,1289,1783,6542,12408,0
1996,"Total",514,39,37,171,185,173,203,223,250,492,612,862,1341,2205,3182,3814,10788,25091,0
1997,"Male",233,22,17,106,136,142,134,166,200,262,376,518,769,1349,1840,1975,4267,12512,0
1997,"Female",210,10,18,43,39,59,69,64,119,190,264,369,424,762,1174,1617,6480,11911,0
1997,"Total",443,32,35,149,175,201,203,230,319,452,640,887,1193,2111,3014,3592,10747,24423,0
1998,"Male",222,22,22,81,126,135,110,169,192,227,338,516,749,1227,1746,2007,4092,11981,0
1998,"Female",187,10,17,54,32,34,74,86,147,164,261,347,483,723,1125,1697,6232,11673,0
1998,"Total",409,32,39,135,158,169,184,255,339,391,599,863,1232,1950,2871,3704,10324,23654,0
1999,"Male",224,18,19,93,102,132,118,154,169,252,376,578,743,1139,1788,2209,4397,12511,0
1999,"Female",215,11,17,45,37,39,51,84,132,177,261,348,485,740,1161,1736,6927,12466,0
1999,"Total",439,29,36,138,139,171,169,238,301,429,637,926,1228,1879,2949,3945,11324,24977,0
2000,"Male",256,10,31,85,95,121,143,144,186,244,345,466,646,1112,1693,2125,4348,12050,0
2000,"Female",213,18,9,33,24,54,47,72,129,178,260,364,472,619,1055,1610,6426,11583,0
2000,"Total",469,28,40,118,119,175,190,216,315,422,605,830,1118,1731,2748,3735,10774,23633,0
2001,"Male",220,12,26,95,116,87,116,140,196,220,370,481,736,1053,1753,2044,4625,12290,0
2001,"Female",183,14,17,40,36,36,61,66,105,172,271,309,475,675,1055,1664,7314,12493,0
2001,"Total",403,26,43,135,152,123,177,206,301,392,641,790,1211,1728,2808,3708,11939,24783,0
2002,"Male",226,20,21,71,98,101,105,145,176,247,365,532,742,1013,1635,2094,4778,12369,0
2002,"Female",222,15,9,30,35,42,50,84,114,158,246,370,476,608,1058,1680,7408,12605,0
2002,"Total",448,35,30,101,133,143,155,229,290,405,611,902,1218,1621,2693,3774,12186,24974,0
2003,"Male",215,8,19,91,87,80,103,140,187,246,373,499,731,965,1501,2010,4832,12087,0
2003,"Female",205,13,10,37,40,29,62,91,126,177,268,366,460,621,1016,1563,7415,12499,0
2003,"Total",420,21,29,128,127,109,165,231,313,423,641,865,1191,1586,2517,3573,12247,24586,0
2004,"Male",254,12,19,80,95,82,94,146,147,265,326,517,715,949,1446,2081,5081,12309,0
2004,"Female",238,15,8,43,36,30,56,83,127,178,278,363,502,655,990,1533,7774,12909,0
2004,"Total",492,27,27,123,131,112,150,229,274,443,604,880,1217,1604,2436,3614,12855,25218,0
2005,"Male",231,13,22,92,87,83,70,128,186,255,348,559,686,949,1319,1877,4815,11720,0
2005,"Female",190,10,11,37,36,27,53,72,122,214,244,379,439,600,864,1447,7411,12156,0
2005,"Total",421,23,33,129,123,110,123,200,308,469,592,938,1125,1549,2183,3324,12226,23876,0
2006,"Male",253,8,12,79,92,82,87,119,162,243,346,528,711,963,1304,1945,5173,12107,0
2006,"Female",198,5,9,30,31,30,35,75,121,196,260,375,442,660,932,1515,7900,12814,0
2006,"Total",451,13,21,109,123,112,122,194,283,439,606,903,1153,1623,2236,3460,13073,24921,0
2007,"Male",238,10,22,73,107,74,86,119,158,266,342,516,701,938,1318,1931,5263,12162,0
2007,"Female",229,6,14,42,31,24,38,87,143,167,247,372,429,686,857,1444,7734,12550,0
2007,"Total",467,16,36,115,138,98,124,206,301,433,589,888,1130,1624,2175,3375,12997,24712,0
2008,"Male",257,8,17,90,88,85,78,130,169,270,330,526,741,1024,1288,1928,5584,12613,0
2008,"Female",225,9,10,34,36,37,46,89,104,149,230,400,510,662,905,1416,8097,12959,0
2008,"Total",482,17,27,124,124,122,124,219,273,419,560,926,1251,1686,2193,3344,13681,25572,0
2009,"Male",240,7,11,74,97,63,112,108,164,248,367,485,764,982,1253,1830,5600,12405,0
2009,"Female",217,11,17,27,29,36,34,80,117,185,290,320,524,673,877,1299,8006,12742,0
2009,"Total",457,18,28,101,126,99,146,188,281,433,657,805,1288,1655,2130,3129,13606,25147,0
2010,"Male",240,5,10,65,88,65,76,121,151,258,333,520,750,1010,1240,1711,5729,12372,0
2010,"Female",209,5,10,30,34,33,47,73,128,202,241,321,512,682,890,1250,7940,12607,0
2010,"Total",449,10,20,95,122,98,123,194,279,460,574,841,1262,1692,2130,2961,13669,24979,0
2011,"Male",247,5,16,66,113,70,75,89,184,224,343,555,773,1006,1307,1741,6087,12901,0
2011,"Female",189,4,6,34,46,52,63,74,123,177,243,349,536,717,930,1311,8590,13444,0
2011,"Total",436,9,22,100,159,122,138,163,307,401,586,904,1309,1723,2237,3052,14677,26345,0
2012,"Male",220,7,11,61,90,76,52,98,147,234,356,486,712,1061,1393,1630,6240,12874,0
2012,"Female",206,10,5,18,31,21,47,54,128,197,270,322,476,658,947,1296,8563,13249,0
2012,"Total",426,17,16,79,121,97,99,152,275,431,626,808,1188,1719,2340,2926,14803,26123,0
2013,"Male",190,6,8,50,67,64,58,89,140,245,358,498,667,1012,1338,1624,6034,12448,0
2013,"Female",163,4,6,26,26,19,45,56,111,145,276,324,503,661,878,1290,7825,12358,0
2013,"Total",353,10,14,76,93,83,103,145,251,390,634,822,1170,1673,2216,2914,13859,24806,0
