"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",6,0,0,3,0,1,6,4,6,5,5,5,8,9,7,7,16,88,0
1996,"Female",7,0,0,1,1,1,0,2,6,9,3,4,6,8,8,9,15,80,0
1996,"Total",13,0,0,4,1,2,6,6,12,14,8,9,14,17,15,16,31,168,0
1997,"Male",6,0,0,2,0,3,1,3,5,9,5,4,9,8,9,6,12,82,0
1997,"Female",3,0,0,2,1,0,3,3,3,1,5,9,8,12,10,4,13,77,0
1997,"Total",9,0,0,4,1,3,4,6,8,10,10,13,17,20,19,10,25,159,0
1998,"Male",5,0,1,0,1,0,2,3,6,5,6,4,9,4,12,6,11,75,0
1998,"Female",3,0,0,1,1,0,2,1,2,4,7,15,7,12,11,9,11,86,0
1998,"Total",8,0,1,1,2,0,4,4,8,9,13,19,16,16,23,15,22,161,0
1999,"Male",4,0,0,0,0,1,1,3,3,5,9,5,13,7,7,6,8,72,0
1999,"Female",3,0,1,0,0,0,1,3,0,7,6,12,9,12,8,8,14,84,0
1999,"Total",7,0,1,0,0,1,2,6,3,12,15,17,22,19,15,14,22,156,0
2000,"Male",3,0,1,1,0,3,1,4,4,2,6,5,6,8,6,5,7,62,0
2000,"Female",2,0,0,0,1,0,1,3,5,2,9,9,4,6,4,5,10,61,0
2000,"Total",5,0,1,1,1,3,2,7,9,4,15,14,10,14,10,10,17,123,0
2001,"Male",2,1,0,1,2,0,2,1,6,2,5,7,5,5,5,1,5,50,0
2001,"Female",3,1,0,0,0,1,1,4,2,1,4,5,9,7,3,4,8,53,0
2001,"Total",5,2,0,1,2,1,3,5,8,3,9,12,14,12,8,5,13,103,0
2002,"Male",3,0,0,0,1,2,0,3,1,3,6,1,6,8,5,6,5,50,0
2002,"Female",1,0,1,0,0,1,1,1,4,4,2,10,6,8,6,2,13,60,0
2002,"Total",4,0,1,0,1,3,1,4,5,7,8,11,12,16,11,8,18,110,0
2003,"Male",0,1,1,1,1,0,0,0,0,5,3,4,3,5,5,9,4,42,0
2003,"Female",3,0,0,1,1,0,0,1,7,3,6,4,10,4,4,6,10,60,0
2003,"Total",3,1,1,2,2,0,0,1,7,8,9,8,13,9,9,15,14,102,0
2004,"Male",4,0,0,0,2,2,0,1,5,7,4,4,10,6,8,2,7,62,0
2004,"Female",8,0,0,0,0,1,0,5,3,9,2,11,4,6,6,5,16,76,0
2004,"Total",12,0,0,0,2,3,0,6,8,16,6,15,14,12,14,7,23,138,0
2005,"Male",4,0,1,0,0,0,1,1,5,5,7,4,7,5,7,2,4,53,0
2005,"Female",1,0,0,0,0,0,1,4,4,5,6,6,8,10,7,6,11,69,0
2005,"Total",5,0,1,0,0,0,2,5,9,10,13,10,15,15,14,8,15,122,0
2006,"Male",6,0,0,0,1,0,1,1,4,5,6,4,9,6,8,10,8,69,0
2006,"Female",5,0,0,1,0,0,1,1,2,2,9,4,4,5,7,6,10,57,0
2006,"Total",11,0,0,1,1,0,2,2,6,7,15,8,13,11,15,16,18,126,0
2007,"Male",6,1,0,0,1,1,1,2,3,2,3,1,7,8,12,4,11,63,0
2007,"Female",10,0,0,1,0,0,2,5,3,1,7,9,7,10,9,11,13,88,0
2007,"Total",16,1,0,1,1,1,3,7,6,3,10,10,14,18,21,15,24,151,0
2008,"Male",4,0,0,1,1,1,2,1,8,2,6,5,8,7,6,9,8,69,0
2008,"Female",2,0,0,0,1,0,2,3,3,5,2,5,6,10,14,6,25,84,0
2008,"Total",6,0,0,1,2,1,4,4,11,7,8,10,14,17,20,15,33,153,0
2009,"Male",5,0,1,3,0,2,0,2,4,7,12,8,4,8,11,7,6,80,0
2009,"Female",3,0,0,1,0,1,3,1,4,5,4,5,6,10,9,5,19,76,0
2009,"Total",8,0,1,4,0,3,3,3,8,12,16,13,10,18,20,12,25,156,0
2010,"Male",6,0,1,2,1,2,0,4,3,7,7,9,5,5,6,5,12,75,0
2010,"Female",1,0,0,1,0,1,0,0,3,3,2,2,4,4,7,5,18,51,0
2010,"Total",7,0,1,3,1,3,0,4,6,10,9,11,9,9,13,10,30,126,0
2011,"Male",3,0,0,1,1,0,1,2,1,4,7,4,4,8,6,7,7,56,0
2011,"Female",1,0,0,1,1,1,2,2,3,4,4,5,11,10,4,7,22,78,0
2011,"Total",4,0,0,2,2,1,3,4,4,8,11,9,15,18,10,14,29,134,0
2012,"Male",5,0,0,4,1,0,1,2,2,3,6,8,3,9,7,9,19,79,0
2012,"Female",4,0,1,0,0,0,1,0,2,1,7,3,8,11,6,8,22,74,0
2012,"Total",9,0,1,4,1,0,2,2,4,4,13,11,11,20,13,17,41,153,0
2013,"Male",2,0,0,2,0,0,1,2,4,2,8,3,9,9,12,9,7,70,0
2013,"Female",1,0,0,0,0,1,0,0,1,4,9,3,10,9,9,16,34,97,0
2013,"Total",3,0,0,2,0,1,1,2,5,6,17,6,19,18,21,25,41,167,0
