Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total
2007;Male;3;1;2;0;2;4;18;11;18;NA;NA;NA;NA;NA;NA;NA;NA;59
2007;Female;6;0;1;2;0;2;2;8;18;NA;NA;NA;NA;NA;NA;NA;NA;39
2007;Total;9;1;3;2;2;6;20;19;36;NA;NA;NA;NA;NA;NA;NA;NA;98
2008;Male;2;0;2;2;6;2;3;10;14;NA;NA;NA;NA;NA;NA;NA;NA;41
2008;Female;0;0;2;1;3;1;1;4;12;NA;NA;NA;NA;NA;NA;NA;NA;24
2008;Total;2;0;4;3;9;3;4;14;26;NA;NA;NA;NA;NA;NA;NA;NA;65
2009;Male;0;0;0;2;6;3;4;12;19;NA;NA;NA;NA;NA;NA;NA;NA;46
2009;Female;0;0;1;0;1;5;3;15;10;NA;NA;NA;NA;NA;NA;NA;NA;35
2009;Total;0;0;1;2;7;8;7;27;29;NA;NA;NA;NA;NA;NA;NA;NA;81
2010;Male;0;0;3;1;2;7;7;23;19;NA;NA;NA;NA;NA;NA;NA;NA;62
2010;Female;1;0;0;0;2;4;3;6;18;NA;NA;NA;NA;NA;NA;NA;NA;34
2010;Total;1;0;3;1;4;11;10;29;37;NA;NA;NA;NA;NA;NA;NA;NA;96
2011;Male;0;0;4;2;3;9;4;10;25;NA;NA;NA;NA;NA;NA;NA;NA;57
2011;Female;2;2;1;0;1;4;5;10;26;NA;NA;NA;NA;NA;NA;NA;NA;51
2011;Total;2;2;5;2;4;13;9;20;51;NA;NA;NA;NA;NA;NA;NA;NA;108
2012;Male;3;1;2;2;2;3;15;15;26;NA;NA;NA;NA;NA;NA;NA;NA;69
2012;Female;0;0;1;0;2;5;5;5;26;NA;NA;NA;NA;NA;NA;NA;NA;44
2012;Total;3;1;3;2;4;8;20;20;52;NA;NA;NA;NA;NA;NA;NA;NA;113
