"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Male",0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,4,"Auckland",1
2006,"Female",0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,1,2,9,"Auckland",1
2006,"Total",0,0,0,1,0,0,1,0,1,1,1,3,1,0,1,1,2,13,"Auckland",1
2007,"Male",2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,"Auckland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,"Auckland",1
2007,"Total",2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2,10,"Auckland",1
2008,"Male",0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,7,"Auckland",1
2008,"Female",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"Auckland",1
2008,"Total",0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,0,2,9,"Auckland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,5,"Auckland",1
2009,"Female",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,"Auckland",1
2009,"Total",0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,2,7,"Auckland",1
2010,"Male",1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,7,"Auckland",1
2010,"Female",2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,"Auckland",1
2010,"Total",3,0,0,0,1,1,0,0,1,0,0,3,0,1,0,1,1,12,"Auckland",1
2011,"Male",0,0,0,0,0,0,1,0,2,0,3,2,1,0,0,3,2,14,"Auckland",1
2011,"Female",0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,2,7,"Auckland",1
2011,"Total",0,0,0,0,0,0,1,0,3,0,3,3,1,2,1,3,4,21,"Auckland",1
2012,"Male",2,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,9,"Auckland",1
2012,"Female",0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,6,"Auckland",1
2012,"Total",2,0,0,2,0,0,0,1,2,0,0,1,2,1,2,0,2,15,"Auckland",1
2013,"Male",0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,6,"Auckland",1
2013,"Female",0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,2,8,"Auckland",1
2013,"Total",0,0,0,1,0,0,0,0,2,1,2,1,1,0,3,1,2,14,"Auckland",1
2006,"Male",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,"Waikato",1
2006,"Female",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Waikato",1
2006,"Total",1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,5,"Waikato",1
2007,"Male",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Waikato",1
2007,"Female",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,"Waikato",1
2007,"Total",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,"Waikato",1
2008,"Male",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,"Waikato",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"Waikato",1
2008,"Total",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4,"Waikato",1
2009,"Male",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"Waikato",1
