"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",15,1,0,6,2,3,2,3,2,4,7,12,11,17,7,10,19,121
1996,"Female",11,0,0,3,2,1,4,2,1,2,4,2,3,12,8,8,24,87
1996,"Total",26,1,0,9,4,4,6,5,3,6,11,14,14,29,15,18,43,208
1997,"Male",11,0,0,0,3,5,2,4,8,13,9,18,15,10,13,17,21,149
1997,"Female",11,0,1,2,2,4,2,2,2,2,1,5,5,6,8,9,37,99
1997,"Total",22,0,1,2,5,9,4,6,10,15,10,23,20,16,21,26,58,248
1998,"Male",15,1,1,4,7,2,2,3,2,8,10,4,13,14,17,13,17,133
1998,"Female",17,0,0,3,2,1,4,3,6,7,3,3,8,5,10,19,28,119
1998,"Total",32,1,1,7,9,3,6,6,8,15,13,7,21,19,27,32,45,252
1999,"Male",14,1,1,5,1,3,1,8,5,7,4,9,14,22,12,9,25,141
1999,"Female",15,0,3,1,4,0,0,3,4,7,5,4,4,15,11,19,30,125
1999,"Total",29,1,4,6,5,3,1,11,9,14,9,13,18,37,23,28,55,266
2000,"Male",14,0,0,2,8,3,5,3,5,8,11,11,20,13,23,14,25,165
2000,"Female",8,1,1,3,2,7,2,5,1,6,3,3,9,10,16,13,39,129
2000,"Total",22,1,1,5,10,10,7,8,6,14,14,14,29,23,39,27,64,294
2001,"Male",8,1,1,7,10,3,5,6,6,10,7,8,14,15,17,21,29,168
2001,"Female",8,0,0,2,1,0,5,1,6,5,6,6,8,14,10,25,53,150
2001,"Total",16,1,1,9,11,3,10,7,12,15,13,14,22,29,27,46,82,318
2002,"Male",16,0,1,7,10,7,2,2,4,9,8,11,12,18,26,24,29,186
2002,"Female",11,1,0,1,5,1,1,3,4,5,1,5,8,13,14,16,51,140
2002,"Total",27,1,1,8,15,8,3,5,8,14,9,16,20,31,40,40,80,326
2003,"Male",11,0,1,4,9,4,3,2,12,9,5,9,14,22,15,16,30,166
2003,"Female",13,0,0,3,5,3,5,6,4,1,8,8,6,16,17,19,45,159
2003,"Total",24,0,1,7,14,7,8,8,16,10,13,17,20,38,32,35,75,325
2004,"Male",22,1,0,6,4,3,6,2,2,8,12,12,24,15,30,19,48,214
2004,"Female",17,3,0,1,5,2,0,7,5,5,16,7,11,21,18,13,48,179
2004,"Total",39,4,0,7,9,5,6,9,7,13,28,19,35,36,48,32,96,393
2005,"Male",18,1,4,2,7,1,5,2,7,10,20,12,10,20,22,15,39,195
2005,"Female",14,2,0,5,2,4,4,5,6,9,8,14,9,14,11,18,44,169
2005,"Total",32,3,4,7,9,5,9,7,13,19,28,26,19,34,33,33,83,364
2006,"Male",15,2,0,3,2,6,5,4,4,6,7,11,10,29,21,28,52,205
2006,"Female",15,0,0,2,1,2,2,3,3,8,5,12,10,15,13,17,47,155
2006,"Total",30,2,0,5,3,8,7,7,7,14,12,23,20,44,34,45,99,360
2007,"Male",19,1,1,2,6,5,3,2,9,6,9,17,20,17,32,25,44,218
2007,"Female",6,0,0,3,0,1,3,5,5,2,14,12,10,17,14,25,66,183
2007,"Total",25,1,1,5,6,6,6,7,14,8,23,29,30,34,46,50,110,401
2008,"Male",19,1,1,5,4,4,4,6,2,6,17,21,12,12,26,23,57,220
2008,"Female",15,0,0,0,5,6,1,4,5,4,6,11,14,11,21,19,70,192
2008,"Total",34,1,1,5,9,10,5,10,7,10,23,32,26,23,47,42,127,412
2009,"Male",15,0,0,3,5,1,6,6,5,9,9,14,17,25,23,26,51,215
2009,"Female",18,0,0,2,3,4,0,1,5,9,10,3,9,10,17,21,66,178
2009,"Total",33,0,0,5,8,5,6,7,10,18,19,17,26,35,40,47,117,393
2010,"Male",21,1,1,1,7,5,3,3,8,10,13,21,35,21,19,28,58,255
2010,"Female",23,0,0,5,2,2,2,4,8,12,10,6,7,22,16,30,70,219
2010,"Total",44,1,1,6,9,7,5,7,16,22,23,27,42,43,35,58,128,474
2011,"Male",27,1,0,4,5,2,4,3,10,8,13,27,13,23,35,34,53,262
2011,"Female",20,0,0,1,1,5,0,3,2,3,6,8,10,8,14,24,93,198
2011,"Total",47,1,0,5,6,7,4,6,12,11,19,35,23,31,49,58,146,460
2012,"Male",15,0,0,1,6,4,4,2,4,10,10,16,19,28,33,42,63,257
2012,"Female",21,0,0,0,3,3,2,3,7,4,13,8,17,14,26,24,81,226
2012,"Total",36,0,0,1,9,7,6,5,11,14,23,24,36,42,59,66,144,483
2013,"Male",24,0,2,5,2,5,6,5,6,4,7,19,18,21,26,42,77,269
2013,"Female",20,0,0,1,1,0,1,2,4,9,12,9,6,16,16,27,94,218
2013,"Total",44,0,2,6,3,5,7,7,10,13,19,28,24,37,42,69,171,487
