"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",80,5,6,25,19,17,24,34,34,44,74,86,113,105,78,57,88,889
1996,"Female",73,1,9,8,5,15,7,21,22,44,42,55,76,81,86,64,109,718
1996,"Total",153,6,15,33,24,32,31,55,56,88,116,141,189,186,164,121,197,1607
1997,"Male",85,8,9,24,15,20,15,20,38,55,61,65,99,107,80,58,64,823
1997,"Female",66,6,5,11,10,12,12,24,27,32,51,56,82,87,85,72,95,733
1997,"Total",151,14,14,35,25,32,27,44,65,87,112,121,181,194,165,130,159,1556
1998,"Male",77,6,10,16,11,19,16,17,36,48,61,89,96,108,92,64,71,837
1998,"Female",52,3,0,16,6,6,10,22,20,31,37,70,72,97,77,67,94,680
1998,"Total",129,9,10,32,17,25,26,39,56,79,98,159,168,205,169,131,165,1517
1999,"Male",78,2,5,13,15,20,20,30,39,51,76,86,119,96,97,69,85,901
1999,"Female",61,1,5,9,4,12,11,20,30,42,49,72,84,80,73,71,104,728
1999,"Total",139,3,10,22,19,32,31,50,69,93,125,158,203,176,170,140,189,1629
2000,"Male",54,3,3,25,27,29,27,25,37,47,54,82,94,113,91,75,87,873
2000,"Female",38,5,1,10,7,9,17,17,31,35,44,71,71,103,82,59,114,714
2000,"Total",92,8,4,35,34,38,44,42,68,82,98,153,165,216,173,134,201,1587
2001,"Male",41,4,5,24,26,28,22,18,46,41,71,81,88,107,98,63,83,846
2001,"Female",37,5,4,12,7,14,16,25,29,31,57,63,104,80,85,68,111,748
2001,"Total",78,9,9,36,33,42,38,43,75,72,128,144,192,187,183,131,194,1594
2002,"Male",51,0,1,22,23,21,30,28,35,44,73,67,97,113,112,75,87,879
2002,"Female",41,3,3,13,9,9,16,17,25,52,56,66,56,101,97,65,110,739
2002,"Total",92,3,4,35,32,30,46,45,60,96,129,133,153,214,209,140,197,1618
2003,"Male",57,5,9,29,27,23,37,28,37,56,68,75,83,109,90,96,77,906
2003,"Female",38,1,4,19,9,8,8,10,27,41,49,61,84,83,88,65,125,720
2003,"Total",95,6,13,48,36,31,45,38,64,97,117,136,167,192,178,161,202,1626
2004,"Male",50,3,5,34,27,24,24,27,54,58,74,72,87,119,107,83,87,935
2004,"Female",44,1,5,15,9,10,20,24,38,52,43,72,67,68,84,79,113,744
2004,"Total",94,4,10,49,36,34,44,51,92,110,117,144,154,187,191,162,200,1679
2005,"Male",60,1,4,38,36,22,38,28,59,46,65,51,95,101,95,90,89,918
2005,"Female",29,5,4,14,12,6,14,18,39,35,43,51,88,79,94,76,137,744
2005,"Total",89,6,8,52,48,28,52,46,98,81,108,102,183,180,189,166,226,1662
2006,"Male",63,4,5,38,23,14,31,21,34,65,64,91,107,121,114,107,90,992
2006,"Female",41,6,7,18,9,14,17,27,29,34,48,52,68,81,93,82,130,756
2006,"Total",104,10,12,56,32,28,48,48,63,99,112,143,175,202,207,189,220,1748
2007,"Male",60,4,3,24,26,22,29,31,44,57,93,86,91,113,122,96,105,1006
2007,"Female",52,1,4,12,11,11,17,24,32,33,48,57,67,82,101,76,136,764
2007,"Total",112,5,7,36,37,33,46,55,76,90,141,143,158,195,223,172,241,1770
2008,"Male",64,2,5,18,37,13,20,25,41,39,59,98,99,90,96,89,99,894
2008,"Female",33,2,4,22,13,9,6,19,32,43,44,70,74,92,103,73,166,805
2008,"Total",97,4,9,40,50,22,26,44,73,82,103,168,173,182,199,162,265,1699
2009,"Male",59,1,6,30,29,21,20,28,33,49,81,68,101,100,128,90,110,954
2009,"Female",59,3,3,18,8,9,11,16,24,37,51,45,67,87,107,71,163,779
2009,"Total",118,4,9,48,37,30,31,44,57,86,132,113,168,187,235,161,273,1733
2010,"Male",63,2,7,30,32,24,13,22,43,63,73,67,85,82,97,82,98,883
2010,"Female",49,0,5,20,11,11,7,15,29,32,64,57,64,73,96,86,178,797
2010,"Total",112,2,12,50,43,35,20,37,72,95,137,124,149,155,193,168,276,1680
2011,"Male",45,1,4,36,20,20,24,21,34,39,53,79,82,87,111,103,97,856
2011,"Female",44,0,6,12,12,8,14,11,26,41,50,56,86,89,86,82,188,811
2011,"Total",89,1,10,48,32,28,38,32,60,80,103,135,168,176,197,185,285,1667
2012,"Male",46,1,9,32,21,19,11,16,35,53,71,70,91,80,111,107,140,913
2012,"Female",42,2,3,17,15,5,15,17,17,37,46,58,69,76,85,93,172,769
2012,"Total",88,3,12,49,36,24,26,33,52,90,117,128,160,156,196,200,312,1682
2013,"Male",34,0,2,23,23,12,11,20,30,38,65,85,93,91,104,113,125,869
2013,"Female",30,1,4,14,12,8,11,11,25,34,60,65,71,81,90,85,175,777
2013,"Total",64,1,6,37,35,20,22,31,55,72,125,150,164,172,194,198,300,1646
