"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",249,11,17,90,73,60,68,86,102,174,269,380,549,915,1253,1389,2856,8541
1996,"Female",202,9,18,37,30,31,35,60,68,160,166,222,343,522,848,1171,4166,8088
1996,"Total",451,20,35,127,103,91,103,146,170,334,435,602,892,1437,2101,2560,7022,16629
1997,"Male",205,15,13,65,67,71,56,78,125,201,248,334,503,877,1229,1322,2857,8266
1997,"Female",178,12,10,28,30,43,44,51,88,130,187,254,300,488,754,1092,4165,7854
1997,"Total",383,27,23,93,97,114,100,129,213,331,435,588,803,1365,1983,2414,7022,16120
1998,"Male",197,18,20,49,54,54,56,81,131,159,245,339,493,799,1091,1368,2831,7985
1998,"Female",155,7,6,39,22,16,50,60,94,119,169,239,298,479,677,1098,4168,7696
1998,"Total",352,25,26,88,76,70,106,141,225,278,414,578,791,1278,1768,2466,6999,15681
1999,"Male",191,10,13,57,57,70,63,81,113,172,249,402,523,742,1180,1490,3010,8423
1999,"Female",188,7,14,33,21,26,31,67,93,135,183,250,320,491,718,1140,4535,8252
1999,"Total",379,17,27,90,78,96,94,148,206,307,432,652,843,1233,1898,2630,7545,16675
2000,"Male",164,5,14,82,93,108,116,103,140,175,234,335,448,720,1068,1376,2961,8142
2000,"Female",112,10,7,31,20,43,48,61,97,140,183,238,287,426,648,1053,4273,7677
2000,"Total",276,15,21,113,113,151,164,164,237,315,417,573,735,1146,1716,2429,7234,15819
2001,"Male",106,11,21,90,104,83,91,102,162,146,285,333,459,652,1108,1332,3133,8218
2001,"Female",100,9,12,33,23,36,50,70,81,129,198,211,339,411,702,1021,4785,8210
2001,"Total",206,20,33,123,127,119,141,172,243,275,483,544,798,1063,1810,2353,7918,16428
2002,"Male",142,6,12,70,80,78,87,103,137,172,240,336,482,654,1046,1352,3186,8183
2002,"Female",118,10,7,32,28,30,46,70,95,138,179,242,284,389,654,1037,4746,8105
2002,"Total",260,16,19,102,108,108,133,173,232,310,419,578,766,1043,1700,2389,7932,16288
2003,"Male",128,7,21,95,79,70,100,98,146,199,249,317,442,636,906,1341,3281,8115
2003,"Female",112,6,8,49,35,21,49,63,98,138,192,233,306,374,636,994,4960,8274
2003,"Total",240,13,29,144,114,91,149,161,244,337,441,550,748,1010,1542,2335,8241,16389
2004,"Male",140,4,12,94,82,76,77,119,136,191,232,336,456,612,904,1365,3424,8260
2004,"Female",150,6,10,45,37,25,52,74,113,137,164,232,292,374,618,941,5057,8327
2004,"Total",290,10,22,139,119,101,129,193,249,328,396,568,748,986,1522,2306,8481,16587
2005,"Male",149,9,13,105,89,74,77,97,165,160,240,335,433,588,784,1177,3172,7667
2005,"Female",101,10,3,34,34,21,47,68,105,153,169,230,289,355,557,899,4762,7837
2005,"Total",250,19,16,139,123,95,124,165,270,313,409,565,722,943,1341,2076,7934,15504
2006,"Male",155,8,10,90,90,59,79,88,128,188,222,351,441,596,818,1237,3400,7960
2006,"Female",100,6,8,36,26,33,34,72,107,138,180,195,265,360,530,946,4998,8034
2006,"Total",255,14,18,126,116,92,113,160,235,326,402,546,706,956,1348,2183,8398,15994
2007,"Male",146,7,10,80,96,65,87,104,135,198,272,342,420,577,798,1155,3329,7821
2007,"Female",132,4,9,37,28,21,42,74,105,122,182,232,261,381,514,816,4826,7786
2007,"Total",278,11,19,117,124,86,129,178,240,320,454,574,681,958,1312,1971,8155,15607
2008,"Male",159,5,13,72,97,63,68,91,124,179,217,354,450,589,753,1187,3552,7973
2008,"Female",118,3,8,41,38,35,29,66,90,123,147,235,270,397,514,793,5008,7915
2008,"Total",277,8,21,113,135,98,97,157,214,302,364,589,720,986,1267,1980,8560,15888
2009,"Male",141,5,12,83,95,57,85,86,111,182,261,307,475,589,765,1077,3438,7769
2009,"Female",141,6,9,25,26,32,29,53,84,128,177,187,291,381,534,707,4828,7638
2009,"Total",282,11,21,108,121,89,114,139,195,310,438,494,766,970,1299,1784,8266,15407
2010,"Male",161,4,12,71,93,63,52,92,126,188,237,314,450,567,725,998,3525,7678
2010,"Female",126,1,9,42,34,30,32,53,93,141,174,194,281,348,489,741,4742,7530
2010,"Total",287,5,21,113,127,93,84,145,219,329,411,508,731,915,1214,1739,8267,15208
2011,"Male",140,1,10,69,95,51,61,66,131,140,223,339,431,561,781,1035,3687,7821
2011,"Female",109,2,9,25,33,22,33,48,81,116,163,199,305,377,490,739,4954,7705
2011,"Total",249,3,19,94,128,73,94,114,212,256,386,538,736,938,1271,1774,8641,15526
2012,"Male",113,3,16,75,79,66,37,68,116,173,225,290,429,568,812,997,3671,7738
2012,"Female",119,4,4,28,36,23,42,45,81,128,176,191,261,330,522,710,4832,7532
2012,"Total",232,7,20,103,115,89,79,113,197,301,401,481,690,898,1334,1707,8503,15270
2013,"Male",110,0,4,57,67,43,38,66,104,154,225,322,384,549,797,950,3555,7425
2013,"Female",87,1,4,29,27,19,36,38,89,100,191,195,271,338,455,639,4251,6770
2013,"Total",197,1,8,86,94,62,74,104,193,254,416,517,655,887,1252,1589,7806,14195
