"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Male",4,0,0,0,1,0,1,1,1,4,6,6,7,8,10,7,36,92,"Waitemata",1
2006,"Female",4,0,0,0,0,0,0,0,0,2,2,2,6,7,5,5,39,72,"Waitemata",1
2006,"Total",8,0,0,0,1,0,1,1,1,6,8,8,13,15,15,12,75,164,"Waitemata",1
2007,"Male",0,0,0,0,2,1,1,0,1,2,4,4,12,7,5,9,30,78,"Waitemata",1
2007,"Female",3,0,0,1,0,0,0,0,2,1,2,4,6,4,11,11,33,78,"Waitemata",1
2007,"Total",3,0,0,1,2,1,1,0,3,3,6,8,18,11,16,20,63,156,"Waitemata",1
2008,"Male",2,0,0,2,1,2,0,0,2,1,2,4,2,9,3,12,32,74,"Waitemata",1
2008,"Female",1,0,0,0,1,0,0,2,0,2,3,6,8,5,2,14,39,83,"Waitemata",1
2008,"Total",3,0,0,2,2,2,0,2,2,3,5,10,10,14,5,26,71,157,"Waitemata",1
2009,"Male",1,0,0,1,2,0,0,2,1,5,7,3,6,10,8,8,25,79,"Waitemata",1
2009,"Female",2,0,0,1,0,0,0,0,1,0,5,3,3,0,4,9,40,68,"Waitemata",1
2009,"Total",3,0,0,2,2,0,0,2,2,5,12,6,9,10,12,17,65,147,"Waitemata",1
2010,"Male",3,0,0,2,0,1,1,0,2,5,5,6,8,8,8,9,36,94,"Waitemata",1
2010,"Female",1,0,0,1,1,0,0,0,1,1,2,2,6,4,4,8,39,70,"Waitemata",1
2010,"Total",4,0,0,3,1,1,1,0,3,6,7,8,14,12,12,17,75,164,"Waitemata",1
2011,"Male",1,0,0,0,3,1,0,1,2,4,1,5,6,1,9,11,28,73,"Waitemata",1
2011,"Female",5,0,0,0,0,0,0,2,3,0,4,4,5,8,10,3,46,90,"Waitemata",1
2011,"Total",6,0,0,0,3,1,0,3,5,4,5,9,11,9,19,14,74,163,"Waitemata",1
2012,"Male",2,0,0,1,0,1,0,1,0,1,3,4,6,5,8,10,48,90,"Waitemata",1
2012,"Female",3,0,0,0,0,0,0,0,0,5,3,1,2,5,6,7,46,78,"Waitemata",1
2012,"Total",5,0,0,1,0,1,0,1,0,6,6,5,8,10,14,17,94,168,"Waitemata",1
2013,"Male",0,0,0,1,0,0,1,4,1,6,3,6,7,5,8,11,31,84,"Waitemata",1
2013,"Female",2,0,0,1,1,0,1,1,0,2,3,3,7,8,9,11,41,90,"Waitemata",1
2013,"Total",2,0,0,2,1,0,2,5,1,8,6,9,14,13,17,22,72,174,"Waitemata",1
2006,"Male",2,1,0,0,0,1,0,0,1,2,0,2,3,3,10,9,49,83,"Auckland",1
2006,"Female",1,0,0,0,0,1,0,0,0,2,6,3,7,5,5,10,87,127,"Auckland",1
2006,"Total",3,1,0,0,0,2,0,0,1,4,6,5,10,8,15,19,136,210,"Auckland",1
2007,"Male",0,0,0,0,0,0,0,0,1,1,3,5,3,10,2,20,41,86,"Auckland",1
2007,"Female",1,0,0,0,0,0,0,1,1,0,1,0,3,3,10,8,81,109,"Auckland",1
2007,"Total",1,0,0,0,0,0,0,1,2,1,4,5,6,13,12,28,122,195,"Auckland",1
2008,"Male",3,0,0,0,0,0,1,0,1,1,2,7,5,4,5,10,44,83,"Auckland",1
2008,"Female",2,0,0,0,0,1,0,1,0,1,1,5,4,4,8,10,105,142,"Auckland",1
2008,"Total",5,0,0,0,0,1,1,1,1,2,3,12,9,8,13,20,149,225,"Auckland",1
2009,"Male",1,0,0,1,0,0,1,0,1,3,3,6,0,6,8,8,47,85,"Auckland",1
