"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Male",7,1,0,1,2,1,1,4,4,8,8,13,13,15,27,21,102,228,"Auckland",1
2006,"Female",5,0,0,0,0,1,1,0,1,6,9,9,15,13,12,19,148,239,"Auckland",1
2006,"Total",12,1,0,1,2,2,2,4,5,14,17,22,28,28,39,40,250,467,"Auckland",1
2007,"Male",1,0,0,1,4,2,1,0,2,4,9,13,20,23,14,37,87,218,"Auckland",1
2007,"Female",6,0,0,1,0,0,0,2,5,1,5,5,11,8,25,26,129,224,"Auckland",1
2007,"Total",7,0,0,2,4,2,1,2,7,5,14,18,31,31,39,63,216,442,"Auckland",1
2008,"Male",6,0,0,3,1,2,2,0,3,6,6,15,12,18,16,33,89,212,"Auckland",1
2008,"Female",5,0,0,0,1,1,0,3,1,3,5,14,14,13,15,26,168,269,"Auckland",1
2008,"Total",11,0,0,3,2,3,2,3,4,9,11,29,26,31,31,59,257,481,"Auckland",1
2009,"Male",4,0,0,2,3,0,1,2,2,10,13,12,8,28,23,23,94,225,"Auckland",1
2009,"Female",3,0,0,2,1,0,0,1,2,1,12,8,8,9,10,25,138,220,"Auckland",1
2009,"Total",7,0,0,4,4,0,1,3,4,11,25,20,16,37,33,48,232,445,"Auckland",1
2010,"Male",5,0,0,3,0,1,1,0,3,12,11,12,15,21,29,28,121,262,"Auckland",1
2010,"Female",3,0,0,1,1,0,1,0,3,3,3,10,11,15,14,19,157,241,"Auckland",1
2010,"Total",8,0,0,4,1,1,2,0,6,15,14,22,26,36,43,47,278,503,"Auckland",1
2011,"Male",6,0,0,0,3,2,0,1,6,8,3,8,15,10,27,31,93,213,"Auckland",1
2011,"Female",6,0,0,0,1,0,0,3,3,5,6,7,14,17,19,16,186,283,"Auckland",1
2011,"Total",12,0,0,0,4,2,0,4,9,13,9,15,29,27,46,47,279,496,"Auckland",1
2012,"Male",5,0,0,2,1,3,1,2,0,2,5,11,10,14,26,31,114,227,"Auckland",1
2012,"Female",8,0,0,0,0,0,0,0,0,7,7,6,11,17,15,18,170,259,"Auckland",1
2012,"Total",13,0,0,2,1,3,1,2,0,9,12,17,21,31,41,49,284,486,"Auckland",1
2013,"Male",2,0,0,1,0,1,2,5,1,8,6,14,20,25,22,22,109,238,"Auckland",1
2013,"Female",7,0,0,1,1,1,1,1,0,8,9,7,12,17,17,29,152,263,"Auckland",1
2013,"Total",9,0,0,2,1,2,3,6,1,16,15,21,32,42,39,51,261,501,"Auckland",1
2006,"Male",2,0,0,0,1,2,0,1,0,0,1,2,3,1,3,2,17,35,"Waikato",1
2006,"Female",1,0,0,0,1,1,0,0,1,0,2,0,3,1,1,4,29,44,"Waikato",1
2006,"Total",3,0,0,0,2,3,0,1,1,0,3,2,6,2,4,6,46,79,"Waikato",1
2007,"Male",1,0,0,0,0,0,0,0,0,2,0,0,3,2,9,6,18,41,"Waikato",1
2007,"Female",1,0,0,0,0,0,0,1,0,1,2,2,0,1,2,5,24,39,"Waikato",1
2007,"Total",2,0,0,0,0,0,0,1,0,3,2,2,3,3,11,11,42,80,"Waikato",1
2008,"Male",1,0,0,0,2,0,0,0,0,4,2,3,4,2,5,6,18,47,"Waikato",1
2008,"Female",0,0,0,0,0,0,0,0,1,1,1,4,4,0,2,7,24,44,"Waikato",1
2008,"Total",1,0,0,0,2,0,0,0,1,5,3,7,8,2,7,13,42,91,"Waikato",1
2009,"Male",4,0,0,0,0,0,0,0,2,2,0,0,1,6,4,5,18,42,"Waikato",1
