"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Far North",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whangarei",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaipara",1
2006,"Male",0,0,0,0,1,0,0,1,0,2,0,0,4,1,1,1,2,13,"Rodney",1
2006,"Female",2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,9,"Rodney",1
2006,"Total",2,0,0,0,1,0,0,1,0,2,0,0,6,2,1,2,5,22,"Rodney",1
2007,"Male",0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,2,3,12,"Rodney",1
2007,"Female",0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,4,9,"Rodney",1
2007,"Total",0,0,0,1,0,0,0,0,1,0,1,3,1,2,3,2,7,21,"Rodney",1
2008,"Male",0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,2,1,10,"Rodney",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,4,11,"Rodney",1
2008,"Total",0,0,0,0,0,0,0,0,1,1,3,2,1,3,1,4,5,21,"Rodney",1
2009,"Male",0,0,0,1,0,0,0,1,0,1,0,1,1,2,2,1,1,11,"Rodney",1
2009,"Female",1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,5,11,"Rodney",1
2009,"Total",1,0,0,2,0,0,0,1,0,1,2,2,2,2,2,1,6,22,"Rodney",1
2010,"Male",2,0,0,1,0,0,0,0,0,0,1,3,0,3,2,1,2,15,"Rodney",1
2010,"Female",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,9,"Rodney",1
2010,"Total",2,0,0,1,1,0,0,0,0,0,1,3,1,3,3,1,8,24,"Rodney",1
2011,"Male",0,0,0,0,1,1,0,0,0,0,1,3,1,0,2,5,1,15,"Rodney",1
2011,"Female",0,0,0,0,0,0,0,0,1,0,1,0,3,2,3,1,4,15,"Rodney",1
2011,"Total",0,0,0,0,1,1,0,0,1,0,2,3,4,2,5,6,5,30,"Rodney",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,5,12,"Rodney",1
2012,"Female",0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,2,6,15,"Rodney",1
2012,"Total",0,0,0,0,0,0,0,0,0,1,5,2,2,0,1,5,11,27,"Rodney",1
2013,"Male",0,0,0,0,0,0,0,2,0,1,0,0,3,1,4,2,2,15,"Rodney",1
2013,"Female",0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,6,15,"Rodney",1
2013,"Total",0,0,0,0,0,0,1,2,0,1,1,1,4,2,6,4,8,30,"Rodney",1
2006,"Male",3,0,0,0,0,0,0,0,0,1,5,3,2,6,6,3,26,55,"North Shore",1
2006,"Female",1,0,0,0,0,0,0,0,0,2,2,2,1,6,4,4,30,52,"North Shore",1
2006,"Total",4,0,0,0,0,0,0,0,0,3,7,5,3,12,10,7,56,107,"North Shore",1
2007,"Male",0,0,0,0,1,0,1,0,0,1,2,1,8,3,4,6,21,48,"North Shore",1
2007,"Female",2,0,0,0,0,0,0,0,2,0,0,1,5,2,8,10,26,56,"North Shore",1
