"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",208,16,12,75,118,127,134,116,110,189,215,310,479,646,784,737,1514,5790
1996,"Female",201,13,14,42,36,42,61,50,67,130,160,211,308,452,569,708,2535,5599
1996,"Total",409,29,26,117,154,169,195,166,177,319,375,521,787,1098,1353,1445,4049,11389
1997,"Male",222,18,18,97,102,128,129,130,141,142,258,334,441,667,753,747,1520,5847
1997,"Female",159,5,19,33,33,37,57,52,77,122,167,218,254,414,553,636,2454,5290
1997,"Total",381,23,37,130,135,165,186,182,218,264,425,552,695,1081,1306,1383,3974,11137
1998,"Male",187,14,22,73,128,133,111,146,136,170,205,324,447,612,808,737,1371,5624
1998,"Female",145,7,23,40,26,36,52,55,87,101,158,225,313,409,572,712,2210,5171
1998,"Total",332,21,45,113,154,169,163,201,223,271,363,549,760,1021,1380,1449,3581,10795
1999,"Male",205,16,20,69,96,103,105,134,128,174,262,328,437,563,763,844,1514,5761
1999,"Female",156,6,15,31,34,31,48,55,94,110,169,210,299,394,581,711,2547,5491
1999,"Total",361,22,35,100,130,134,153,189,222,284,431,538,736,957,1344,1555,4061,11252
2000,"Male",254,18,30,34,47,53,79,89,117,165,227,297,375,573,776,871,1502,5507
2000,"Female",227,17,7,16,14,30,22,41,79,96,163,234,321,364,530,664,2323,5148
2000,"Total",481,35,37,50,61,83,101,130,196,261,390,531,696,937,1306,1535,3825,10655
2001,"Male",278,11,14,40,42,45,79,78,107,149,200,284,437,576,824,825,1604,5593
2001,"Female",204,14,16,20,28,25,39,39,74,108,181,208,311,403,511,752,2699,5632
2001,"Total",482,25,30,60,70,70,118,117,181,257,381,492,748,979,1335,1577,4303,11225
2002,"Male",242,21,16,36,48,58,65,89,111,170,248,340,426,555,754,862,1719,5760
2002,"Female",233,7,8,15,21,33,41,48,69,113,158,236,319,383,547,758,2844,5833
2002,"Total",475,28,24,51,69,91,106,137,180,283,406,576,745,938,1301,1620,4563,11593
2003,"Male",240,9,17,37,42,49,67,95,122,151,239,334,463,496,759,829,1680,5629
2003,"Female",194,11,11,23,15,26,31,56,75,117,164,231,297,428,533,681,2641,5534
2003,"Total",434,20,28,60,57,75,98,151,197,268,403,565,760,924,1292,1510,4321,11163
2004,"Male",249,14,22,29,50,45,50,83,105,176,228,309,405,554,728,844,1797,5688
2004,"Female",219,10,9,18,13,23,35,47,65,122,195,250,349,414,527,723,2892,5911
2004,"Total",468,24,31,47,63,68,85,130,170,298,423,559,754,968,1255,1567,4689,11599
2005,"Male",235,12,17,36,51,48,59,86,113,174,225,350,418,533,687,843,1772,5659
2005,"Female",191,10,10,24,18,22,35,46,79,127,155,257,316,409,457,676,2861,5693
2005,"Total",426,22,27,60,69,70,94,132,192,301,380,607,734,942,1144,1519,4633,11352
2006,"Male",265,13,14,39,33,51,58,84,96,173,240,346,457,546,681,870,1888,5854
2006,"Female",225,4,10,24,22,13,31,40,69,132,179,289,318,438,568,695,3121,6178
2006,"Total",490,17,24,63,55,64,89,124,165,305,419,635,775,984,1249,1565,5009,12032
2007,"Male",253,13,19,28,46,47,47,86,104,183,216,325,450,568,699,916,2083,6083
2007,"Female",252,8,15,23,21,20,32,49,87,110,147,250,320,446,511,755,3134,6180
2007,"Total",505,21,34,51,67,67,79,135,191,293,363,575,770,1014,1210,1671,5217,12263
2008,"Male",264,13,17,46,36,46,46,78,114,170,225,340,484,608,715,889,2184,6275
2008,"Female",226,13,7,19,20,19,30,63,78,102,177,306,387,444,574,756,3336,6557
2008,"Total",490,26,24,65,56,65,76,141,192,272,402,646,871,1052,1289,1645,5520,12832
2009,"Male",268,8,13,33,43,43,60,81,121,167,245,319,484,606,701,897,2328,6417
2009,"Female",220,11,14,23,19,24,33,53,86,140,219,237,357,437,546,729,3452,6600
2009,"Total",488,19,27,56,62,67,93,134,207,307,464,556,841,1043,1247,1626,5780,13017
2010,"Male",253,7,15,42,43,33,41,75,104,179,238,346,463,600,692,850,2348,6329
2010,"Female",218,6,9,8,17,22,36,40,81,132,185,249,372,485,569,648,3457,6534
2010,"Total",471,13,24,50,60,55,77,115,185,311,423,595,835,1085,1261,1498,5805,12863
2011,"Male",258,6,13,42,46,46,55,66,118,179,237,371,514,633,719,868,2575,6746
2011,"Female",221,4,5,16,26,28,34,62,80,131,188,271,391,525,628,730,3933,7273
2011,"Total",479,10,18,58,72,74,89,128,198,310,425,642,905,1158,1347,1598,6508,14019
2012,"Male",236,12,14,37,41,48,50,74,100,154,284,345,463,651,785,826,2804,6924
2012,"Female",197,8,9,16,20,7,30,35,90,157,192,230,382,509,600,755,4003,7240
2012,"Total",433,20,23,53,61,55,80,109,190,311,476,575,845,1160,1385,1581,6807,14164
2013,"Male",163,12,8,35,34,45,43,63,100,178,259,333,467,637,772,836,2682,6667
2013,"Female",151,9,7,15,15,14,25,48,64,121,201,261,382,493,603,799,3900,7108
2013,"Total",314,21,15,50,49,59,68,111,164,299,460,594,849,1130,1375,1635,6582,13775
