"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",35,2,1,3,7,11,10,6,8,13,14,20,17,19,19,8,11,204
1996,"Female",20,1,1,4,3,3,6,2,6,6,3,13,11,9,13,14,15,130
1996,"Total",55,3,2,7,10,14,16,8,14,19,17,33,28,28,32,22,26,334
1997,"Male",37,1,2,8,4,10,7,9,7,7,21,16,18,18,21,11,18,215
1997,"Female",26,1,3,1,5,2,8,4,3,10,9,8,11,11,12,12,17,143
1997,"Total",63,2,5,9,9,12,15,13,10,17,30,24,29,29,33,23,35,358
1998,"Male",25,0,3,7,12,5,10,8,13,11,10,17,16,19,23,10,17,206
1998,"Female",15,0,3,3,1,3,8,6,8,1,5,14,10,18,15,18,24,152
1998,"Total",40,0,6,10,13,8,18,14,21,12,15,31,26,37,38,28,41,358
1999,"Male",27,1,2,7,14,4,6,8,7,11,12,16,27,21,22,22,19,226
1999,"Female",30,0,1,5,6,3,5,4,5,5,15,9,10,17,15,8,18,156
1999,"Total",57,1,3,12,20,7,11,12,12,16,27,25,37,38,37,30,37,382
2000,"Male",53,6,5,2,9,2,8,4,10,14,22,23,26,19,21,15,16,255
2000,"Female",32,0,1,3,3,2,0,6,4,8,12,9,14,10,14,18,21,157
2000,"Total",85,6,6,5,12,4,8,10,14,22,34,32,40,29,35,33,37,412
2001,"Male",43,2,4,4,7,3,5,6,10,12,9,10,14,18,31,22,13,213
2001,"Female",28,1,2,1,2,2,3,5,10,8,13,13,19,22,19,11,29,188
2001,"Total",71,3,6,5,9,5,8,11,20,20,22,23,33,40,50,33,42,401
2002,"Male",43,1,1,5,3,8,5,6,10,8,13,18,12,23,14,17,21,208
2002,"Female",48,0,1,1,3,0,9,7,3,14,9,12,14,22,17,26,40,226
2002,"Total",91,1,2,6,6,8,14,13,13,22,22,30,26,45,31,43,61,434
2003,"Male",48,3,3,4,4,7,9,9,11,17,16,19,20,21,20,20,23,254
2003,"Female",32,2,0,5,2,2,4,8,5,8,12,11,17,22,17,18,29,194
2003,"Total",80,5,3,9,6,9,13,17,16,25,28,30,37,43,37,38,52,448
2004,"Male",46,1,6,3,5,3,4,13,12,14,13,15,28,34,28,23,29,277
2004,"Female",44,0,0,1,0,3,5,4,2,12,12,14,16,16,20,21,29,199
2004,"Total",90,1,6,4,5,6,9,17,14,26,25,29,44,50,48,44,58,476
2005,"Male",42,2,3,3,8,7,15,11,10,8,13,15,14,21,25,18,16,231
2005,"Female",31,1,0,3,3,2,5,6,7,5,9,18,15,15,17,25,22,184
2005,"Total",73,3,3,6,11,9,20,17,17,13,22,33,29,36,42,43,38,415
2006,"Male",58,1,5,5,6,3,9,7,8,12,16,22,24,22,38,28,14,278
2006,"Female",41,0,1,3,5,1,2,5,10,12,13,11,17,15,31,25,35,227
2006,"Total",99,1,6,8,11,4,11,12,18,24,29,33,41,37,69,53,49,505
2007,"Male",44,4,2,3,6,6,1,11,10,12,19,27,20,27,16,17,36,261
2007,"Female",47,0,1,3,3,4,11,2,3,9,10,17,17,20,20,14,54,235
2007,"Total",91,4,3,6,9,10,12,13,13,21,29,44,37,47,36,31,90,496
2008,"Male",44,5,1,5,5,5,7,5,6,16,17,17,27,23,27,24,38,272
2008,"Female",43,3,1,3,5,2,5,10,11,8,17,20,15,18,26,29,40,256
2008,"Total",87,8,2,8,10,7,12,15,17,24,34,37,42,41,53,53,78,528
2009,"Male",53,3,3,3,4,6,9,8,10,13,10,20,25,25,27,27,32,278
2009,"Female",49,2,2,1,2,4,10,5,10,14,12,18,15,23,33,29,46,275
2009,"Total",102,5,5,4,6,10,19,13,20,27,22,38,40,48,60,56,78,553
2010,"Male",55,2,5,8,7,3,5,10,13,12,12,19,22,27,36,28,31,295
2010,"Female",48,1,2,1,5,2,6,2,8,7,14,18,19,20,23,11,36,223
2010,"Total",103,3,7,9,12,5,11,12,21,19,26,37,41,47,59,39,67,518
2011,"Male",48,1,1,4,5,7,9,10,10,12,20,20,27,41,27,28,43,313
2011,"Female",48,2,2,3,2,4,1,7,10,11,13,26,19,27,42,23,57,297
2011,"Total",96,3,3,7,7,11,10,17,20,23,33,46,46,68,69,51,100,610
2012,"Male",51,2,6,6,6,5,11,10,15,22,23,29,34,38,33,37,60,388
2012,"Female",39,0,1,5,6,5,6,6,9,21,11,18,23,30,26,27,70,303
2012,"Total",90,2,7,11,12,10,17,16,24,43,34,47,57,68,59,64,130,691
2013,"Male",26,0,0,5,4,6,3,9,14,16,20,27,25,24,39,24,47,289
2013,"Female",30,1,2,1,4,2,2,3,4,18,15,18,18,24,27,22,77,268
2013,"Total",56,1,2,6,8,8,5,12,18,34,35,45,43,48,66,46,124,557
