"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",272,20,20,114,133,127,133,142,153,273,349,525,815,1343,1830,1946,3872,12067
1996,"Female",240,19,16,56,49,43,66,77,94,211,252,317,489,797,1238,1661,5744,11369
1996,"Total",512,39,36,170,182,170,199,219,247,484,601,842,1304,2140,3068,3607,9616,23436
1997,"Male",230,22,17,104,135,141,134,163,194,257,371,504,752,1314,1772,1883,3917,11910
1997,"Female",210,10,18,41,36,57,68,63,113,187,258,362,409,739,1122,1535,5827,11055
1997,"Total",440,32,35,145,171,198,202,226,307,444,629,866,1161,2053,2894,3418,9744,22965
1998,"Male",220,22,22,81,126,135,105,169,188,220,333,502,733,1204,1699,1953,3879,11591
1998,"Female",187,10,17,54,32,34,74,85,144,162,256,344,472,693,1082,1635,5794,11075
1998,"Total",407,32,39,135,158,169,179,254,332,382,589,846,1205,1897,2781,3588,9673,22666
1999,"Male",224,18,18,92,100,132,117,152,165,249,369,565,724,1116,1743,2149,4135,12068
1999,"Female",213,11,13,44,36,38,50,84,129,171,255,340,469,716,1118,1652,6364,11703
1999,"Total",437,29,31,136,136,170,167,236,294,420,624,905,1193,1832,2861,3801,10499,23771
2000,"Male",253,10,31,85,95,120,141,142,183,244,337,462,639,1101,1662,2075,4172,11752
2000,"Female",212,17,9,33,23,52,47,72,125,172,254,359,466,599,1035,1557,6087,11119
2000,"Total",465,27,40,118,118,172,188,214,308,416,591,821,1105,1700,2697,3632,10259,22871
2001,"Male",220,12,26,95,115,87,115,135,194,218,364,473,727,1041,1729,1992,4447,11990
2001,"Female",183,14,17,40,36,34,60,65,103,171,265,303,468,667,1020,1622,6918,11986
2001,"Total",403,26,43,135,151,121,175,200,297,389,629,776,1195,1708,2749,3614,11365,23976
2002,"Male",224,20,21,71,98,98,104,144,174,244,358,523,738,1004,1612,2045,4572,12050
2002,"Female",220,13,9,30,34,41,47,81,108,152,242,365,468,600,1041,1636,6950,12037
2002,"Total",444,33,30,101,132,139,151,225,282,396,600,888,1206,1604,2653,3681,11522,24087
2003,"Male",215,8,18,90,85,80,102,138,181,246,369,492,725,949,1484,1976,4622,11780
2003,"Female",204,12,10,34,39,29,60,91,124,176,263,360,452,608,1002,1512,6967,11943
2003,"Total",419,20,28,124,124,109,162,229,305,422,632,852,1177,1557,2486,3488,11589,23723
2004,"Male",249,12,19,80,95,79,93,143,144,261,324,509,705,933,1423,2050,4873,11992
2004,"Female",237,15,8,42,34,30,55,82,125,178,272,358,496,642,967,1483,7318,12342
2004,"Total",486,27,27,122,129,109,148,225,269,439,596,867,1201,1575,2390,3533,12191,24334
2005,"Male",230,13,22,92,84,83,69,126,184,252,343,551,678,937,1295,1834,4648,11441
2005,"Female",190,10,11,37,36,27,51,68,121,214,238,373,430,582,849,1390,6967,11594
2005,"Total",420,23,33,129,120,110,120,194,305,466,581,924,1108,1519,2144,3224,11615,23035
2006,"Male",253,7,10,79,90,80,87,119,158,240,339,522,692,946,1285,1894,4923,11724
2006,"Female",196,5,9,30,31,30,34,73,119,193,253,365,434,650,906,1449,7373,12150
2006,"Total",449,12,19,109,121,110,121,192,277,433,592,887,1126,1596,2191,3343,12296,23874
2007,"Male",237,8,22,72,107,74,85,117,156,254,338,509,693,922,1281,1881,5022,11778
2007,"Female",229,6,14,42,31,22,37,87,140,165,245,367,423,666,832,1408,7241,11955
2007,"Total",466,14,36,114,138,96,122,204,296,419,583,876,1116,1588,2113,3289,12263,23733
2008,"Male",252,8,17,90,87,85,77,128,163,268,325,513,727,1007,1253,1884,5312,12196
2008,"Female",223,9,10,34,36,34,45,87,100,146,226,392,497,647,881,1365,7571,12303
2008,"Total",475,17,27,124,123,119,122,215,263,414,551,905,1224,1654,2134,3249,12883,24499
2009,"Male",238,7,11,74,96,61,109,105,160,242,351,472,750,957,1238,1777,5320,11968
2009,"Female",215,10,17,27,27,35,33,76,114,181,286,314,512,653,857,1260,7489,12106
2009,"Total",453,17,28,101,123,96,142,181,274,423,637,786,1262,1610,2095,3037,12809,24074
2010,"Male",238,5,10,65,88,64,75,118,150,255,327,517,738,986,1222,1674,5443,11975
2010,"Female",208,5,9,30,32,31,45,72,127,200,229,313,505,675,864,1201,7435,11981
2010,"Total",446,10,19,95,120,95,120,190,277,455,556,830,1243,1661,2086,2875,12878,23956
2011,"Male",247,5,16,64,113,70,74,88,180,221,340,547,761,986,1280,1693,5746,12431
2011,"Female",188,4,6,34,44,51,62,72,121,174,243,343,524,703,914,1265,7967,12715
2011,"Total",435,9,22,98,157,121,136,160,301,395,583,890,1285,1689,2194,2958,13713,25146
2012,"Male",217,7,11,59,89,74,52,97,146,228,348,477,699,1044,1360,1587,5878,12373
2012,"Female",202,10,5,18,31,20,45,53,128,196,266,313,466,641,927,1258,7940,12519
2012,"Total",419,17,16,77,120,94,97,150,274,424,614,790,1165,1685,2287,2845,13818,24892
2013,"Male",189,6,7,50,66,63,58,88,138,244,348,491,661,998,1312,1568,5659,11946
2013,"Female",161,4,5,26,26,18,45,55,109,144,270,316,500,648,848,1244,7215,11634
2013,"Total",350,10,12,76,92,81,103,143,247,388,618,807,1161,1646,2160,2812,12874,23580
