"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",74,2,9,43,46,44,45,25,22,22,29,35,42,36,21,20,21,536
1996,"Female",57,3,12,16,12,19,16,13,15,20,13,26,35,31,17,13,32,350
1996,"Total",131,5,21,59,58,63,61,38,37,42,42,61,77,67,38,33,53,886
1997,"Male",82,11,9,47,33,47,39,22,25,19,33,47,33,31,25,15,18,536
1997,"Female",50,7,8,18,15,16,13,10,19,15,14,17,22,21,16,20,22,303
1997,"Total",132,18,17,65,48,63,52,32,44,34,47,64,55,52,41,35,40,839
1998,"Male",52,8,14,34,47,49,40,38,30,45,24,26,43,27,24,17,17,535
1998,"Female",28,4,10,24,15,17,14,6,11,17,9,17,32,19,16,18,29,286
1998,"Total",80,12,24,58,62,66,54,44,41,62,33,43,75,46,40,35,46,821
1999,"Male",65,7,12,26,37,35,36,31,28,29,32,35,40,34,21,23,18,509
1999,"Female",39,2,11,19,13,11,16,14,19,15,9,20,20,26,27,19,31,311
1999,"Total",104,9,23,45,50,46,52,45,47,44,41,55,60,60,48,42,49,820
2000,"Male",55,7,9,31,35,36,36,33,33,45,51,70,64,58,47,40,24,674
2000,"Female",41,8,4,10,9,12,16,9,17,25,32,34,46,63,38,37,49,450
2000,"Total",96,15,13,41,44,48,52,42,50,70,83,104,110,121,85,77,73,1124
2001,"Male",50,5,6,30,27,36,44,27,28,35,39,59,64,58,62,33,23,626
2001,"Female",37,8,8,13,10,15,17,19,15,28,43,34,49,44,53,38,43,474
2001,"Total",87,13,14,43,37,51,61,46,43,63,82,93,113,102,115,71,66,1100
2002,"Male",39,6,8,29,29,27,35,30,36,50,52,67,65,74,51,34,23,655
2002,"Female",26,4,3,18,13,15,17,15,25,27,31,36,61,47,44,29,42,453
2002,"Total",65,10,11,47,42,42,52,45,61,77,83,103,126,121,95,63,65,1108
2003,"Male",40,7,16,37,33,33,47,33,48,41,44,66,78,55,59,49,42,728
2003,"Female",37,3,7,29,10,16,11,9,25,27,30,31,50,73,52,34,45,489
2003,"Total",77,10,23,66,43,49,58,42,73,68,74,97,128,128,111,83,87,1217
2004,"Male",35,5,11,37,32,35,30,35,58,46,53,57,43,75,61,34,40,687
2004,"Female",38,2,9,20,14,7,20,21,22,26,26,36,61,56,56,44,60,518
2004,"Total",73,7,20,57,46,42,50,56,80,72,79,93,104,131,117,78,100,1205
2005,"Male",39,5,4,48,43,30,40,30,45,37,50,66,67,67,48,42,41,702
2005,"Female",33,3,5,15,14,12,14,20,23,29,31,38,61,65,42,36,63,504
2005,"Total",72,8,9,63,57,42,54,50,68,66,81,104,128,132,90,78,104,1206
2006,"Male",41,10,8,49,30,26,39,37,36,59,45,64,72,59,55,40,42,712
2006,"Female",33,6,7,28,11,13,17,18,19,28,39,48,56,50,55,35,77,540
2006,"Total",74,16,15,77,41,39,56,55,55,87,84,112,128,109,110,75,119,1252
2007,"Male",48,7,4,31,32,24,40,42,42,66,53,49,66,82,54,52,38,730
2007,"Female",43,3,6,15,16,10,18,13,18,23,31,48,66,47,50,41,68,516
2007,"Total",91,10,10,46,48,34,58,55,60,89,84,97,132,129,104,93,106,1246
2008,"Male",40,5,12,26,40,19,24,27,36,37,51,63,72,83,72,51,40,698
2008,"Female",36,4,5,26,14,13,7,19,26,27,44,57,61,70,64,41,73,587
2008,"Total",76,9,17,52,54,32,31,46,62,64,95,120,133,153,136,92,113,1285
2009,"Male",48,3,9,42,39,25,27,37,33,49,63,60,75,91,76,43,52,772
2009,"Female",37,6,7,23,12,15,12,9,26,34,50,51,53,47,67,58,93,600
2009,"Total",85,9,16,65,51,40,39,46,59,83,113,111,128,138,143,101,145,1372
2010,"Male",43,6,10,37,43,28,14,29,46,60,74,65,70,68,65,52,56,766
2010,"Female",28,1,9,21,13,11,11,13,15,35,41,53,65,73,61,51,91,592
2010,"Total",71,7,19,58,56,39,25,42,61,95,115,118,135,141,126,103,147,1358
2011,"Male",45,2,8,44,28,26,25,25,37,59,65,75,79,64,77,57,64,780
2011,"Female",23,1,6,14,18,13,6,19,15,28,52,47,66,74,71,65,97,615
2011,"Total",68,3,14,58,46,39,31,44,52,87,117,122,145,138,148,122,161,1395
2012,"Male",26,7,14,42,27,34,18,32,43,39,69,73,71,60,84,72,81,792
2012,"Female",17,2,6,22,16,5,10,10,25,33,43,30,81,76,76,70,97,619
2012,"Total",43,9,20,64,43,39,28,42,68,72,112,103,152,136,160,142,178,1411
2013,"Male",26,5,4,34,35,19,24,23,38,45,62,67,88,74,99,63,81,787
2013,"Female",19,3,2,17,11,11,10,19,13,31,52,53,66,72,75,59,117,630
2013,"Total",45,8,6,51,46,30,34,42,51,76,114,120,154,146,174,122,198,1417
