"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",66,13,17,108,129,129,124,111,94,127,114,157,202,298,387,387,880,3343
1996,"Female",50,13,13,54,43,34,43,41,41,86,95,90,139,213,300,430,1576,3261
1996,"Total",116,26,30,162,172,163,167,152,135,213,209,247,341,511,687,817,2456,6604
1997,"Male",74,18,13,111,129,137,120,114,122,109,145,153,203,278,365,420,871,3382
1997,"Female",49,5,10,39,32,43,53,33,46,62,83,117,114,201,299,363,1579,3128
1997,"Total",123,23,23,150,161,180,173,147,168,171,228,270,317,479,664,783,2450,6510
1998,"Male",73,16,21,84,132,139,87,121,100,112,114,167,184,269,392,381,841,3233
1998,"Female",33,10,14,53,27,31,51,47,78,55,86,117,135,209,316,419,1529,3210
1998,"Total",106,26,35,137,159,170,138,168,178,167,200,284,319,478,708,800,2370,6443
1999,"Male",53,12,19,88,100,123,101,121,99,131,150,155,195,293,383,458,933,3414
1999,"Female",38,8,11,43,36,29,29,46,62,63,93,103,133,201,323,407,1765,3390
1999,"Total",91,20,30,131,136,152,130,167,161,194,243,258,328,494,706,865,2698,6804
2000,"Male",60,11,27,78,103,109,121,115,131,150,194,236,282,463,643,716,1270,4709
2000,"Female",36,16,9,35,23,43,27,45,70,82,122,168,209,248,416,544,1926,4019
2000,"Total",96,27,36,113,126,152,148,160,201,232,316,404,491,711,1059,1260,3196,8728
2001,"Male",54,11,23,89,125,86,102,109,150,144,176,228,338,471,667,701,1334,4808
2001,"Female",27,9,14,34,29,29,43,34,73,93,139,146,226,294,379,622,2234,4425
2001,"Total",81,20,37,123,154,115,145,143,223,237,315,374,564,765,1046,1323,3568,9233
2002,"Male",36,18,22,70,97,99,90,123,134,158,225,277,321,429,617,717,1414,4847
2002,"Female",42,7,8,25,34,34,46,55,54,75,121,184,220,282,448,620,2354,4609
2002,"Total",78,25,30,95,131,133,136,178,188,233,346,461,541,711,1065,1337,3768,9456
2003,"Male",37,11,11,88,84,88,98,121,124,158,217,266,378,408,609,686,1422,4806
2003,"Female",26,11,8,33,39,27,37,66,61,95,136,177,207,306,411,559,2232,4431
2003,"Total",63,22,19,121,123,115,135,187,185,253,353,443,585,714,1020,1245,3654,9237
2004,"Male",43,11,15,85,100,77,71,114,111,167,190,284,345,452,584,732,1524,4905
2004,"Female",31,16,4,34,31,23,41,43,55,99,158,193,253,308,411,574,2413,4687
2004,"Total",74,27,19,119,131,100,112,157,166,266,348,477,598,760,995,1306,3937,9592
2005,"Male",33,11,20,98,94,85,66,113,135,172,211,285,339,422,573,690,1489,4836
2005,"Female",29,8,8,31,31,24,32,39,75,107,119,193,213,278,343,547,2344,4421
2005,"Total",62,19,28,129,125,109,98,152,210,279,330,478,552,700,916,1237,3833,9257
2006,"Male",53,6,13,82,88,77,77,100,121,162,227,297,364,439,552,719,1588,4965
2006,"Female",36,4,8,22,32,21,23,47,66,103,132,218,219,332,438,578,2591,4870
2006,"Total",89,10,21,104,120,98,100,147,187,265,359,515,583,771,990,1297,4179,9835
2007,"Male",48,12,21,72,105,75,73,105,111,165,201,275,359,436,591,778,1772,5199
2007,"Female",39,5,13,39,27,22,32,52,85,89,121,206,219,337,384,594,2680,4944
2007,"Total",87,17,34,111,132,97,105,157,196,254,322,481,578,773,975,1372,4452,10143
2008,"Male",55,12,14,91,101,82,73,97,115,182,208,295,366,493,563,724,1832,5303
2008,"Female",38,10,8,37,32,28,31,59,65,84,136,223,289,298,436,631,2876,5281
2008,"Total",93,22,22,128,133,110,104,156,180,266,344,518,655,791,999,1355,4708,10584
2009,"Male",51,9,10,76,97,56,109,97,130,166,230,267,372,442,577,751,1939,5379
2009,"Female",39,12,14,23,27,31,29,50,76,109,164,182,264,331,393,609,2922,5275
2009,"Total",90,21,24,99,124,87,138,147,206,275,394,449,636,773,970,1360,4861,10654
2010,"Male",42,3,10,71,97,63,71,107,108,175,199,282,391,502,588,709,1982,5400
2010,"Female",39,3,8,27,30,30,33,42,73,105,138,176,276,363,450,516,2945,5254
2010,"Total",81,6,18,98,127,93,104,149,181,280,337,458,667,865,1038,1225,4927,10654
2011,"Male",42,4,11,68,109,75,71,86,135,173,210,316,431,504,553,725,2172,5685
2011,"Female",31,4,8,37,41,50,44,50,73,109,136,207,279,396,487,574,3258,5784
2011,"Total",73,8,19,105,150,125,115,136,208,282,346,523,710,900,1040,1299,5430,11469
2012,"Male",40,7,12,66,94,73,56,91,125,156,236,285,385,544,643,693,2315,5821
2012,"Female",30,10,4,21,32,19,28,35,67,123,153,174,267,361,445,599,3342,5710
2012,"Total",70,17,16,87,126,92,84,126,192,279,389,459,652,905,1088,1292,5657,11531
2013,"Male",32,6,8,55,71,62,53,74,101,188,230,300,389,503,611,698,2219,5600
2013,"Female",29,6,9,30,25,15,26,33,55,92,163,190,280,364,448,637,3277,5679
2013,"Total",61,12,17,85,96,77,79,107,156,280,393,490,669,867,1059,1335,5496,11279
