"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",140,15,26,151,175,173,169,136,116,149,143,192,244,334,408,407,901,3879
1996,"Female",107,16,25,70,55,53,59,54,56,106,108,116,174,244,317,443,1608,3611
1996,"Total",247,31,51,221,230,226,228,190,172,255,251,308,418,578,725,850,2509,7490
1997,"Male",156,29,22,158,162,184,159,136,147,128,178,200,236,309,390,435,889,3918
1997,"Female",99,12,18,57,47,59,66,43,65,77,97,134,136,222,315,383,1601,3431
1997,"Total",255,41,40,215,209,243,225,179,212,205,275,334,372,531,705,818,2490,7349
1998,"Male",125,24,35,118,179,188,127,159,130,157,138,193,227,296,416,398,858,3768
1998,"Female",61,14,24,77,42,48,65,53,89,72,95,134,167,228,332,437,1558,3496
1998,"Total",186,38,59,195,221,236,192,212,219,229,233,327,394,524,748,835,2416,7264
1999,"Male",118,19,31,114,137,158,137,152,127,160,182,190,235,327,404,481,951,3923
1999,"Female",77,10,22,62,49,40,45,60,81,78,102,123,153,227,350,426,1796,3701
1999,"Total",195,29,53,176,186,198,182,212,208,238,284,313,388,554,754,907,2747,7624
2000,"Male",115,18,36,109,138,145,157,148,164,195,245,306,346,521,690,756,1294,5383
2000,"Female",77,24,13,45,32,55,43,54,87,107,154,202,255,311,454,581,1975,4469
2000,"Total",192,42,49,154,170,200,200,202,251,302,399,508,601,832,1144,1337,3269,9852
2001,"Male",104,16,29,119,152,122,146,136,178,179,215,287,402,529,729,734,1357,5434
2001,"Female",64,17,22,47,39,44,60,53,88,121,182,180,275,338,432,660,2277,4899
2001,"Total",168,33,51,166,191,166,206,189,266,300,397,467,677,867,1161,1394,3634,10333
2002,"Male",75,24,30,99,126,126,125,153,170,208,277,344,386,503,668,751,1437,5502
2002,"Female",68,11,11,43,47,49,63,70,79,102,152,220,281,329,492,649,2396,5062
2002,"Total",143,35,41,142,173,175,188,223,249,310,429,564,667,832,1160,1400,3833,10564
2003,"Male",77,18,27,125,117,121,145,154,172,199,261,332,456,463,668,735,1464,5534
2003,"Female",63,14,15,62,49,43,48,75,86,122,166,208,257,379,463,593,2277,4920
2003,"Total",140,32,42,187,166,164,193,229,258,321,427,540,713,842,1131,1328,3741,10454
2004,"Male",78,16,26,122,132,112,101,149,169,213,243,341,388,527,645,766,1564,5592
2004,"Female",69,18,13,54,45,30,61,64,77,125,184,229,314,364,467,618,2473,5205
2004,"Total",147,34,39,176,177,142,162,213,246,338,427,570,702,891,1112,1384,4037,10797
2005,"Male",72,16,24,146,137,115,106,143,180,209,261,351,406,489,621,732,1530,5538
2005,"Female",62,11,13,46,45,36,46,59,98,136,150,231,274,343,385,583,2407,4925
2005,"Total",134,27,37,192,182,151,152,202,278,345,411,582,680,832,1006,1315,3937,10463
2006,"Male",94,16,21,131,118,103,116,137,157,221,272,361,436,498,607,759,1630,5677
2006,"Female",69,10,15,50,43,34,40,65,85,131,171,266,275,382,493,613,2668,5410
2006,"Total",163,26,36,181,161,137,156,202,242,352,443,627,711,880,1100,1372,4298,11087
2007,"Male",96,19,25,103,137,99,113,147,153,231,254,324,425,518,645,830,1810,5929
2007,"Female",82,8,19,54,43,32,50,65,103,112,152,254,285,384,434,635,2748,5460
2007,"Total",178,27,44,157,180,131,163,212,256,343,406,578,710,902,1079,1465,4558,11389
2008,"Male",95,17,26,117,141,101,97,124,151,219,259,358,438,576,635,775,1872,6001
2008,"Female",74,14,13,63,46,41,38,78,91,111,180,280,350,368,500,672,2949,5868
2008,"Total",169,31,39,180,187,142,135,202,242,330,439,638,788,944,1135,1447,4821,11869
2009,"Male",99,12,19,118,136,81,136,134,163,215,293,327,447,533,653,794,1991,6151
2009,"Female",76,18,21,46,39,46,41,59,102,143,214,233,317,378,460,667,3015,5875
2009,"Total",175,30,40,164,175,127,177,193,265,358,507,560,764,911,1113,1461,5006,12026
2010,"Male",85,9,20,108,140,91,85,136,154,235,273,347,461,570,653,761,2038,6166
2010,"Female",67,4,17,48,43,41,44,55,88,140,179,229,341,436,511,567,3036,5846
2010,"Total",152,13,37,156,183,132,129,191,242,375,452,576,802,1006,1164,1328,5074,12012
2011,"Male",87,6,19,112,137,101,96,111,172,232,275,391,510,568,630,782,2236,6465
2011,"Female",54,5,14,51,59,63,50,69,88,137,188,254,345,470,558,639,3355,6399
2011,"Total",141,11,33,163,196,164,146,180,260,369,463,645,855,1038,1188,1421,5591,12864
2012,"Male",66,14,26,108,121,107,74,123,168,195,305,358,456,604,727,765,2396,6613
2012,"Female",47,12,10,43,48,24,38,45,92,156,196,204,348,437,521,669,3439,6329
2012,"Total",113,26,36,151,169,131,112,168,260,351,501,562,804,1041,1248,1434,5835,12942
2013,"Male",58,11,12,89,106,81,77,97,139,233,292,367,477,577,710,761,2300,6387
2013,"Female",48,9,11,47,36,26,36,52,68,123,215,243,346,436,523,696,3394,6309
2013,"Total",106,20,23,136,142,107,113,149,207,356,507,610,823,1013,1233,1457,5694,12696
