"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",52,7,8,19,13,27,34,40,52,62,67,98,146,256,370,434,1071,2756
1996,"Female",38,7,6,9,11,13,23,19,23,57,69,71,118,172,256,386,1684,2962
1996,"Total",90,14,14,28,24,40,57,59,75,119,136,169,264,428,626,820,2755,5718
1997,"Male",60,10,8,16,23,31,38,35,42,54,85,108,162,253,351,413,1109,2798
1997,"Female",33,1,6,9,10,12,26,21,24,46,60,87,93,177,263,323,1725,2916
1997,"Total",93,11,14,25,33,43,64,56,66,100,145,195,255,430,614,736,2834,5714
1998,"Male",56,7,8,12,29,31,24,40,36,54,73,102,154,239,388,424,1037,2714
1998,"Female",24,4,10,10,5,8,26,22,36,36,73,96,105,180,276,384,1655,2950
1998,"Total",80,11,18,22,34,39,50,62,72,90,146,198,259,419,664,808,2692,5664
1999,"Male",43,6,9,19,20,21,28,42,44,60,86,112,140,249,364,492,1099,2834
1999,"Female",32,3,5,9,11,15,11,13,31,38,71,76,104,154,260,378,1857,3068
1999,"Total",75,9,14,28,31,36,39,55,75,98,157,188,244,403,624,870,2956,5902
2000,"Male",44,8,12,18,23,26,38,40,54,76,93,140,164,292,449,580,1270,3327
2000,"Female",29,10,4,12,4,17,11,22,48,46,75,102,136,161,287,401,1881,3246
2000,"Total",73,18,16,30,27,43,49,62,102,122,168,242,300,453,736,981,3151,6573
2001,"Male",39,4,15,23,34,20,24,37,56,73,90,126,202,281,460,517,1392,3393
2001,"Female",17,3,6,13,11,12,20,14,40,52,85,94,138,185,241,459,2171,3561
2001,"Total",56,7,21,36,45,32,44,51,96,125,175,220,340,466,701,976,3563,6954
2002,"Male",25,13,10,12,27,26,26,40,52,69,118,137,202,280,446,549,1417,3449
2002,"Female",31,5,4,4,12,5,19,22,22,45,81,103,148,192,290,453,2279,3715
2002,"Total",56,18,14,16,39,31,45,62,74,114,199,240,350,472,736,1002,3696,7164
2003,"Male",31,6,5,15,18,22,32,45,53,65,118,147,215,251,416,553,1432,3424
2003,"Female",22,5,5,8,7,10,13,24,36,53,68,109,126,199,286,397,2211,3579
2003,"Total",53,11,10,23,25,32,45,69,89,118,186,256,341,450,702,950,3643,7003
2004,"Male",35,6,11,10,17,17,26,33,36,68,88,147,184,277,375,554,1517,3401
2004,"Female",21,8,4,9,6,12,14,23,30,58,93,115,148,193,264,430,2330,3758
2004,"Total",56,14,15,19,23,29,40,56,66,126,181,262,332,470,639,984,3847,7159
2005,"Male",27,4,8,17,24,17,24,45,53,75,90,155,194,262,404,530,1450,3379
2005,"Female",21,4,8,15,5,11,14,16,28,63,70,131,137,181,237,401,2270,3612
2005,"Total",48,8,16,32,29,28,38,61,81,138,160,286,331,443,641,931,3720,6991
2006,"Male",46,4,8,16,19,23,29,33,39,72,110,145,207,274,404,554,1608,3591
2006,"Female",31,4,5,5,14,8,11,24,26,50,73,132,122,198,298,419,2426,3846
2006,"Total",77,8,13,21,33,31,40,57,65,122,183,277,329,472,702,973,4034,7437
2007,"Male",36,8,13,14,25,15,18,24,45,67,105,156,223,282,397,621,1703,3752
2007,"Female",31,2,9,14,9,10,16,20,40,44,74,131,135,209,251,446,2502,3943
2007,"Total",67,10,22,28,34,25,34,44,85,111,179,287,358,491,648,1067,4205,7695
2008,"Male",46,7,7,24,16,21,22,39,37,81,83,152,203,316,411,586,1778,3829
2008,"Female",28,10,5,10,6,8,17,26,35,40,80,125,166,194,296,468,2714,4228
2008,"Total",74,17,12,34,22,29,39,65,72,121,163,277,369,510,707,1054,4492,8057
2009,"Male",40,5,4,16,16,15,31,36,62,51,105,142,209,307,400,583,1855,3877
2009,"Female",31,10,8,15,7,13,12,20,42,48,89,97,164,205,285,445,2731,4222
2009,"Total",71,15,12,31,23,28,43,56,104,99,194,239,373,512,685,1028,4586,8099
2010,"Male",33,2,7,19,18,23,23,34,48,69,81,160,219,331,414,559,1912,3952
2010,"Female",30,3,5,4,7,9,11,19,37,56,69,109,169,247,287,390,2725,4177
2010,"Total",63,5,12,23,25,32,34,53,85,125,150,269,388,578,701,949,4637,8129
2011,"Male",31,3,8,19,26,27,28,32,55,72,95,141,255,302,427,563,2080,4164
2011,"Female",25,2,3,18,19,29,32,25,46,58,78,133,163,248,338,427,3007,4651
2011,"Total",56,5,11,37,45,56,60,57,101,130,173,274,418,550,765,990,5087,8815
2012,"Male",32,4,6,10,22,21,20,30,45,73,111,148,222,353,482,553,2259,4391
2012,"Female",25,9,2,7,7,6,11,15,37,60,96,103,181,227,299,444,3121,4650
2012,"Total",57,13,8,17,29,27,31,45,82,133,207,251,403,580,781,997,5380,9041
2013,"Male",26,5,5,18,16,24,17,28,52,84,107,157,247,314,478,557,2170,4305
2013,"Female",26,4,6,6,13,8,9,16,31,50,86,115,166,232,320,466,2994,4548
2013,"Total",52,9,11,24,29,32,26,44,83,134,193,272,413,546,798,1023,5164,8853
