"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",114,14,24,150,164,159,156,130,111,141,140,186,257,376,504,556,1326,4508
1996,"Female",94,15,21,64,53,46,53,52,51,101,94,104,161,239,332,473,2011,3964
1996,"Total",208,29,45,214,217,205,209,182,162,242,234,290,418,615,836,1029,3337,8472
1997,"Male",129,25,21,147,156,169,149,133,141,121,161,201,256,373,485,545,1340,4552
1997,"Female",87,11,16,54,42,59,61,41,63,72,91,126,131,208,314,407,2012,3795
1997,"Total",216,36,37,201,198,228,210,174,204,193,252,327,387,581,799,952,3352,8347
1998,"Male",107,23,32,108,164,175,123,150,121,148,135,193,250,357,503,546,1248,4383
1998,"Female",52,14,21,71,39,45,61,47,81,74,86,129,164,220,334,456,1889,3783
1998,"Total",159,37,53,179,203,220,184,197,202,222,221,322,414,577,837,1002,3137,8166
1999,"Male",99,18,29,109,122,154,128,145,122,156,179,201,242,368,512,648,1360,4592
1999,"Female",63,10,21,57,45,37,42,55,79,73,84,109,142,218,350,476,2207,4068
1999,"Total",162,28,50,166,167,191,170,200,201,229,263,310,384,586,862,1124,3567,8660
2000,"Male",98,14,32,106,123,140,158,149,164,191,239,324,361,608,834,966,1787,6294
2000,"Female",64,24,12,42,27,55,44,52,89,107,154,205,260,323,481,644,2442,5025
2000,"Total",162,38,44,148,150,195,202,201,253,298,393,529,621,931,1315,1610,4229,11319
2001,"Male",87,15,27,119,135,114,144,132,172,174,228,314,447,589,892,889,1924,6402
2001,"Female",57,17,18,45,37,43,61,54,80,118,174,178,269,343,446,715,2761,5416
2001,"Total",144,32,45,164,172,157,205,186,252,292,402,492,716,932,1338,1604,4685,11818
2002,"Male",61,23,28,94,118,112,121,150,163,207,276,364,432,560,812,922,1973,6416
2002,"Female",55,11,12,41,42,49,56,63,81,97,152,221,282,344,508,699,2868,5581
2002,"Total",116,34,40,135,160,161,177,213,244,304,428,585,714,904,1320,1621,4841,11997
2003,"Male",64,13,26,119,111,109,138,151,175,198,267,345,490,523,782,941,2021,6473
2003,"Female",58,12,14,55,44,39,47,70,85,122,165,207,260,380,479,619,2774,5430
2003,"Total",122,25,40,174,155,148,185,221,260,320,432,552,750,903,1261,1560,4795,11903
2004,"Male",70,14,21,111,124,106,104,141,167,208,251,354,411,576,748,947,2088,6441
2004,"Female",55,16,15,55,46,27,63,66,79,121,181,229,315,361,479,656,2927,5691
2004,"Total",125,30,36,166,170,133,167,207,246,329,432,583,726,937,1227,1603,5015,12132
2005,"Male",54,17,22,137,123,104,95,138,176,213,258,373,437,545,694,890,2062,6338
2005,"Female",55,12,12,47,40,33,46,57,96,131,146,228,278,342,402,602,2882,5409
2005,"Total",109,29,34,184,163,137,141,195,272,344,404,601,715,887,1096,1492,4944,11747
2006,"Male",76,15,17,119,110,95,105,130,153,220,268,366,469,554,709,894,2205,6505
2006,"Female",57,10,14,48,37,34,39,63,78,129,173,264,271,383,494,644,3132,5870
2006,"Total",133,25,31,167,147,129,144,193,231,349,441,630,740,937,1203,1538,5337,12375
2007,"Male",79,14,25,97,127,93,114,139,149,233,259,336,463,574,727,1005,2408,6842
2007,"Female",62,7,19,50,39,28,41,71,105,107,152,249,293,379,440,671,3233,5946
2007,"Total",141,21,44,147,166,121,155,210,254,340,411,585,756,953,1167,1676,5641,12788
2008,"Male",80,12,26,107,123,95,90,122,145,217,251,379,464,648,747,973,2481,6960
2008,"Female",62,13,12,55,42,41,33,71,82,113,166,271,348,382,507,697,3481,6376
2008,"Total",142,25,38,162,165,136,123,193,227,330,417,650,812,1030,1254,1670,5962,13336
2009,"Male",84,9,17,111,124,75,121,133,161,208,297,334,471,590,740,943,2576,6994
2009,"Female",53,15,18,41,37,41,34,57,91,135,213,226,313,375,460,681,3513,6303
2009,"Total",137,24,35,152,161,116,155,190,252,343,510,560,784,965,1200,1624,6089,13297
2010,"Male",69,7,16,100,125,85,79,130,155,235,277,363,491,635,733,894,2669,7063
2010,"Female",54,4,14,46,37,39,41,53,87,141,174,231,337,436,514,609,3537,6354
2010,"Total",123,11,30,146,162,124,120,183,242,376,451,594,828,1071,1247,1503,6206,13417
2011,"Male",68,5,18,98,128,90,85,101,168,224,271,395,540,605,734,916,2867,7313
2011,"Female",44,3,11,44,57,59,51,65,86,135,186,240,345,468,553,661,3811,6819
2011,"Total",112,8,29,142,185,149,136,166,254,359,457,635,885,1073,1287,1577,6678,14132
2012,"Male",57,11,23,98,109,106,61,114,160,191,304,352,479,657,824,896,3015,7457
2012,"Female",33,12,7,32,42,18,37,41,85,147,204,202,342,433,531,698,3915,6779
2012,"Total",90,23,30,130,151,124,98,155,245,338,508,554,821,1090,1355,1594,6930,14236
2013,"Male",48,11,11,80,97,74,72,94,138,224,292,372,507,637,815,881,2948,7301
2013,"Female",39,7,8,43,34,23,34,51,72,111,208,237,350,438,529,722,3773,6679
2013,"Total",87,18,19,123,131,97,106,145,210,335,500,609,857,1075,1344,1603,6721,13980
