"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",46,12,15,107,118,114,111,103,90,116,109,147,212,336,471,530,1287,3924
1996,"Female",40,12,10,48,41,28,37,39,36,81,82,76,123,207,309,457,1960,3586
1996,"Total",86,24,25,155,159,142,148,142,126,197,191,223,335,543,780,987,3247,7510
1997,"Male",54,16,13,100,123,124,110,112,115,102,130,153,217,331,455,523,1309,3987
1997,"Female",44,5,8,37,27,43,48,31,41,57,77,107,107,187,293,388,1980,3480
1997,"Total",98,21,21,137,150,167,158,143,156,159,207,260,324,518,748,911,3289,7467
1998,"Male",61,15,18,75,118,126,83,113,89,105,109,163,205,318,471,521,1217,3807
1998,"Female",26,9,11,49,24,30,47,40,72,55,77,108,130,197,310,438,1848,3471
1998,"Total",87,24,29,124,142,156,130,153,161,160,186,271,335,515,781,959,3065,7278
1999,"Male",41,12,17,84,85,116,94,112,93,125,144,166,194,323,477,620,1332,4035
1999,"Female",30,8,10,40,32,27,27,42,60,57,74,91,121,192,316,450,2164,3741
1999,"Total",71,20,27,124,117,143,121,154,153,182,218,257,315,515,793,1070,3496,7776
2000,"Male",46,7,23,76,88,103,116,115,129,144,186,246,293,540,776,909,1744,5541
2000,"Female",27,16,8,32,19,42,28,39,70,80,119,170,208,254,438,600,2383,4533
2000,"Total",73,23,31,108,107,145,144,154,199,224,305,416,501,794,1214,1509,4127,10074
2001,"Male",42,10,22,88,109,77,99,105,140,138,179,248,375,518,809,849,1888,5696
2001,"Female",20,9,10,32,28,28,42,32,63,88,131,139,217,297,392,668,2701,4897
2001,"Total",62,19,32,120,137,105,141,137,203,226,310,387,592,815,1201,1517,4589,10593
2002,"Male",28,17,21,64,89,85,85,118,127,157,222,287,362,479,738,878,1939,5696
2002,"Female",31,7,8,23,28,33,38,48,54,68,117,183,219,287,460,660,2811,5075
2002,"Total",59,24,29,87,117,118,123,166,181,225,339,470,581,766,1198,1538,4750,10771
2003,"Male",28,7,12,82,81,76,89,114,122,157,219,278,403,458,709,879,1965,5679
2003,"Female",21,10,7,28,35,23,36,59,59,91,133,174,204,306,420,583,2718,4907
2003,"Total",49,17,19,110,116,99,125,173,181,248,352,452,607,764,1129,1462,4683,10586
2004,"Male",36,10,13,74,90,70,74,105,108,159,191,291,359,486,668,904,2033,5671
2004,"Female",22,14,6,36,32,21,42,44,55,93,155,190,249,296,416,603,2856,5130
2004,"Total",58,24,19,110,122,91,116,149,163,252,346,481,608,782,1084,1507,4889,10801
2005,"Male",23,12,18,91,80,74,56,105,128,173,204,301,362,464,639,840,1996,5566
2005,"Female",25,8,8,31,27,21,30,34,71,102,115,187,210,276,357,563,2806,4871
2005,"Total",48,20,26,122,107,95,86,139,199,275,319,488,572,740,996,1403,4802,10437
2006,"Male",39,5,10,73,80,69,67,95,114,159,219,298,384,482,635,838,2147,5714
2006,"Female",28,4,6,20,26,21,19,44,58,97,130,214,211,328,435,606,3046,5293
2006,"Total",67,9,16,93,106,90,86,139,172,256,349,512,595,810,1070,1444,5193,11007
2007,"Male",36,8,20,68,96,67,72,94,106,162,198,278,390,480,659,941,2343,6018
2007,"Female",24,4,14,36,25,18,22,52,86,78,117,201,224,332,385,627,3149,5394
2007,"Total",60,12,34,104,121,85,94,146,192,240,315,479,614,812,1044,1568,5492,11412
2008,"Male",46,7,14,81,83,76,65,93,109,178,196,310,387,555,661,902,2427,6190
2008,"Female",28,8,8,32,28,26,25,53,59,83,121,211,283,302,436,653,3384,5740
2008,"Total",74,15,22,113,111,102,90,146,168,261,317,521,670,857,1097,1555,5811,11930
2009,"Male",39,6,9,70,84,49,94,91,127,156,230,265,390,486,647,884,2507,6134
2009,"Female",27,9,13,22,24,27,22,47,66,98,159,171,257,322,388,617,3402,5671
2009,"Total",66,15,22,92,108,76,116,138,193,254,389,436,647,808,1035,1501,5909,11805
2010,"Male",32,2,6,63,82,59,66,99,106,174,201,291,412,555,656,828,2587,6219
2010,"Female",27,3,7,25,26,26,30,42,68,105,128,174,271,362,449,553,3427,5723
2010,"Total",59,5,13,88,108,85,96,141,174,279,329,465,683,917,1105,1381,6014,11942
2011,"Male",28,4,11,58,104,65,60,73,130,162,206,316,454,533,641,849,2785,6479
2011,"Female",25,2,5,32,37,48,44,45,68,104,127,191,276,389,478,593,3695,6159
2011,"Total",53,6,16,90,141,113,104,118,198,266,333,507,730,922,1119,1442,6480,12638
2012,"Male",34,5,10,57,82,72,43,80,119,149,225,277,401,584,729,803,2914,6584
2012,"Female",17,10,2,13,26,14,25,30,60,114,156,169,255,352,446,620,3795,6104
2012,"Total",51,15,12,70,108,86,68,110,179,263,381,446,656,936,1175,1423,6709,12688
2013,"Male",25,6,7,45,63,54,49,67,99,178,219,297,411,550,703,801,2836,6410
2013,"Female",21,4,5,26,22,12,23,30,56,79,154,183,278,362,448,654,3639,5996
2013,"Total",46,10,12,71,85,66,72,97,155,257,373,480,689,912,1151,1455,6475,12406
