"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",265,9,5,11,19,20,26,46,76,180,274,424,671,1135,1553,1669,3402,9785
1996,"Female",230,7,6,9,11,19,37,45,71,149,174,262,392,639,1024,1389,5017,9481
1996,"Total",495,16,11,20,30,39,63,91,147,329,448,686,1063,1774,2577,3058,8419,19266
1997,"Male",221,5,5,8,16,20,26,65,95,178,271,402,603,1130,1522,1589,3435,9591
1997,"Female",199,6,12,8,13,25,31,39,85,144,202,285,339,598,913,1288,4950,9137
1997,"Total",420,11,17,16,29,45,57,104,180,322,473,687,942,1728,2435,2877,8385,18728
1998,"Male",220,8,5,7,11,9,37,64,112,147,255,400,605,1011,1406,1667,3296,9260
1998,"Female",196,4,6,5,7,8,35,51,92,125,199,262,372,553,856,1309,4769,8849
1998,"Total",416,12,11,12,18,17,72,115,204,272,454,662,977,1564,2262,2976,8065,18109
1999,"Male",226,6,4,14,18,18,26,44,84,141,261,460,605,909,1469,1811,3517,9613
1999,"Female",232,4,7,7,8,14,33,49,84,130,195,273,374,581,877,1358,5230,9456
1999,"Total",458,10,11,21,26,32,59,93,168,271,456,733,979,1490,2346,3169,8747,19069
2000,"Male",263,4,11,12,9,21,32,37,76,121,204,279,416,698,1110,1464,3126,7883
2000,"Female",221,2,3,3,7,17,26,42,67,112,163,219,293,406,682,1107,4565,7935
2000,"Total",484,6,14,15,16,38,58,79,143,233,367,498,709,1104,1792,2571,7691,15818
2001,"Male",217,3,8,12,11,11,30,49,65,103,230,292,446,634,1151,1409,3340,8011
2001,"Female",195,6,7,10,9,12,23,41,53,95,159,185,292,430,725,1081,5158,8481
2001,"Total",412,9,15,22,20,23,53,90,118,198,389,477,738,1064,1876,2490,8498,16492
2002,"Male",249,4,0,11,12,17,24,37,63,112,175,295,462,641,1066,1438,3427,8033
2002,"Female",249,8,3,9,7,8,20,42,67,104,143,218,296,376,662,1131,5141,8484
2002,"Total",498,12,3,20,19,25,44,79,130,216,318,513,758,1017,1728,2569,8568,16517
2003,"Male",232,2,11,12,8,7,16,36,86,119,193,279,401,616,966,1375,3471,7830
2003,"Female",226,3,3,13,6,8,32,38,77,102,159,220,290,362,648,1054,5276,8517
2003,"Total",458,5,14,25,14,15,48,74,163,221,352,499,691,978,1614,2429,8747,16347
2004,"Male",275,2,7,7,7,13,29,53,61,120,169,280,422,569,921,1417,3634,7986
2004,"Female",259,1,5,10,7,11,20,47,77,100,156,202,287,378,634,1017,5460,8671
2004,"Total",534,3,12,17,14,24,49,100,138,220,325,482,709,947,1555,2434,9094,16657
2005,"Male",248,4,6,2,10,12,21,31,75,105,170,326,397,582,802,1236,3389,7416
2005,"Female",209,3,3,10,10,7,31,47,64,121,147,219,264,362,563,962,5160,8182
2005,"Total",457,7,9,12,20,19,52,78,139,226,317,545,661,944,1365,2198,8549,15598
2006,"Male",282,4,3,10,17,15,24,36,64,115,155,285,400,584,843,1281,3653,7771
2006,"Female",213,1,3,12,7,10,21,36,77,123,156,196,264,374,551,1005,5423,8472
2006,"Total",495,5,6,22,24,25,45,72,141,238,311,481,664,958,1394,2286,9076,16243
2007,"Male",241,3,3,7,19,9,20,37,70,128,184,294,394,567,779,1204,3586,7545
2007,"Female",244,3,2,9,9,6,21,44,73,91,148,207,259,397,536,893,5180,8122
2007,"Total",485,6,5,16,28,15,41,81,143,219,332,501,653,964,1315,2097,8766,15667
2008,"Male",263,1,5,12,5,11,20,45,72,120,162,271,441,592,796,1271,3831,7918
2008,"Female",239,2,4,2,10,13,22,45,56,85,126,212,261,414,537,849,5339,8216
2008,"Total",502,3,9,14,15,24,42,90,128,205,288,483,702,1006,1333,2120,9170,16134
2009,"Male",257,1,5,8,14,17,23,28,56,110,172,261,445,624,755,1155,3752,7683
2009,"Female",246,2,5,6,6,14,18,44,62,103,151,182,296,387,547,750,5208,8027
2009,"Total",503,3,10,14,20,31,41,72,118,213,323,443,741,1011,1302,1905,8960,15710
2010,"Male",264,3,4,6,9,10,14,29,68,112,173,300,413,560,727,1064,3842,7598
2010,"Female",221,3,3,5,11,10,21,39,77,118,131,178,283,365,498,779,5110,7852
2010,"Total",485,6,7,11,20,20,35,68,145,230,304,478,696,925,1225,1843,8952,15450
2011,"Male",261,2,5,10,14,9,17,22,68,81,176,290,398,585,834,1087,4030,7889
2011,"Female",205,2,1,3,11,6,24,38,71,92,137,187,302,375,527,798,5484,8263
2011,"Total",466,4,6,13,25,15,41,60,139,173,313,477,700,960,1361,1885,9514,16152
2012,"Male",244,2,4,5,11,11,14,23,52,124,168,259,397,599,832,1016,4040,7801
2012,"Female",218,1,4,9,7,10,30,30,80,113,149,182,253,350,557,757,5369,8119
2012,"Total",462,3,8,14,18,21,44,53,132,237,317,441,650,949,1389,1773,9409,15920
2013,"Male",197,0,1,9,8,14,15,32,62,89,160,248,339,573,808,1001,3923,7479
2013,"Female",176,0,2,1,6,10,24,29,67,86,150,167,260,353,487,714,4700,7232
2013,"Total",373,0,3,10,14,24,39,61,129,175,310,415,599,926,1295,1715,8623,14711
