"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",47,1,0,2,3,6,4,3,13,22,24,32,30,41,35,20,31,314
1996,"Female",35,0,0,1,0,5,5,6,12,17,7,18,21,19,28,28,41,243
1996,"Total",82,1,0,3,3,11,9,9,25,39,31,50,51,60,63,48,72,557
1997,"Male",54,0,1,2,4,2,4,11,10,17,27,32,27,50,34,27,24,326
1997,"Female",46,1,2,2,2,8,10,5,8,10,14,26,19,29,29,25,39,275
1997,"Total",100,1,3,4,6,10,14,16,18,27,41,58,46,79,63,52,63,601
1998,"Male",62,1,1,1,3,3,9,8,11,23,23,44,32,49,41,39,34,384
1998,"Female",39,3,0,0,0,2,7,6,17,16,21,23,18,26,35,21,51,285
1998,"Total",101,4,1,1,3,5,16,14,28,39,44,67,50,75,76,60,85,669
1999,"Male",47,0,2,4,2,2,2,3,10,11,25,34,42,54,52,46,44,380
1999,"Female",50,1,0,2,3,2,8,6,11,11,15,20,17,29,32,23,56,286
1999,"Total",97,1,2,6,5,4,10,9,21,22,40,54,59,83,84,69,100,666
2000,"Male",64,2,3,2,1,2,1,2,12,14,30,30,28,32,40,40,34,337
2000,"Female",45,0,2,1,1,3,5,10,4,11,15,19,20,26,31,24,47,264
2000,"Total",109,2,5,3,2,5,6,12,16,25,45,49,48,58,71,64,81,601
2001,"Male",50,1,1,3,4,2,6,11,7,15,26,29,33,34,42,45,39,348
2001,"Female",42,2,0,1,1,3,2,6,10,9,15,12,26,32,32,30,55,278
2001,"Total",92,3,1,4,5,5,8,17,17,24,41,41,59,66,74,75,94,626
2002,"Male",64,1,0,3,0,1,2,6,9,15,22,23,29,33,34,48,46,336
2002,"Female",67,0,2,2,0,0,8,5,4,12,10,23,28,34,38,49,57,339
2002,"Total",131,1,2,5,0,1,10,11,13,27,32,46,57,67,72,97,103,675
2003,"Male",56,0,3,2,0,2,1,5,12,18,21,28,30,39,53,33,39,342
2003,"Female",55,0,0,3,1,2,5,4,9,13,18,22,22,28,29,34,67,312
2003,"Total",111,0,3,5,1,4,6,9,21,31,39,50,52,67,82,67,106,654
2004,"Male",75,0,1,0,3,2,2,8,14,9,22,32,24,40,34,46,52,364
2004,"Female",50,0,0,0,1,2,3,4,4,11,27,20,26,14,37,41,76,316
2004,"Total",125,0,1,0,4,4,5,12,18,20,49,52,50,54,71,87,128,680
2005,"Male",56,3,2,0,2,4,4,4,14,14,19,38,36,35,34,31,47,343
2005,"Female",51,1,0,1,1,1,6,8,10,10,13,17,25,27,30,44,71,316
2005,"Total",107,4,2,1,3,5,10,12,24,24,32,55,61,62,64,75,118,659
2006,"Male",76,1,1,3,2,2,3,9,11,23,20,35,30,40,56,31,57,400
2006,"Female",54,0,0,1,2,0,5,3,12,20,18,31,28,35,30,46,85,370
2006,"Total",130,1,1,4,4,2,8,12,23,43,38,66,58,75,86,77,142,770
2007,"Male",58,2,1,1,4,1,3,11,14,15,23,29,32,41,35,37,66,373
2007,"Female",53,1,1,2,1,0,4,7,13,2,12,25,38,31,45,29,84,348
2007,"Total",111,3,2,3,5,1,7,18,27,17,35,54,70,72,80,66,150,721
2008,"Male",69,1,1,2,0,2,7,6,11,19,25,23,44,38,46,44,43,381
2008,"Female",49,0,2,0,2,0,1,9,6,13,17,20,27,38,45,37,83,349
2008,"Total",118,1,3,2,2,2,8,15,17,32,42,43,71,76,91,81,126,730
2009,"Male",77,0,3,1,1,2,6,7,13,16,23,23,30,61,54,49,65,431
2009,"Female",76,0,1,0,0,4,6,10,9,16,16,29,23,26,36,36,85,373
2009,"Total",153,0,4,1,1,6,12,17,22,32,39,52,53,87,90,85,150,804
2010,"Male",72,0,1,2,2,3,2,3,13,19,30,44,37,28,43,36,65,400
2010,"Female",55,1,0,1,1,3,3,7,17,16,15,20,30,34,39,34,85,361
2010,"Total",127,1,1,3,3,6,5,10,30,35,45,64,67,62,82,70,150,761
2011,"Male",54,1,0,2,3,4,2,5,9,20,23,33,30,46,55,45,76,408
2011,"Female",55,0,0,0,1,1,4,7,14,16,18,26,29,31,50,40,107,399
2011,"Total",109,1,0,2,4,5,6,12,23,36,41,59,59,77,105,85,183,807
2012,"Male",71,0,3,1,4,3,5,5,15,26,27,34,40,50,52,49,66,451
2012,"Female",49,1,1,4,2,3,7,6,12,27,24,24,27,34,34,36,89,380
2012,"Total",120,1,4,5,6,6,12,11,27,53,51,58,67,84,86,85,155,831
2013,"Male",40,0,0,0,2,5,6,9,12,15,15,29,38,40,46,54,71,382
2013,"Female",45,0,1,1,1,3,3,4,7,19,22,21,24,36,34,44,85,350
2013,"Total",85,0,1,1,3,8,9,13,19,34,37,50,62,76,80,98,156,732
