"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",113,5,8,45,43,43,50,51,45,61,101,118,157,148,110,76,96,1270
1996,"Female",113,2,12,17,11,20,16,30,26,60,62,83,111,122,105,78,115,983
1996,"Total",226,7,20,62,54,63,66,81,71,121,163,201,268,270,215,154,211,2253
1997,"Male",124,9,14,46,29,47,44,33,49,71,104,115,143,153,109,72,79,1241
1997,"Female",101,6,7,20,15,19,22,32,37,49,71,84,103,116,109,88,107,986
1997,"Total",225,15,21,66,44,66,66,65,86,120,175,199,246,269,218,160,186,2227
1998,"Male",111,8,17,34,42,48,39,40,47,74,96,127,152,145,113,78,74,1245
1998,"Female",87,3,6,25,14,15,15,25,24,43,56,92,97,137,94,86,106,925
1998,"Total",198,11,23,59,56,63,54,65,71,117,152,219,249,282,207,164,180,2170
1999,"Male",117,3,8,28,36,36,42,46,65,75,112,118,167,128,125,85,96,1287
1999,"Female",87,3,10,18,13,16,18,29,44,55,73,97,112,113,103,89,117,997
1999,"Total",204,6,18,46,49,52,60,75,109,130,185,215,279,241,228,174,213,2284
2000,"Male",99,6,5,28,31,36,35,35,52,73,80,112,138,149,115,90,87,1171
2000,"Female",92,7,1,11,10,12,23,21,39,50,63,97,105,139,98,81,127,976
2000,"Total",191,13,6,39,41,48,58,56,91,123,143,209,243,288,213,171,214,2147
2001,"Male",110,7,4,25,29,31,33,32,54,55,98,119,126,134,125,83,84,1149
2001,"Female",90,6,7,13,11,16,21,29,41,49,80,88,143,107,114,96,122,1033
2001,"Total",200,13,11,38,40,47,54,61,95,104,178,207,269,241,239,179,206,2182
2002,"Male",121,1,4,25,25,24,36,40,53,72,93,103,136,155,130,94,91,1203
2002,"Female",86,4,4,16,12,17,23,25,32,64,69,89,90,122,123,73,129,978
2002,"Total",207,5,8,41,37,41,59,65,85,136,162,192,226,277,253,167,220,2181
2003,"Male",113,5,13,36,34,32,43,32,56,83,90,116,124,141,124,113,94,1249
2003,"Female",90,3,7,30,11,10,10,16,41,66,63,81,114,140,119,79,129,1009
2003,"Total",203,8,20,66,45,42,53,48,97,149,153,197,238,281,243,192,223,2258
2004,"Male",111,4,9,38,34,32,29,37,68,83,105,107,115,160,140,90,100,1262
2004,"Female",94,2,7,18,10,14,26,30,43,66,63,100,105,103,111,101,126,1019
2004,"Total",205,6,16,56,44,46,55,67,111,149,168,207,220,263,251,191,226,2281
2005,"Male",126,3,8,44,39,33,43,38,72,59,95,95,133,139,118,116,81,1242
2005,"Female",77,6,4,15,13,12,19,27,47,51,64,81,126,117,125,93,159,1036
2005,"Total",203,9,12,59,52,45,62,65,119,110,159,176,259,256,243,209,240,2278
2006,"Male",121,7,5,43,26,24,35,40,46,86,95,126,147,152,132,119,98,1302
2006,"Female",106,6,7,22,10,14,21,30,38,49,75,89,106,109,123,100,153,1058
2006,"Total",227,13,12,65,36,38,56,70,84,135,170,215,253,261,255,219,251,2360
2007,"Male",124,5,2,29,31,31,38,47,51,83,117,122,136,165,141,116,101,1339
2007,"Female",118,4,9,14,15,13,20,33,37,53,64,86,115,112,134,106,157,1090
2007,"Total",242,9,11,43,46,44,58,80,88,136,181,208,251,277,275,222,258,2429
2008,"Male",132,6,7,23,40,20,25,32,56,61,92,125,141,125,128,106,106,1225
2008,"Female",83,2,3,25,14,11,9,24,43,62,75,110,114,146,143,95,187,1146
2008,"Total",215,8,10,48,54,31,34,56,99,123,167,235,255,271,271,201,293,2371
2009,"Male",133,1,9,35,31,26,27,44,54,70,109,106,151,155,163,103,132,1349
2009,"Female",123,4,4,21,13,12,16,18,40,59,75,77,100,113,149,97,197,1118
2009,"Total",256,5,13,56,44,38,43,62,94,129,184,183,251,268,312,200,329,2467
2010,"Male",130,2,10,34,40,30,14,30,59,89,117,102,125,117,124,92,96,1211
2010,"Female",113,1,6,21,12,16,14,19,38,47,92,90,99,124,134,111,206,1143
2010,"Total",243,3,16,55,52,46,28,49,97,136,209,192,224,241,258,203,302,2354
2011,"Male",110,1,5,43,29,23,33,30,48,69,89,122,129,131,149,126,111,1248
2011,"Female",117,0,6,14,17,11,16,27,34,48,79,90,134,133,135,113,212,1186
2011,"Total",227,1,11,57,46,34,49,57,82,117,168,212,263,264,284,239,323,2434
2012,"Male",110,2,11,40,26,30,21,22,45,61,114,108,137,118,158,140,170,1313
2012,"Female",107,2,6,19,16,6,21,19,31,61,73,79,123,129,122,127,202,1143
2012,"Total",217,4,17,59,42,36,42,41,76,122,187,187,260,247,280,267,372,2456
2013,"Male",80,2,3,28,32,18,19,29,47,64,93,117,143,131,148,122,139,1215
2013,"Female",65,3,3,14,13,10,15,22,29,53,84,99,119,135,131,112,222,1129
2013,"Total",145,5,6,42,45,28,34,51,76,117,177,216,262,266,279,234,361,2344
