"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",234,14,13,96,122,105,106,105,103,219,294,447,694,1133,1534,1602,3183,10004
1996,"Female",209,13,11,51,41,33,50,61,75,160,192,260,391,658,1042,1403,4870,9520
1996,"Total",443,27,24,147,163,138,156,166,178,379,486,707,1085,1791,2576,3005,8053,19524
1997,"Male",191,12,9,92,114,116,99,132,162,214,297,414,615,1105,1498,1569,3175,9814
1997,"Female",181,9,13,35,32,48,45,44,97,149,208,286,338,593,919,1302,4765,9064
1997,"Total",372,21,22,127,146,164,144,176,259,363,505,700,953,1698,2417,2871,7940,18878
1998,"Male",174,15,14,71,102,105,87,130,160,176,271,419,601,994,1369,1593,3065,9346
1998,"Female",169,6,10,45,27,26,53,67,114,129,191,260,382,553,858,1323,4593,8806
1998,"Total",343,21,24,116,129,131,140,197,274,305,462,679,983,1547,2227,2916,7658,18152
1999,"Male",190,12,12,76,85,111,95,116,127,194,297,469,618,899,1434,1734,3312,9781
1999,"Female",190,8,12,37,26,26,41,73,104,142,198,280,385,598,907,1365,5085,9477
1999,"Total",380,20,24,113,111,137,136,189,231,336,495,749,1003,1497,2341,3099,8397,19258
2000,"Male",224,5,20,68,78,97,110,107,138,173,260,334,493,829,1255,1555,3094,8840
2000,"Female",192,8,7,24,21,38,36,55,83,136,191,265,345,464,778,1220,4563,8426
2000,"Total",416,13,27,92,99,135,146,162,221,309,451,599,838,1293,2033,2775,7657,17266
2001,"Male",190,8,14,75,89,68,92,107,144,150,283,361,543,780,1305,1544,3245,8998
2001,"Female",170,11,13,29,26,25,42,55,74,124,194,223,344,502,826,1211,5161,9030
2001,"Total",360,19,27,104,115,93,134,162,218,274,477,584,887,1282,2131,2755,8406,18028
2002,"Male",205,7,11,60,72,81,80,108,129,182,255,404,547,748,1208,1562,3382,9041
2002,"Female",200,10,5,26,25,37,36,69,95,122,170,273,339,425,779,1241,5155,9007
2002,"Total",405,17,16,86,97,118,116,177,224,304,425,677,886,1173,1987,2803,8537,18048
2003,"Male",190,4,14,77,69,60,77,99,142,186,263,360,525,729,1095,1472,3422,8784
2003,"Female",187,9,5,32,34,21,51,72,92,128,203,264,340,435,738,1177,5228,9016
2003,"Total",377,13,19,109,103,81,128,171,234,314,466,624,865,1164,1833,2649,8650,17800
2004,"Male",226,6,10,72,80,67,71,119,114,203,242,379,538,689,1077,1542,3588,9023
2004,"Female",222,7,4,34,30,20,44,62,98,127,194,255,362,478,738,1115,5464,9254
2004,"Total",448,13,14,106,110,87,115,181,212,330,436,634,900,1167,1815,2657,9052,18277
2005,"Male",211,9,15,76,66,71,51,92,137,184,262,411,495,699,925,1361,3374,8439
2005,"Female",172,6,3,23,34,18,40,59,96,153,180,258,312,427,635,1062,5163,8641
2005,"Total",383,15,18,99,100,89,91,151,233,337,442,669,807,1126,1560,2423,8537,17080
2006,"Male",218,4,6,65,78,60,63,88,128,178,240,394,515,701,916,1411,3585,8650
2006,"Female",174,1,5,26,22,23,25,56,100,153,193,249,329,469,655,1111,5501,9092
2006,"Total",392,5,11,91,100,83,88,144,228,331,433,643,844,1170,1571,2522,9086,17742
2007,"Male",211,5,10,59,84,62,69,100,119,204,248,368,487,673,929,1318,3583,8529
2007,"Female",212,4,5,30,24,18,31,67,105,129,179,255,300,490,616,1008,5265,8738
2007,"Total",423,9,15,89,108,80,100,167,224,333,427,623,787,1163,1545,2326,8848,17267
2008,"Male",219,3,11,68,73,66,61,94,133,198,251,384,555,721,894,1358,3831,8920
2008,"Female",202,1,6,27,33,31,34,67,78,111,162,285,352,478,627,968,5413,8875
2008,"Total",421,4,17,95,106,97,95,161,211,309,413,669,907,1199,1521,2326,9244,17795
2009,"Male",208,5,7,60,83,50,88,76,106,202,267,355,563,692,871,1265,3779,8677
2009,"Female",195,3,10,13,24,28,27,62,82,141,206,231,364,479,619,875,5310,8669
2009,"Total",403,8,17,73,107,78,115,138,188,343,473,586,927,1171,1490,2140,9089,17346
2010,"Male",214,4,7,50,72,43,57,93,111,194,256,368,546,693,843,1167,3846,8564
2010,"Female",188,2,6,26,30,24,37,54,96,151,178,221,354,446,618,869,5242,8542
2010,"Total",402,6,13,76,102,67,94,147,207,345,434,589,900,1139,1461,2036,9088,17106
2011,"Male",226,2,8,49,88,47,50,62,134,159,259,422,531,721,901,1203,4041,8903
2011,"Female",168,4,4,18,28,24,32,54,82,126,172,233,382,482,622,897,5628,8956
2011,"Total",394,6,12,67,116,71,82,116,216,285,431,655,913,1203,1523,2100,9669,17859
2012,"Male",193,4,7,52,71,57,38,76,109,172,259,347,503,725,931,1102,4020,8666
2012,"Female",189,1,3,16,27,20,40,42,96,143,179,227,307,445,664,874,5501,8774
2012,"Total",382,5,10,68,98,77,78,118,205,315,438,574,810,1170,1595,1976,9521,17440
2013,"Male",170,1,3,36,52,44,43,64,99,171,257,352,438,709,883,1086,3904,8312
2013,"Female",145,1,2,20,17,14,37,42,82,105,199,219,347,440,574,838,4888,7970
2013,"Total",315,2,5,56,69,58,80,106,181,276,456,571,785,1149,1457,1924,8792,16282
