"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",343,12,6,15,23,25,41,73,107,231,348,508,777,1193,1546,1574,3047,9869
1996,"Female",317,7,10,12,12,29,42,64,92,201,235,335,500,739,1095,1419,4697,9806
1996,"Total",660,19,16,27,35,54,83,137,199,432,583,843,1277,1932,2641,2993,7744,19675
1997,"Male",307,7,10,12,17,27,38,79,124,222,350,470,690,1194,1498,1522,3029,9596
1997,"Female",265,6,11,10,17,28,45,63,111,181,270,363,427,704,1006,1328,4605,9440
1997,"Total",572,13,21,22,34,55,83,142,235,403,620,833,1117,1898,2504,2850,7634,19036
1998,"Male",302,9,9,11,13,14,42,79,144,193,321,495,692,1070,1399,1569,2959,9321
1998,"Female",256,4,6,6,9,12,40,71,107,157,255,344,447,678,929,1341,4505,9167
1998,"Total",558,13,15,17,22,26,82,150,251,350,576,839,1139,1748,2328,2910,7464,18488
1999,"Male",308,7,5,15,24,20,39,62,124,189,346,542,723,953,1456,1698,3164,9675
1999,"Female",288,5,6,8,10,20,42,69,115,175,264,366,481,668,961,1372,4887,9737
1999,"Total",596,12,11,23,34,40,81,131,239,364,610,908,1204,1621,2417,3070,8051,19412
2000,"Male",321,6,12,10,10,25,31,44,95,147,228,307,453,692,1016,1299,2679,7375
2000,"Female",283,3,2,4,9,18,33,51,90,134,197,280,346,482,705,1077,4160,7874
2000,"Total",604,9,14,14,19,43,64,95,185,281,425,587,799,1174,1721,2376,6839,15249
2001,"Male",301,6,5,11,12,13,27,52,92,125,271,320,459,651,1041,1277,2824,7487
2001,"Female",254,8,8,9,14,19,26,56,77,119,206,235,386,472,771,1064,4715,8439
2001,"Total",555,14,13,20,26,32,53,108,169,244,477,555,845,1123,1812,2341,7539,15926
2002,"Male",331,4,1,9,10,17,29,46,82,139,218,310,484,655,990,1299,2931,7555
2002,"Female",307,7,5,9,8,13,30,54,83,148,187,269,331,435,710,1112,4708,8416
2002,"Total",638,11,6,18,18,30,59,100,165,287,405,579,815,1090,1700,2411,7639,15971
2003,"Male",306,1,11,14,13,11,24,38,87,151,231,313,420,618,909,1233,2939,7319
2003,"Female",261,4,6,15,9,7,31,43,94,140,196,267,349,420,695,1057,4828,8422
2003,"Total",567,5,17,29,22,18,55,81,181,291,427,580,769,1038,1604,2290,7767,15741
2004,"Male",331,3,9,10,10,14,23,58,79,156,213,310,437,592,872,1271,3125,7513
2004,"Female",306,1,4,8,6,20,23,54,102,140,185,263,332,413,676,1029,5041,8603
2004,"Total",637,4,13,18,16,34,46,112,181,296,398,573,769,1005,1548,2300,8166,16116
2005,"Male",327,5,9,1,13,19,28,40,107,123,205,330,438,583,774,1136,2894,7032
2005,"Female",243,7,3,9,10,9,35,56,92,148,179,250,330,420,621,983,4756,8151
2005,"Total",570,12,12,10,23,28,63,96,199,271,384,580,768,1003,1395,2119,7650,15183
2006,"Male",355,5,3,11,12,15,24,44,75,151,200,338,435,600,794,1194,3099,7355
2006,"Female",269,1,3,10,8,11,26,48,99,144,190,235,313,430,607,1019,5012,8425
2006,"Total",624,6,6,21,20,26,50,92,174,295,390,573,748,1030,1401,2213,8111,15780
2007,"Male",321,4,3,9,15,15,21,51,91,152,237,331,405,576,772,1082,3012,7097
2007,"Female",324,6,5,8,9,11,26,53,94,118,176,241,302,450,600,902,4733,8058
2007,"Total",645,10,8,17,24,26,47,104,185,270,413,572,707,1026,1372,1984,7745,15155
2008,"Male",354,1,4,12,7,14,23,49,102,139,203,314,479,571,729,1117,3226,7344
2008,"Female",277,2,3,3,12,11,24,57,81,123,158,268,316,474,594,849,4872,8124
2008,"Total",631,3,7,15,19,25,47,106,183,262,361,582,795,1045,1323,1966,8098,15468
2009,"Male",339,1,8,5,14,22,24,31,74,146,224,288,492,627,747,1042,3192,7276
2009,"Female",320,2,5,6,6,14,25,55,82,134,181,216,347,451,617,760,4776,7997
2009,"Total",659,3,13,11,20,36,49,86,156,280,405,504,839,1078,1364,1802,7968,15273
2010,"Male",344,2,6,7,8,14,16,34,73,139,212,316,417,532,692,958,3226,6996
2010,"Female",278,3,3,6,10,15,25,48,93,132,181,215,326,402,558,787,4676,7758
2010,"Total",622,5,9,13,18,29,41,82,166,271,393,531,743,934,1250,1745,7902,14754
2011,"Male",312,1,6,15,17,8,25,31,77,101,194,321,415,586,783,997,3409,7298
2011,"Female",275,2,2,4,14,9,34,47,87,122,171,230,368,440,573,817,5093,8288
2011,"Total",587,3,8,19,31,17,59,78,164,223,365,551,783,1026,1356,1814,8502,15586
2012,"Male",306,2,4,10,16,10,21,25,57,138,207,290,415,569,778,923,3450,7221
2012,"Female",276,2,6,10,11,10,35,38,86,141,172,226,300,413,580,770,4946,8022
2012,"Total",582,4,10,20,27,20,56,63,143,279,379,516,715,982,1358,1693,8396,15243
2013,"Male",219,1,0,8,10,14,15,32,64,112,195,284,364,569,747,925,3289,6848
2013,"Female",198,3,3,1,5,11,28,38,81,110,190,221,314,402,533,731,4349,7218
2013,"Total",417,4,3,9,15,25,43,70,145,222,385,505,678,971,1280,1656,7638,14066
