"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",361,12,7,15,24,25,45,77,110,234,356,520,791,1213,1557,1587,3069,10003
1996,"Female",334,7,10,13,13,29,46,66,93,205,241,337,504,754,1106,1428,4723,9909
1996,"Total",695,19,17,28,37,54,91,143,203,439,597,857,1295,1967,2663,3015,7792,19912
1997,"Male",321,7,10,12,17,27,39,82,131,236,357,490,707,1207,1514,1540,3051,9748
1997,"Female",289,6,12,11,18,28,45,64,113,186,271,367,432,713,1015,1337,4640,9547
1997,"Total",610,13,22,23,35,55,84,146,244,422,628,857,1139,1920,2529,2877,7691,19295
1998,"Male",317,10,10,11,14,15,44,81,146,199,332,503,706,1084,1419,1587,2977,9455
1998,"Female",276,4,6,7,9,12,41,72,114,163,259,347,459,683,941,1361,4536,9290
1998,"Total",593,14,16,18,23,27,85,153,260,362,591,850,1165,1767,2360,2948,7513,18745
1999,"Male",327,7,5,16,24,22,40,68,129,196,349,553,737,975,1477,1709,3194,9828
1999,"Female",309,5,8,8,12,21,42,71,117,182,270,371,488,685,974,1391,4919,9873
1999,"Total",636,12,13,24,36,43,82,139,246,378,619,924,1225,1660,2451,3100,8113,19701
2000,"Male",349,6,12,12,11,25,32,44,96,152,235,315,473,705,1038,1314,2705,7524
2000,"Female",305,3,2,4,9,20,33,54,92,139,199,284,356,491,724,1089,4194,7998
2000,"Total",654,9,14,16,20,45,65,98,188,291,434,599,829,1196,1762,2403,6899,15522
2001,"Male",323,6,6,13,13,13,28,55,97,133,278,331,473,662,1060,1294,2846,7631
2001,"Female",279,8,9,9,14,19,28,58,79,126,210,243,391,486,781,1089,4767,8596
2001,"Total",602,14,15,22,27,32,56,113,176,259,488,574,864,1148,1841,2383,7613,16227
2002,"Male",358,4,1,11,12,19,30,47,85,146,226,320,495,672,1016,1322,2955,7719
2002,"Female",329,8,5,9,8,14,30,56,86,152,188,273,338,448,727,1126,4759,8556
2002,"Total",687,12,6,20,20,33,60,103,171,298,414,593,833,1120,1743,2448,7714,16275
2003,"Male",340,1,12,14,13,11,24,39,95,158,235,322,429,640,926,1248,2966,7473
2003,"Female",303,4,6,16,9,9,32,46,98,141,201,275,356,432,713,1076,4873,8590
2003,"Total",643,5,18,30,22,20,56,85,193,299,436,597,785,1072,1639,2324,7839,16063
2004,"Male",378,3,9,10,11,17,26,59,80,163,224,322,460,604,903,1292,3169,7730
2004,"Female",341,1,4,9,6,21,24,60,106,145,199,269,342,437,694,1042,5093,8793
2004,"Total",719,4,13,19,17,38,50,119,186,308,423,591,802,1041,1597,2334,8262,16523
2005,"Male",361,5,10,1,14,19,29,42,113,133,223,341,447,606,801,1150,2930,7225
2005,"Female",282,8,3,9,11,9,37,60,95,157,187,261,338,436,630,1003,4805,8331
2005,"Total",643,13,13,10,25,28,66,102,208,290,410,602,785,1042,1431,2153,7735,15556
2006,"Male",393,6,3,11,15,19,27,46,78,156,208,348,447,629,815,1222,3150,7573
2006,"Female",311,1,4,12,8,13,28,51,101,150,194,243,322,446,621,1036,5060,8601
2006,"Total",704,7,7,23,23,32,55,97,179,306,402,591,769,1075,1436,2258,8210,16174
2007,"Male",354,5,3,9,16,15,22,52,96,158,243,348,427,594,802,1108,3056,7308
2007,"Female",354,6,5,9,9,11,28,57,97,120,188,253,310,468,617,927,4793,8252
2007,"Total",708,11,8,18,25,26,50,109,193,278,431,601,737,1062,1419,2035,7849,15560
2008,"Male",387,2,4,13,8,15,25,53,104,143,216,333,490,581,751,1137,3285,7547
2008,"Female",315,2,3,3,14,12,26,59,84,125,168,279,329,485,616,869,4939,8328
2008,"Total",702,4,7,16,22,27,51,112,188,268,384,612,819,1066,1367,2006,8224,15875
2009,"Male",377,1,8,6,14,23,27,35,77,151,231,303,504,647,769,1065,3244,7482
2009,"Female",361,2,5,6,7,16,25,57,84,141,190,219,358,462,634,783,4839,8189
2009,"Total",738,3,13,12,21,39,52,92,161,292,421,522,862,1109,1403,1848,8083,15671
2010,"Male",384,3,7,7,8,14,16,35,77,148,224,333,446,551,709,986,3271,7219
2010,"Female",329,3,3,6,11,15,26,51,98,141,192,222,333,424,575,816,4752,7997
2010,"Total",713,6,10,13,19,29,42,86,175,289,416,555,779,975,1284,1802,8023,15216
2011,"Male",361,2,6,15,18,9,27,32,83,107,205,344,427,606,818,1027,3457,7544
2011,"Female",318,2,2,4,15,9,34,49,90,125,177,237,378,450,590,842,5178,8500
2011,"Total",679,4,8,19,33,18,61,81,173,232,382,581,805,1056,1408,1869,8635,16044
2012,"Male",347,2,4,10,16,11,23,26,60,146,215,304,434,596,809,963,3511,7477
2012,"Female",325,2,6,10,11,10,36,40,93,144,184,233,316,425,610,797,5022,8264
2012,"Total",672,4,10,20,27,21,59,66,153,290,399,537,750,1021,1419,1760,8533,15741
2013,"Male",271,1,1,8,10,15,17,36,66,114,204,300,377,585,770,965,3358,7098
2013,"Female",237,3,3,1,5,11,30,38,84,120,199,229,322,419,550,762,4448,7461
2013,"Total",508,4,4,9,15,26,47,74,150,234,403,529,699,1004,1320,1727,7806,14559
