"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Male",4,0,0,1,1,0,2,1,1,5,6,6,7,8,10,7,36,95,"Waitemata",1
2006,"Female",4,0,0,0,0,0,0,0,0,2,2,2,7,7,6,6,40,76,"Waitemata",1
2006,"Total",8,0,0,1,1,0,2,1,1,7,8,8,14,15,16,13,76,171,"Waitemata",1
2007,"Male",2,0,0,0,2,1,1,0,1,2,4,4,12,7,6,9,30,81,"Waitemata",1
2007,"Female",3,0,0,1,0,0,0,0,2,1,2,4,7,4,11,11,34,80,"Waitemata",1
2007,"Total",5,0,0,1,2,1,1,0,3,3,6,8,19,11,17,20,64,161,"Waitemata",1
2008,"Male",2,0,0,2,1,2,0,0,2,2,2,5,2,10,3,12,33,78,"Waitemata",1
2008,"Female",1,0,0,1,1,0,0,2,0,2,3,6,8,6,2,14,39,85,"Waitemata",1
2008,"Total",3,0,0,3,2,2,0,2,2,4,5,11,10,16,5,26,72,163,"Waitemata",1
2009,"Male",1,0,0,1,2,0,0,2,1,5,7,4,8,10,8,8,25,82,"Waitemata",1
2009,"Female",2,0,0,1,0,0,0,0,1,0,5,3,3,0,4,9,40,68,"Waitemata",1
2009,"Total",3,0,0,2,2,0,0,2,2,5,12,7,11,10,12,17,65,150,"Waitemata",1
2010,"Male",4,0,0,2,0,2,1,0,2,5,5,7,8,8,8,10,36,98,"Waitemata",1
2010,"Female",2,0,0,1,2,0,0,0,1,1,2,3,6,4,4,8,39,73,"Waitemata",1
2010,"Total",6,0,0,3,2,2,1,0,3,6,7,10,14,12,12,18,75,171,"Waitemata",1
2011,"Male",1,0,0,0,3,1,0,1,4,4,2,6,7,1,9,12,30,81,"Waitemata",1
2011,"Female",5,0,0,0,0,0,0,2,3,0,4,4,5,9,11,3,46,92,"Waitemata",1
2011,"Total",6,0,0,0,3,1,0,3,7,4,6,10,12,10,20,15,76,173,"Waitemata",1
2012,"Male",3,0,0,1,0,1,0,1,0,1,3,4,7,5,8,10,49,93,"Waitemata",1
2012,"Female",3,0,0,0,0,0,0,0,1,5,3,1,3,5,6,7,46,80,"Waitemata",1
2012,"Total",6,0,0,1,0,1,0,1,1,6,6,5,10,10,14,17,95,173,"Waitemata",1
2013,"Male",0,0,0,1,0,0,1,4,1,7,4,6,7,5,8,11,31,86,"Waitemata",1
2013,"Female",2,0,0,1,1,0,1,1,0,2,3,3,7,8,10,11,42,92,"Waitemata",1
2013,"Total",2,0,0,2,1,0,2,5,1,9,7,9,14,13,18,22,73,178,"Waitemata",1
2006,"Male",2,1,0,0,0,1,0,0,1,2,0,2,3,3,10,9,49,83,"Auckland",1
2006,"Female",1,0,0,0,0,1,0,0,0,2,7,5,7,5,5,10,88,131,"Auckland",1
2006,"Total",3,1,0,0,0,2,0,0,1,4,7,7,10,8,15,19,137,214,"Auckland",1
2007,"Male",0,0,0,0,0,0,0,1,1,1,3,6,3,10,2,20,41,88,"Auckland",1
2007,"Female",1,0,0,0,0,0,0,1,1,0,1,0,3,3,10,8,81,109,"Auckland",1
2007,"Total",1,0,0,0,0,0,0,2,2,1,4,6,6,13,12,28,122,197,"Auckland",1
2008,"Male",3,0,0,0,0,0,1,0,1,1,2,7,5,4,6,10,44,84,"Auckland",1
2008,"Female",2,0,0,0,0,1,0,1,0,1,1,5,4,4,8,10,105,142,"Auckland",1
2008,"Total",5,0,0,0,0,1,1,1,1,2,3,12,9,8,14,20,149,226,"Auckland",1
2009,"Male",1,0,0,1,0,0,1,0,1,3,3,6,0,6,8,8,47,85,"Auckland",1
