"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Male",7,1,0,2,2,1,2,4,4,9,8,14,13,15,27,21,102,232,"Auckland",1
2006,"Female",5,0,0,0,0,1,1,0,2,6,10,11,16,13,13,20,150,248,"Auckland",1
2006,"Total",12,1,0,2,2,2,3,4,6,15,18,25,29,28,40,41,252,480,"Auckland",1
2007,"Male",3,0,0,1,4,2,1,1,2,4,9,14,20,23,15,37,87,223,"Auckland",1
2007,"Female",6,0,0,1,0,0,0,2,5,1,5,5,12,9,25,27,131,229,"Auckland",1
2007,"Total",9,0,0,2,4,2,1,3,7,5,14,19,32,32,40,64,218,452,"Auckland",1
2008,"Male",6,0,0,3,1,2,2,0,3,7,7,16,12,19,17,33,91,219,"Auckland",1
2008,"Female",5,0,0,1,1,1,0,3,1,3,5,14,14,14,15,26,168,271,"Auckland",1
2008,"Total",11,0,0,4,2,3,2,3,4,10,12,30,26,33,32,59,259,490,"Auckland",1
2009,"Male",4,0,0,2,3,0,1,2,2,10,14,13,10,28,23,23,95,230,"Auckland",1
2009,"Female",3,0,0,2,1,1,0,1,2,1,12,8,8,9,10,25,139,222,"Auckland",1
2009,"Total",7,0,0,4,4,1,1,3,4,11,26,21,18,37,33,48,234,452,"Auckland",1
2010,"Male",6,0,0,3,0,2,1,0,4,12,11,14,15,21,29,29,122,269,"Auckland",1
2010,"Female",5,0,0,1,2,0,1,0,3,3,3,11,11,16,14,19,157,246,"Auckland",1
2010,"Total",11,0,0,4,2,2,2,0,7,15,14,25,26,37,43,48,279,515,"Auckland",1
2011,"Male",6,0,0,0,3,2,1,1,8,8,6,10,16,10,27,34,95,227,"Auckland",1
2011,"Female",6,0,0,0,1,0,0,3,4,5,6,8,14,19,20,16,188,290,"Auckland",1
2011,"Total",12,0,0,0,4,2,1,4,12,13,12,18,30,29,47,50,283,517,"Auckland",1
2012,"Male",7,0,0,3,1,3,1,2,0,2,5,12,11,14,28,31,116,236,"Auckland",1
2012,"Female",8,0,0,1,0,0,0,1,2,7,7,6,12,18,15,18,170,265,"Auckland",1
2012,"Total",15,0,0,4,1,3,1,3,2,9,12,18,23,32,43,49,286,501,"Auckland",1
2013,"Male",2,0,0,2,0,1,2,5,1,9,8,14,21,25,23,22,109,244,"Auckland",1
2013,"Female",7,0,0,1,1,1,1,1,2,8,9,8,12,17,19,30,154,271,"Auckland",1
2013,"Total",9,0,0,3,1,2,3,6,3,17,17,22,33,42,42,52,263,515,"Auckland",1
2006,"Male",2,0,0,1,1,2,0,1,0,0,1,2,3,2,3,2,18,38,"Waikato",1
2006,"Female",2,0,0,0,1,1,0,0,1,0,2,1,3,1,1,4,29,46,"Waikato",1
2006,"Total",4,0,0,1,2,3,0,1,1,0,3,3,6,3,4,6,47,84,"Waikato",1
2007,"Male",1,0,0,1,0,0,0,0,0,2,0,0,3,2,9,6,18,42,"Waikato",1
2007,"Female",1,0,0,0,0,0,0,1,0,2,2,2,1,1,2,5,25,42,"Waikato",1
2007,"Total",2,0,0,1,0,0,0,1,0,4,2,2,4,3,11,11,43,84,"Waikato",1
2008,"Male",1,0,0,0,2,0,0,0,1,4,2,4,4,2,5,6,18,49,"Waikato",1
2008,"Female",0,0,0,0,0,0,0,0,1,1,1,4,5,0,2,7,25,46,"Waikato",1
2008,"Total",1,0,0,0,2,0,0,0,2,5,3,8,9,2,7,13,43,95,"Waikato",1
2009,"Male",5,0,0,0,0,0,0,0,2,2,0,0,2,6,4,5,18,44,"Waikato",1
