Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total
2007;Male;0;0;0;0;0;1;4;1;8;NA;NA;NA;NA;NA;NA;NA;NA;14
2007;Female;0;0;0;0;0;1;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;3
2007;Total;0;0;0;0;0;2;4;1;10;NA;NA;NA;NA;NA;NA;NA;NA;17
2008;Male;0;0;0;0;0;1;0;5;2;NA;NA;NA;NA;NA;NA;NA;NA;8
2008;Female;0;0;0;0;0;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;3
2008;Total;0;0;0;0;0;2;0;6;3;NA;NA;NA;NA;NA;NA;NA;NA;11
2009;Male;0;0;0;0;1;0;1;3;5;NA;NA;NA;NA;NA;NA;NA;NA;10
2009;Female;0;0;0;0;0;3;1;3;2;NA;NA;NA;NA;NA;NA;NA;NA;9
2009;Total;0;0;0;0;1;3;2;6;7;NA;NA;NA;NA;NA;NA;NA;NA;19
2010;Male;0;0;0;0;0;1;2;6;4;NA;NA;NA;NA;NA;NA;NA;NA;13
2010;Female;0;0;0;0;0;1;3;2;1;NA;NA;NA;NA;NA;NA;NA;NA;7
2010;Total;0;0;0;0;0;2;5;8;5;NA;NA;NA;NA;NA;NA;NA;NA;20
2011;Male;0;0;0;0;0;0;2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;9
2011;Female;0;0;0;0;1;0;0;2;3;NA;NA;NA;NA;NA;NA;NA;NA;6
2011;Total;0;0;0;0;1;0;2;5;7;NA;NA;NA;NA;NA;NA;NA;NA;15
2012;Male;0;0;0;0;0;2;3;5;8;NA;NA;NA;NA;NA;NA;NA;NA;18
2012;Female;0;0;0;0;1;1;1;2;3;NA;NA;NA;NA;NA;NA;NA;NA;8
2012;Total;0;0;0;0;1;3;4;7;11;NA;NA;NA;NA;NA;NA;NA;NA;26
