Standard,0.4,5.9,10.14,15.19,20.24,25.29,30.34,35.39,40.44,45.49,50.54,55.59,60.64,65.69,70.74,75.79,80 and over,Total
Segi,0.12,0.1,0.09,0.09,0.08,0.08,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.01,0.01,1
WHO,0.0886,0.0869,0.086,0.0847,0.0822,0.0793,0.0761,0.0715,0.0659,0.0604,0.0537,0.0455,0.0372,0.0296,0.0221,0.0152,0.0154,1
Maori - Census 2001,0.1284,0.1256,0.1193,0.0941,0.08,0.0763,0.0746,0.0728,0.0624,0.0477,0.037,0.0263,0.022,0.0151,0.0096,0.0051,0.0037,1
Maori - Census 2006,0.1175,0.1181,0.118,0.1035,0.0757,0.0674,0.0698,0.0683,0.0659,0.0564,0.0428,0.033,0.0227,0.018,0.0115,0.0067,0.0047,1
Maori - Census 2013,0.1187,0.1122,0.1071,0.0979,0.0808,0.0619,0.0573,0.0596,0.0632,0.0584,0.055,0.0419,0.0321,0.0217,0.0154,0.0092,0.0075,1
Pacific - Census 2001,0.1414,0.1315,0.116,0.0927,0.0853,0.0776,0.0767,0.0691,0.055,0.0437,0.0344,0.0244,0.0192,0.0136,0.0097,0.0055,0.0042,1
Pacific - Census 2006,0.131,0.1263,0.1199,0.1041,0.0779,0.0711,0.0682,0.068,0.0605,0.0477,0.0378,0.0286,0.021,0.0161,0.0102,0.0065,0.0051,1
Pacific - Census 2013,0.1279,0.1167,0.1119,0.1046,0.0874,0.0666,0.0615,0.0589,0.0582,0.0542,0.044,0.0336,0.0271,0.0187,0.0131,0.0082,0.0072,1
Asian - Census 2001,0.0771,0.0772,0.0819,0.1138,0.1008,0.0755,0.0838,0.0954,0.0832,0.0659,0.0484,0.0301,0.026,0.0186,0.0109,0.0062,0.0053,1
Asian - Census 2006,0.0674,0.0707,0.0789,0.0905,0.1287,0.0909,0.0786,0.0823,0.0867,0.0701,0.0508,0.0353,0.0237,0.0197,0.013,0.0069,0.0058,1
Asian - Census 2013,0.0761,0.0654,0.0646,0.0785,0.0977,0.1039,0.0988,0.0751,0.0739,0.068,0.0581,0.0474,0.0346,0.0225,0.0161,0.0109,0.0084,1
