"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",43,2,4,14,25,14,27,23,27,48,55,72,112,169,243,251,535,1664,12
1996,"Female",42,8,4,7,11,3,12,12,18,47,43,63,53,106,163,248,1081,1921,12
1996,"Total",85,10,8,21,36,17,39,35,45,95,98,135,165,275,406,499,1616,3585,12
1997,"Male",44,5,4,16,24,17,22,27,41,37,66,95,101,185,262,264,641,1851,12
1997,"Female",21,2,3,8,6,6,11,10,18,30,51,54,54,101,146,217,1012,1750,12
1997,"Total",65,7,7,24,30,23,33,37,59,67,117,149,155,286,408,481,1653,3601,12
1998,"Male",33,5,3,13,23,18,9,25,24,42,62,89,103,154,225,291,565,1684,12
1998,"Female",28,0,2,12,1,3,15,14,28,30,50,64,68,103,129,236,961,1744,12
1998,"Total",61,5,5,25,24,21,24,39,52,72,112,153,171,257,354,527,1526,3428,12
1999,"Male",40,3,2,17,18,12,19,16,24,33,68,73,103,145,224,286,575,1658,12
1999,"Female",38,2,3,9,6,6,7,9,14,29,45,57,74,85,132,212,1049,1777,12
1999,"Total",78,5,5,26,24,18,26,25,38,62,113,130,177,230,356,498,1624,3435,12
2000,"Male",52,3,10,14,21,20,16,21,25,32,65,85,116,154,261,313,621,1829,12
2000,"Female",29,2,0,3,2,8,5,16,16,32,58,50,76,78,140,245,1013,1773,12
2000,"Total",81,5,10,17,23,28,21,37,41,64,123,135,192,232,401,558,1634,3602,12
2001,"Male",39,2,5,11,25,17,12,18,33,34,62,81,120,141,251,285,681,1817,12
2001,"Female",31,1,4,9,6,4,7,15,23,31,57,54,78,89,140,231,1076,1856,12
2001,"Total",70,3,9,20,31,21,19,33,56,65,119,135,198,230,391,516,1757,3673,12
2002,"Male",35,4,4,17,13,20,20,21,33,57,63,75,102,153,237,288,727,1869,12
2002,"Female",43,3,3,5,7,3,6,20,18,37,38,72,73,90,146,229,1124,1917,12
2002,"Total",78,7,7,22,20,23,26,41,51,94,101,147,175,243,383,517,1851,3786,12
2003,"Male",31,3,2,13,13,16,16,25,39,43,70,85,118,135,197,240,653,1699,12
2003,"Female",35,2,0,6,8,5,5,15,23,28,44,82,74,81,147,238,1161,1954,12
2003,"Total",66,5,2,19,21,21,21,40,62,71,114,167,192,216,344,478,1814,3653,12
2004,"Male",46,3,3,10,23,20,20,23,21,40,57,100,122,163,220,280,719,1870,12
2004,"Female",43,4,3,11,5,3,10,8,19,33,53,61,89,79,129,200,1314,2064,12
2004,"Total",89,7,6,21,28,23,30,31,40,73,110,161,211,242,349,480,2033,3934,12
2005,"Male",46,4,3,22,16,11,6,20,32,39,62,99,101,121,179,263,673,1697,12
2005,"Female",39,0,0,3,11,2,7,14,20,43,43,73,90,75,110,185,1236,1951,12
2005,"Total",85,4,3,25,27,13,13,34,52,82,105,172,191,196,289,448,1909,3648,12
2006,"Male",38,1,3,16,11,9,16,19,23,43,56,99,113,140,190,274,759,1810,12
2006,"Female",32,0,1,7,5,4,5,11,21,37,57,64,87,100,132,183,1206,1952,12
2006,"Total",70,1,4,23,16,13,21,30,44,80,113,163,200,240,322,457,1965,3762,12
2007,"Male",34,1,4,17,19,8,20,16,31,47,57,87,133,155,185,275,756,1845,12
2007,"Female",38,1,4,16,6,4,5,11,28,27,46,79,78,111,131,204,1202,1991,12
2007,"Total",72,2,8,33,25,12,25,27,59,74,103,166,211,266,316,479,1958,3836,12
2008,"Male",54,1,1,19,17,13,13,18,30,51,55,89,107,160,204,268,830,1930,12
2008,"Female",37,2,1,6,7,6,4,15,18,22,40,83,82,116,124,220,1327,2110,12
2008,"Total",91,3,2,25,24,19,17,33,48,73,95,172,189,276,328,488,2157,4040,12
2009,"Male",43,2,2,16,17,9,8,20,27,45,59,91,115,158,177,263,792,1844,12
2009,"Female",39,2,3,4,3,9,6,14,18,30,49,72,88,107,139,181,1306,2070,12
2009,"Total",82,4,5,20,20,18,14,34,45,75,108,163,203,265,316,444,2098,3914,12
2010,"Male",39,1,1,12,18,14,12,19,34,46,53,89,146,154,200,250,880,1968,12
2010,"Female",42,2,2,5,6,5,11,14,24,36,35,69,90,104,145,166,1293,2049,12
2010,"Total",81,3,3,17,24,19,23,33,58,82,88,158,236,258,345,416,2173,4017,12
2011,"Male",49,1,5,7,16,14,14,13,27,45,47,102,152,171,223,263,923,2072,12
2011,"Female",46,0,0,4,7,4,7,15,28,35,55,71,94,127,155,184,1479,2311,12
2011,"Total",95,1,5,11,23,18,21,28,55,80,102,173,246,298,378,447,2402,4383,12
2012,"Male",34,2,3,12,17,11,9,20,24,33,66,80,116,173,234,245,1046,2125,12
2012,"Female",38,2,1,2,4,4,6,9,25,46,52,54,80,101,156,194,1450,2224,12
2012,"Total",72,4,4,14,21,15,15,29,49,79,118,134,196,274,390,439,2496,4349,12
2013,"Male",39,2,1,11,14,10,5,21,17,51,54,95,124,171,204,258,1025,2102,12
2013,"Female",27,2,1,5,4,3,7,14,16,35,52,51,84,108,156,209,1360,2134,12
2013,"Total",66,4,2,16,18,13,12,35,33,86,106,146,208,279,360,467,2385,4236,12
