"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",20,1,3,10,15,1,8,3,10,24,23,37,66,96,155,0,0,472,12
1996,"Female",7,2,2,2,4,1,5,7,7,26,15,29,25,50,80,0,0,262,12
1996,"Total",27,3,5,12,19,2,13,10,17,50,38,66,91,146,235,0,0,734,12
1997,"Male",18,1,0,8,7,7,5,7,10,19,31,51,50,107,163,0,0,484,12
1997,"Female",8,0,0,3,3,3,3,2,12,20,26,26,27,50,85,0,0,268,12
1997,"Total",26,1,0,11,10,10,8,9,22,39,57,77,77,157,248,0,0,752,12
1998,"Male",11,3,2,4,4,5,5,12,16,17,30,46,52,84,132,0,0,423,12
1998,"Female",9,0,0,6,1,0,6,8,11,17,20,23,20,50,59,0,0,230,12
1998,"Total",20,3,2,10,5,5,11,20,27,34,50,69,72,134,191,0,0,653,12
1999,"Male",11,1,1,8,7,5,7,4,11,14,25,33,47,69,119,0,0,362,12
1999,"Female",9,0,1,3,4,4,4,1,3,11,18,25,33,38,62,0,0,216,12
1999,"Total",20,1,2,11,11,9,11,5,14,25,43,58,80,107,181,0,0,578,12
2000,"Male",0,0,2,2,4,5,2,7,1,2,5,9,12,24,27,0,0,102,12
2000,"Female",0,0,0,1,0,1,2,2,1,3,3,5,4,7,7,0,0,36,12
2000,"Total",0,0,2,3,4,6,4,9,2,5,8,14,16,31,34,0,0,138,12
2001,"Male",1,0,1,1,9,4,2,7,8,2,5,8,10,13,33,0,0,104,12
2001,"Female",0,0,0,3,2,4,4,2,1,4,4,3,3,6,5,0,0,41,12
2001,"Total",1,0,1,4,11,8,6,9,9,6,9,11,13,19,38,0,0,145,12
2002,"Male",0,0,0,0,1,6,8,5,6,5,5,8,16,18,28,0,0,106,12
2002,"Female",0,0,0,2,2,1,1,5,2,3,2,6,6,3,12,0,0,45,12
2002,"Total",0,0,0,2,3,7,9,10,8,8,7,14,22,21,40,0,0,151,12
2003,"Male",0,0,0,3,7,5,2,3,8,5,6,8,8,14,20,0,0,89,12
2003,"Female",1,0,0,2,2,3,1,2,3,2,2,3,4,3,8,0,0,36,12
2003,"Total",1,0,0,5,9,8,3,5,11,7,8,11,12,17,28,0,0,125,12
2004,"Male",0,0,0,4,7,7,5,9,7,5,5,8,15,16,24,0,0,112,12
2004,"Female",0,0,0,0,2,0,1,0,0,0,1,2,4,2,6,0,0,18,12
2004,"Total",0,0,0,4,9,7,6,9,7,5,6,10,19,18,30,0,0,130,12
2005,"Male",0,0,0,6,6,5,2,4,7,3,12,14,7,19,15,0,0,100,12
2005,"Female",1,0,0,0,3,0,3,5,3,3,2,3,7,5,4,0,0,39,12
2005,"Total",1,0,0,6,9,5,5,9,10,6,14,17,14,24,19,0,0,139,12
2006,"Male",0,0,0,6,5,2,4,5,3,10,5,9,11,23,23,0,0,106,12
2006,"Female",0,0,1,3,1,2,2,3,3,0,10,6,2,5,5,0,0,43,12
2006,"Total",0,0,1,9,6,4,6,8,6,10,15,15,13,28,28,0,0,149,12
2007,"Male",1,0,0,2,5,5,5,3,5,10,5,7,17,18,23,0,0,106,12
2007,"Female",0,0,0,2,0,1,2,2,7,1,5,4,5,7,8,0,0,44,12
2007,"Total",1,0,0,4,5,6,7,5,12,11,10,11,22,25,31,0,0,150,12
2008,"Male",1,0,0,0,2,3,1,3,1,4,6,10,9,18,31,0,0,89,12
2008,"Female",0,0,0,1,0,1,0,0,2,2,1,5,3,9,4,0,0,28,12
2008,"Total",1,0,0,1,2,4,1,3,3,6,7,15,12,27,35,0,0,117,12
2009,"Male",0,0,0,2,1,1,0,3,1,4,4,5,10,18,9,0,0,58,12
2009,"Female",2,0,0,1,0,0,0,0,0,1,2,0,1,3,11,0,0,21,12
2009,"Total",2,0,0,3,1,1,0,3,1,5,6,5,11,21,20,0,0,79,12
2010,"Male",0,0,0,0,2,3,0,2,1,4,5,7,14,18,19,0,0,75,12
2010,"Female",0,0,0,0,0,1,1,1,1,2,0,3,3,4,8,0,0,24,12
2010,"Total",0,0,0,0,2,4,1,3,2,6,5,10,17,22,27,0,0,99,12
2011,"Male",1,0,0,1,0,0,0,0,3,0,1,5,13,15,20,0,0,59,12
2011,"Female",0,0,0,0,0,0,0,0,1,2,4,3,6,6,6,0,0,28,12
2011,"Total",1,0,0,1,0,0,0,0,4,2,5,8,19,21,26,0,0,87,12
2012,"Male",1,0,0,0,2,0,1,2,2,3,4,5,12,12,24,0,0,68,12
2012,"Female",0,0,0,0,0,0,1,1,2,3,4,0,2,3,6,0,0,22,12
2012,"Total",1,0,0,0,2,0,2,3,4,6,8,5,14,15,30,0,0,90,12
2013,"Male",0,0,0,0,0,1,0,3,3,3,4,6,18,13,31,0,0,82,12
2013,"Female",0,1,0,0,0,0,0,1,1,0,4,4,2,5,4,0,0,22,12
2013,"Total",0,1,0,0,0,1,0,4,4,3,8,10,20,18,35,0,0,104,12
